time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,17.33,2.0,0.0,0.0,-17.33,-0.67,1.33,10.67,2.67,0.0,4.67,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-2.67,0.0,-6.0,-8.0,-3.33,0.0,4.0,-1.33,0.0,-6.0,1.33,-0.67,-5.33,-3.33,8.67,0.0,11.33,-2.67,2.67,-7.33,-6.0,-2.67,12.0,9.33,-0.67,-3.33,2.67,2.67,5.33,-2.0,-0.67,-6.67,0.67,-14.67,4.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,-29.0,0.0,11.0,13.0,5.0,18.0,17.0,4.0,13.0,24.0,7.0,15.0,9.0,7.0,-2.0,10.0,4.0,13.0,6.0,-2.0,-3.0
3,0.0,2.67,0.0,-0.67,-8.67,6.0,4.67,7.33,1.33,0.0,9.33,12.67,8.0,-2.67,2.67,-12.0,0.0,14.67,2.0,3.33,-14.0,0.0,1.33,0.0,0.67,-2.67,-21.33,-6.0,0.0,6.67,0.0,-2.67,-23.33,7.33,8.0,-2.67
4,-17.33,4.0,0.0,-16.0,21.33,4.0,-5.33,-10.67,6.67,0.0,2.67,-5.33,24.0,-1.33,0.0,33.33,0.0,-14.67,-12.0,-2.67,37.33,0.0,6.67,-1.33,0.0,5.33,12.0,8.0,0.0,-12.0,1.33,1.33,53.33,-18.67,-10.67,-1.33
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6,6.4,2.4,2.4,-17.6,-16.0,-1.6,-2.4,0.0,0.0,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-1.6,6.4,0.0,0.0,9.6,-3.2,5.6,14.4,-6.4,0.0,6.4,5.6,15.2,17.6,7.2,-20.0,-12.0,14.4,16.0,0.8,-20.0,0.0,-4.0,18.4,0.0,-2.4,0.0,0.8,-2.4,-12.0,-14.4,-12.8,30.4,4.8,-6.4,-4.8
7,3.0,9.0,0.0,-2.0,1.0,-7.0,2.0,-17.0,-5.0,0.0,-18.0,-6.0,6.0,-8.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,-25.0,-11.0,-22.0,-8.0,-26.0,-6.0,-11.0,-8.0,-6.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.33,-1.33,-4.67,7.33,-26.0,-20.0,1.33,-2.0,-6.67,0.0,0.0,8.67,0.0,-6.67,0.0,0.0,0.0,-2.67,0.0,0.0,0.0,15.33,4.67,0.0
9,-3.2,0.0,0.0,1.6,12.8,4.8,-2.4,0.0,0.8,0.0,-8.8,-2.4,-12.0,-3.2,-4.8,5.6,0.0,2.4,0.8,0.8,7.2,0.0,-2.4,-8.0,0.0,-3.2,18.4,8.0,2.4,-1.6,11.2,2.4,9.6,1.6,11.2,16.8
10,4.0,0.0,0.0,-0.8,16.8,1.6,1.6,-8.0,-2.4,0.0,-4.8,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.6,0.0,-4.8,6.4,-4.8,9.6,6.4,-2.4,2.4,4.0
11,-3.0,-5.0,0.0,5.0,-8.0,-4.0,-1.0,13.0,5.0,0.0,4.0,4.0,5.0,-3.0,11.0,8.0,6.0,6.0,-2.0,-8.0,5.0,0.0,3.0,0.0,-1.0,4.0,8.0,10.0,4.0,-11.0,7.0,-7.0,-18.0,6.0,11.0,-7.0
12,2.22,2.67,0.0,-4.0,-9.33,2.22,-1.78,5.33,0.89,0.0,7.56,5.33,-2.67,-0.44,1.78,20.89,0.89,1.78,6.67,-0.44,-4.44,0.0,-0.44,4.44,0.0,0.89,-12.0,-0.44,-4.0,-0.89,-0.44,-3.56,-3.56,4.44,-2.67,3.56
13,17.33,-9.33,0.0,-9.33,-29.33,-13.33,-1.33,4.0,4.0,0.0,-1.33,13.33,-4.0,-4.0,1.33,-5.33,13.33,0.0,-14.67,-14.67,-66.67,0.0,-17.33,25.33,-22.67,6.67,-32.0,1.33,0.0,-6.67,-10.67,5.33,20.0,-9.33,14.67,8.0
14,-2.0,11.0,0.0,0.0,-12.0,-3.0,-10.0,-16.0,-2.0,0.0,1.0,-1.0,-3.0,3.0,1.0,-5.0,-78.0,8.0,-5.0,-1.0,40.0,0.0,3.0,20.0,11.0,-16.0,29.0,12.0,3.0,-8.0,-2.0,-6.0,-17.0,26.0,-2.0,-4.0
15,4.0,-4.5,0.0,-2.0,10.0,1.5,-0.5,3.0,-1.5,0.0,0.0,1.0,-5.5,-2.0,-2.0,9.0,0.0,-6.0,-11.5,0.0,-5.0,0.0,2.5,-1.0,0.0,-3.5,3.5,-0.5,6.0,6.0,-1.5,3.5,7.0,2.5,8.5,7.5
16,-8.0,6.0,0.0,0.0,11.0,2.0,1.0,10.0,7.0,0.0,-5.0,-4.0,6.0,-6.0,4.0,-6.0,0.0,11.0,14.0,1.0,8.0,0.0,-3.0,26.0,-8.0,-19.0,24.0,9.0,-7.0,0.0,-23.0,-7.0,32.0,0.0,3.0,0.0
17,0.8,-5.6,0.0,0.8,0.0,-2.4,-8.8,-3.2,0.0,0.0,5.6,-6.4,3.2,3.2,-4.8,2.4,0.0,28.0,-16.8,1.6,-8.0,0.0,4.8,0.0,2.4,4.0,-12.8,13.6,13.6,4.0,-1.6,9.6,-4.8,11.2,9.6,4.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.33,0.0,8.0,0.0,-25.33,8.0,-4.67,-0.67,-2.67,-8.0,4.0,4.67,0.0,-4.67,-1.33,8.0,0.0,4.0,-3.33,6.0,5.33,0.0,4.0
19,11.33,5.33,0.0,-6.0,-18.0,-0.67,2.67,-3.33,-0.67,0.0,3.33,-0.67,4.0,-3.33,-4.0,3.33,0.0,7.33,-7.33,-3.33,0.0,0.0,4.67,-0.67,0.0,2.67,3.33,-6.0,5.33,-2.67,0.0,0.0,-9.33,-4.0,-8.0,-6.67
20,4.8,8.0,0.0,-6.4,-0.8,2.4,-2.4,-1.6,7.2,0.0,4.0,-8.8,0.0,-0.8,3.2,-5.6,0.0,5.6,4.0,-0.8,1.6,-1.6,0.0,-2.4,6.4,-0.8,-0.8,-11.2,4.8,4.0,0.0,4.0,-30.4,-8.8,-25.6,0.8
21,0.0,14.67,0.0,-4.0,0.0,-1.33,-2.67,2.67,-2.67,0.0,0.0,5.33,0.0,-1.33,-2.67,14.67,0.0,-9.33,4.0,1.33,14.67,20.0,-20.0,14.67,4.0,17.33,-22.67,4.0,0.0,-17.33,-17.33,-10.67,16.0,8.0,29.33,-2.67
22,5.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-6.0,-3.0,0.0,-2.0,-7.0,9.0,-2.0,14.0,-8.0,2.0,-24.0,11.0,-1.0,6.0,0.0,-9.0,0.0,6.0,8.0,-5.0,-3.0,-22.0,5.0,-2.0,-2.0,25.0,8.0,-6.0,-7.0
23,-2.29,-4.57,0.0,2.86,0.0,10.86,-2.86,0.0,1.71,0.0,-0.57,8.0,4.57,-8.57,6.29,5.71,44.57,-1.14,-5.71,9.71,-10.29,0.0,6.86,0.0,-2.86,0.57,-20.0,11.43,11.43,10.29,2.29,10.29,-16.57,-5.14,3.43,0.0
24,4.0,0.0,0.0,6.67,0.0,-1.33,-1.33,-6.67,-6.67,0.0,-13.33,0.0,-6.67,8.0,-8.0,-17.33,-69.33,-9.33,1.33,-6.67,-8.0,0.0,-9.33,0.0,-5.33,-2.67,30.67,-17.33,1.33,-9.33,17.33,-6.67,-29.33,0.0,6.67,6.67
25,0.0,0.0,0.0,0.0,0.0,1.14,2.29,1.14,-1.71,0.0,-6.86,4.0,-5.71,2.29,5.14,3.43,0.0,2.86,16.57,-1.14,4.57,0.0,7.43,0.0,-6.86,-0.57,16.57,1.71,9.14,-5.14,9.71,3.43,-5.14,12.57,1.14,-1.71
26,-1.33,15.33,0.0,-9.33,12.67,-1.33,-5.33,-2.0,-0.67,0.0,5.33,-2.0,9.33,-1.33,-6.0,-1.33,0.0,0.67,-2.67,-1.33,-6.67,0.0,-17.33,0.0,4.67,8.0,-2.67,0.0,-0.67,0.67,-4.0,0.0,-6.67,0.0,-4.0,-3.33
27,0.0,-24.0,0.0,2.29,-2.29,-1.71,0.0,0.0,5.14,0.0,-6.86,0.57,4.57,4.0,9.71,3.43,6.29,6.29,-2.29,2.29,8.0,0.0,-10.29,0.0,3.43,-4.57,19.43,-3.43,-2.86,3.43,-2.86,-1.14,2.29,-2.86,-7.43,-5.14
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,2.4,8.0,0.0,-12.8,4.0,-1.6,5.6,0.0,2.4,-8.0,-4.8,2.4,-10.4,15.2,-8.0,16.0,3.2,-4.0,13.6,-6.4,0.8,5.6
29,0.0,-0.67,0.0,-6.0,16.0,-3.33,1.33,8.0,0.0,0.0,2.0,-6.0,12.0,-3.33,-2.67,-1.33,0.0,2.0,-1.33,-1.33,-8.67,0.0,-2.0,3.33,0.0,4.67,10.0,-3.33,8.67,-8.67,-0.67,-3.33,0.0,6.67,-15.33,-1.33
30,0.0,-2.67,0.0,-14.67,-3.33,-2.0,0.0,-6.67,1.33,0.0,-3.33,4.0,-8.0,-7.33,-5.33,0.67,0.0,-4.0,-10.0,-1.33,-10.67,-12.0,2.0,0.67,-2.67,1.33,-4.0,-4.0,4.67,6.67,-0.67,0.67,0.0,-1.33,-0.67,0.0
