time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-10.0,-5.5,53.5,-3.0,18.5,-8.5,-16.5,0.0,-54.5,18.5,11.5,9.5,-38.0,14.5,4.5,38.0,0.0,30.5,3.0,-4.5,-0.5,0.0,-2.5,-1.0,-15.0,-7.0,-15.0,-3.5,12.0,-26.5,-5.0,-17.0,-13.0,-7.5,-3.0,-2.5
1,-12.0,-36.8,52.8,13.6,12.8,0.0,-19.2,0.0,-15.2,30.4,36.0,12.0,0.0,14.4,-6.4,5.6,0.0,-6.4,-7.2,-4.8,10.4,1.6,3.2,2.4,1.6,-11.2,5.6,-5.6,-2.4,-10.4,-9.6,-8.0,0.0,9.6,0.0,12.0
2,368.0,541.33,52.0,14.67,0.0,28.0,50.67,218.67,190.67,25.33,36.0,0.0,0.0,-32.0,5.33,0.0,0.0,58.67,29.33,-114.67,0.0,58.67,-2.67,24.0,114.67,117.33,-10.67,-20.0,-125.33,8.0,62.67,53.33,-14.67,-12.0,13.33,38.67
3,0.0,10.0,254.0,8.0,0.0,15.0,-8.0,56.0,-17.0,47.0,42.0,-13.0,113.0,83.0,-67.0,0.0,0.0,8.0,89.0,16.0,0.0,0.0,-92.0,30.0,-8.0,-6.0,-8.0,-7.0,19.0,11.0,-5.0,-6.0,10.0,-1.0,-22.0,-6.0
4,-28.8,-21.6,48.0,50.4,0.0,111.2,-27.2,26.4,-50.4,58.4,133.6,25.6,0.0,0.0,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.6,0.0,-24.8,-25.6,12.0,-23.2,-15.2,-11.2,-23.2,-40.0,18.4,15.2,16.8,-53.6
5,-2.0,-6.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-5.0,6.0,23.0,-26.0,0.0,7.0,17.0,4.0,-2.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.0,14.0,-5.0,-15.0,-32.0,20.0,9.0,3.0,3.0,14.0,-22.0,-24.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,-5.0,-2.0,-5.0,4.0,6.0,-2.0,4.0,-3.0,-11.0,-17.0,-4.0,-4.0
7,20.0,12.0,-130.0,-54.67,0.0,-72.67,10.67,52.0,-21.33,-129.33,-103.33,-67.33,-53.33,0.0,-25.33,0.0,0.0,0.0,-34.67,0.0,0.0,0.0,0.67,5.33,86.0,42.0,16.67,47.33,-7.33,-11.33,22.0,74.0,2.0,18.67,-23.33,22.0
8,-18.0,-26.67,-0.67,-3.33,30.67,6.67,0.67,-15.33,-9.33,1.33,-2.0,2.67,-79.33,-50.67,38.67,14.67,0.0,-54.0,-47.33,-16.67,-8.67,0.67,53.33,-20.67,-15.33,-58.0,-36.67,-2.0,48.0,35.33,-6.0,-40.67,-5.33,4.67,-21.33,-26.0
9,-174.4,7.2,26.4,3.2,68.0,-8.0,36.8,-130.4,-51.2,44.8,7.2,52.8,13.6,19.2,0.0,-16.0,0.0,54.4,28.8,21.6,0.0,-4.0,36.0,-16.8,3.2,-4.8,-2.4,4.8,12.0,12.8,3.2,-5.6,24.8,0.0,4.0,20.0
