time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-17.33,-69.33,-48.0,-26.67,-2.67,39.33,-3.33,-24.67,-32.67,0.0,-26.67,49.33,-25.33,-6.67,60.0,13.33,0.0,-16.0,-23.33,18.0,22.67,0.0,30.0,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.8,-23.2,-68.0,-6.4,36.0,-11.2,20.8,-105.6,-4.0,0.0,-20.0,21.6,-4.0,12.0,-10.4,-14.4,0.0,16.8,10.4,-15.2,2.4,0.0,-2.4,6.4,-42.4,-33.6,-42.4,-16.0,8.8,12.8,0.0,0.0,0.0,28.0,47.2,32.0
2,26.4,96.0,106.4,-44.8,-29.6,-6.4,-23.2,-39.2,-23.2,76.8,41.6,-9.6,0.0,-5.6,-20.0,-23.2,0.0,-28.8,18.4,-11.2,-46.4,0.0,-18.4,13.6,2.4,-42.4,-113.6,-23.2,-29.6,-20.0,-24.8,34.4,0.0,12.8,-20.8,-36.0
3,7.2,12.8,3.2,-1.6,-0.8,0.0,3.2,-10.4,-8.0,16.0,16.0,-4.0,-4.0,3.2,1.6,-12.8,0.0,1.6,8.8,2.4,-4.0,-1.6,-8.0,3.2,-0.8,-2.4,10.4,-0.8,-2.4,-3.2,1.6,2.4,4.8,0.0,-1.6,1.6
4,24.0,46.0,31.0,5.0,9.0,7.0,-83.0,0.0,55.0,20.0,33.0,-11.0,70.0,103.0,32.0,36.0,0.0,-3.0,52.0,3.0,19.0,-18.0,-5.0,-14.0,-11.0,8.0,-14.0,-9.0,17.0,3.0,-26.0,13.0,56.0,0.0,33.0,35.0
5,-0.57,0.57,-0.57,-2.29,1.71,0.0,1.14,0.0,-4.0,2.86,-1.14,1.14,8.0,12.57,-6.86,-5.71,0.0,6.29,0.57,-2.29,8.0,2.86,-5.71,2.29,6.86,2.86,6.86,0.0,2.29,10.86,5.14,5.71,-26.86,21.71,13.71,4.0
6,2.67,-9.33,-10.67,-16.0,-6.67,1.33,38.67,0.0,-9.33,-8.0,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-67.2,-37.6,-137.6,44.0,24.0,0.8,74.4,0.0,-25.6,-92.8,-64.8,5.6,-73.6,-111.2,11.2,18.4,0.0,33.6,-40.0,-8.8,12.0,16.0,16.8,8.0,7.2,-36.8,0.8,22.4,4.8,22.4,2.4,-7.2,9.6,51.2,36.0,10.4
8,-19.2,-7.2,-10.4,8.8,1.6,16.0,1.6,-21.6,-1.6,-3.2,-5.6,-0.8,0.0,13.6,9.6,-34.4,0.0,30.4,-1.6,-4.0,10.4,-1.6,-24.8,-11.2,0.0,6.4,-8.8,5.6,-6.4,-2.4,-12.0,1.6,3.2,6.4,12.8,13.6
9,16.0,5.5,-3.0,-10.0,13.0,-2.5,1.0,14.5,31.0,0.0,-1.0,-0.5,0.0,5.5,-23.5,-33.0,0.0,-13.5,-20.0,3.5,-55.5,-13.0,-6.0,9.5,8.5,26.5,15.0,-14.5,14.0,4.0,-65.0,-18.5,-12.5,2.0,-1.5,-10.0
10,53.0,86.0,142.0,11.0,-15.0,36.0,-7.0,-102.0,0.0,24.0,11.0,-47.0,23.0,18.0,-103.0,-70.0,0.0,0.0,80.0,-1.0,79.0,0.0,-7.0,-4.0,-45.0,35.0,51.0,108.0,66.0,38.0,-33.0,-182.0,0.0,-4.0,-4.0,-30.0
11,3.2,3.2,12.8,3.2,11.2,-1.6,0.8,-0.8,36.0,-8.8,8.8,3.2,6.4,10.4,-54.4,-19.2,-25.6,-63.2,13.6,-0.8,23.2,0.0,-47.2,-22.4,4.8,-1.6,0.0,-8.8,7.2,-0.8,-2.4,-10.4,0.0,-12.8,4.8,4.8
12,-13.6,-32.0,-18.4,-4.0,-20.0,-12.8,-6.4,-12.8,-12.8,4.0,-9.6,16.8,-15.2,0.0,28.0,4.0,-9.6,13.6,-19.2,-0.8,-20.0,0.0,1.6,12.0,-16.0,-6.4,0.0,-43.2,-0.8,-21.6,4.0,6.4,0.0,2.4,0.8,-0.8
13,-17.0,-10.0,-25.0,2.0,11.0,-4.0,-1.0,4.0,-3.0,-1.0,1.0,9.0,-13.0,-1.0,3.0,1.0,0.0,-2.0,9.0,8.0,10.0,0.0,2.0,-1.0,26.0,0.0,-25.0,-31.0,-37.0,25.0,40.0,-10.0,0.0,-33.0,-16.0,29.0
14,-61.6,-68.0,-67.2,33.6,0.8,-13.6,15.2,59.2,-13.6,-16.0,25.6,38.4,0.0,55.2,28.0,22.4,0.0,17.6,-5.6,-27.2,14.4,18.4,-14.4,4.0,-24.8,-44.8,-27.2,-7.2,-38.4,-4.0,116.0,0.0,0.0,41.6,6.4,33.6
15,18.86,29.14,47.43,-18.29,-40.57,2.29,-30.86,-28.57,-10.29,19.43,-16.0,-28.57,0.0,10.29,2.86,-9.14,0.0,-2.29,7.43,10.86,-6.86,0.57,3.43,12.0,3.43,-29.71,-56.0,-22.86,-27.43,-16.57,-10.29,-21.71,0.0,32.57,13.71,-18.86
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,22.4,0.0,-16.8,6.4,-8.0,-0.8,0.0,0.0,0.0,28.0,0.0,0.0,34.4,0.0,12.0,-9.6,48.8,0.0,0.0,-78.4,-20.8
17,28.0,56.0,70.0,-17.0,44.0,24.0,-53.0,0.0,42.0,35.0,-2.0,-9.0,60.0,70.0,5.0,78.0,0.0,-82.0,31.0,9.0,59.0,-43.0,-11.0,-37.0,22.0,34.0,-66.0,0.0,14.0,-13.0,6.0,32.0,241.0,-67.0,-4.0,11.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-16.0,-50.4,-49.6,-48.8,-29.6,-36.8,-36.0,-28.0,-36.0,-14.4,3.2
19,-2.67,-12.0,-10.67,0.0,-14.67,10.67,-12.0,20.0,-45.33,-13.33,10.67,13.33,-17.33,-40.0,36.0,58.67,0.0,97.33,-34.67,-2.67,-18.67,18.67,13.33,10.67,-13.33,0.0,0.0,0.0,-62.67,0.0,6.67,-13.33,-42.67,26.67,0.0,-22.67
20,-56.0,-62.86,-28.0,24.0,15.43,-6.29,54.29,0.0,-49.71,-26.29,-5.14,33.14,0.0,-51.43,2.86,-12.0,0.0,-21.14,8.0,1.14,15.43,9.14,-5.71,-8.57,0.0,-18.29,30.86,19.43,7.43,-13.71,0.0,0.0,0.0,0.0,37.71,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.67,73.33,28.0,62.67,38.67,4.0,-9.33,28.0,37.33,48.0,60.0
22,-8.0,6.0,-40.0,19.0,14.0,37.0,-38.0,31.0,-6.0,0.0,-74.0,-14.0,0.0,-15.0,-10.0,-15.0,0.0,68.0,-4.0,-6.0,-29.0,0.0,1.0,2.0,0.0,111.0,-51.0,-25.0,26.0,9.0,-76.0,12.0,0.0,-58.0,-80.0,-35.0
