time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,3.5,-3.5,-34.0,-14.5,22.5,3.0,-6.0,7.5,4.5,12.0,-31.0,-39.5,0.0,-8.0,-40.0,21.5,6.0,0.0,0.0,6.0,16.5,0.0,72.0,3.0,4.0,3.0,0.0,-0.5,3.5,-3.5,0.0,-5.5,-2.0,7.0,3.5,-2.5
1,13.0,17.0,-63.0,-31.0,21.0,5.0,2.0,11.0,5.0,-36.0,-24.0,0.0,0.0,15.0,-5.0,-1.0,3.0,0.0,0.0,36.0,4.0,0.0,27.0,1.0,14.0,88.0,19.0,42.0,50.0,-9.0,-8.0,-28.0,12.0,80.0,105.0,-31.0
2,15.43,6.29,-52.0,16.0,-36.0,-16.0,2.86,-4.57,14.86,-10.29,10.29,0.0,0.0,17.14,17.14,-31.43,108.0,-2.86,0.0,-7.43,-18.86,0.0,8.0,13.71,-2.86,-8.0,-29.14,-19.43,33.14,19.43,37.71,10.86,-82.29,14.86,-9.71,-2.29
3,-0.57,18.29,0.0,56.0,-81.14,-24.0,-16.0,15.43,0.57,-6.86,83.43,-4.0,0.0,3.43,14.86,0.57,8.0,2.29,0.0,-6.86,2.86,0.0,-1.71,0.57,6.29,-2.86,-6.29,0.57,10.86,5.71,6.29,11.43,-12.0,-5.14,4.0,11.43
4,-29.0,-6.0,-15.0,1.0,-34.0,-17.0,14.0,4.0,-2.0,0.0,29.0,1.0,0.0,7.0,62.0,-31.0,29.0,21.0,0.0,-2.0,-17.0,0.0,-95.0,22.0,-12.0,-45.0,51.0,-29.0,-18.0,-3.0,50.0,21.0,9.0,-30.0,-42.0,28.0
5,3.33,-2.67,0.0,0.0,7.33,2.0,0.67,-1.33,0.0,0.0,0.67,2.0,-22.0,3.33,8.0,4.67,5.33,14.67,0.0,7.33,6.67,0.0,12.0,4.0,0.0,-9.33,0.0,0.67,-4.0,0.0,-10.0,2.67,1.33,6.0,6.0,2.0
6,-3.0,2.0,0.0,5.0,10.0,1.0,6.0,-1.0,14.0,0.0,6.0,0.0,-2.0,-7.0,-10.0,19.0,129.0,-16.0,0.0,-15.0,-4.0,0.0,29.0,-6.0,0.0,32.0,0.0,0.0,0.0,0.0,-6.0,0.0,-13.0,0.0,0.0,-20.0
7,16.67,12.67,0.0,20.0,13.33,2.67,-10.67,-12.0,6.0,0.0,-3.33,34.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,2.67,-31.33,30.67,-0.67,-4.0,-0.67,-12.0,2.0,15.33,25.33,0.0
8,0.0,2.4,-21.6,-7.2,13.6,0.0,4.0,-3.2,0.8,5.6,-16.0,1.6,0.0,0.0,-16.0,24.8,-32.0,0.0,0.0,20.0,14.4,32.8,36.0,-15.2,-3.2,-65.6,55.2,23.2,-78.4,-42.4,-73.6,-40.0,96.0,-31.2,18.4,-6.4
9,-42.0,-47.33,84.0,-70.67,54.67,32.0,2.67,6.0,-11.33,48.67,-87.33,-97.33,0.0,41.33,-56.0,13.33,-32.0,0.0,0.0,-29.33,-8.67,0.0,-23.33,14.0,-21.33,0.0,-60.0,51.33,6.0,-4.67,3.33,28.0,-67.33,8.0,-14.0,-22.67
