time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.0,0.0,0.37,0.47,0.56,0.09,0.0,0.37,0.47,0.0,0.6,0.6,-0.6,-0.51,0.28,-0.09,-0.42,0.56,0.14,0.0,-0.23,-0.14,0.65,0.42,0.0,0.33,0.37,0.37,0.14,0.23,0.0,-0.19,0.0,-0.09,0.33,-0.19
1,0.33,-0.29,-0.05,0.24,-0.05,-0.14,-0.1,-0.1,0.9,0.0,0.76,0.57,0.43,0.19,0.19,0.81,2.33,-0.24,0.1,0.57,0.52,1.43,0.81,0.29,0.0,0.71,2.24,0.29,0.67,0.62,0.0,0.52,0.0,-0.19,-0.1,0.0
2,0.36,0.18,1.07,0.0,0.8,0.27,0.13,0.36,0.31,0.0,-0.18,-0.36,-0.18,-0.62,0.31,0.4,1.42,0.0,0.22,-0.49,0.09,1.47,0.13,0.18,0.0,0.4,1.24,0.53,-0.04,0.0,0.0,0.36,3.2,-0.22,0.13,0.0
3,-0.11,0.11,-1.68,-0.95,0.32,0.16,-0.42,-0.84,-0.16,0.0,-1.05,-0.79,0.32,-0.11,-0.16,-0.63,0.53,-0.42,-0.11,-0.05,0.0,-0.21,0.26,0.0,0.0,-0.26,-3.47,-0.26,0.11,0.37,0.0,-0.11,0.0,0.16,0.21,0.0
4,-1.08,-0.67,0.0,0.15,0.0,0.1,0.31,-0.31,-0.26,-1.69,1.33,-0.1,-1.54,-0.92,0.51,0.56,-0.51,0.62,1.74,-0.56,-0.1,0.0,-0.62,-0.62,0.0,0.56,1.13,-0.41,0.51,-0.46,0.0,-0.1,0.0,-0.51,-0.1,-0.15
5,-0.3,0.39,0.0,0.3,0.61,-0.09,0.0,0.0,0.0,0.26,0.13,0.48,2.22,0.78,1.61,0.0,-1.61,0.13,2.43,0.39,-1.09,1.83,-0.96,-0.83,0.43,0.17,0.17,0.22,-0.26,0.22,0.0,0.17,0.0,-0.17,-0.13,-0.09
6,0.35,0.35,2.12,1.18,0.71,-0.12,0.12,0.65,-0.41,-0.82,0.47,0.12,0.94,0.06,0.0,-0.71,-0.18,0.12,0.59,0.59,0.06,-0.06,0.06,0.12,4.76,2.35,-3.12,0.35,-2.24,-0.71,0.0,0.71,0.0,0.24,-2.0,-1.06
7,2.27,0.51,1.22,1.94,0.84,0.67,0.0,0.21,-0.34,0.17,0.93,0.8,1.31,2.44,1.35,0.04,-0.21,0.42,-1.94,-0.55,0.13,1.14,0.42,0.46,-0.93,0.38,-0.76,0.34,0.51,2.11,0.25,2.95,-1.81,0.38,1.64,0.93
8,-0.18,0.84,1.05,0.13,0.22,0.66,-0.04,0.04,0.4,1.05,1.19,-0.13,-0.13,-0.04,0.26,0.0,0.4,-0.31,0.53,0.13,-0.09,0.31,0.13,0.18,-0.26,-0.18,0.0,0.04,-0.4,0.26,0.09,0.44,-0.18,0.0,0.66,0.22
9,0.19,0.14,0.71,0.38,0.52,-0.05,0.14,-0.1,0.29,1.19,1.33,-0.19,1.62,0.38,1.33,0.29,0.48,0.33,0.14,2.14,-0.95,-0.14,0.1,0.29,0.05,-0.1,1.19,0.48,1.43,0.48,0.48,1.62,1.0,0.0,0.9,0.9
10,-0.29,-0.05,0.0,-0.29,0.1,0.14,-0.05,-0.33,-0.1,0.33,0.67,0.81,0.19,-0.9,-0.33,0.29,-0.38,0.14,3.0,0.43,0.62,-0.62,-0.33,-0.9,0.48,0.14,-0.86,0.24,0.38,0.29,0.57,-0.14,-0.9,0.1,-0.57,-0.19
11,-0.43,-0.19,-0.76,-0.81,-0.9,0.14,-0.1,0.14,0.48,-0.19,1.0,0.76,-0.19,-0.62,-0.14,-0.14,1.05,0.19,-0.19,0.9,-0.14,0.05,0.05,-0.14,0.05,1.1,-1.57,0.19,-2.71,-1.05,-3.43,-3.67,0.38,-0.57,0.48,-1.1
12,-1.0,-0.7,-2.65,-0.43,-0.13,-1.43,-0.65,-0.04,-0.04,-0.91,-0.65,-0.74,-3.87,-1.83,-0.39,0.78,0.87,0.22,-0.48,1.78,0.39,-1.0,-1.0,-0.48,-2.65,-1.39,0.0,0.17,1.78,0.35,0.0,-3.22,1.83,-0.3,0.3,-0.39
13,0.0,-0.16,0.33,-0.16,-0.16,0.0,0.44,-0.05,0.11,0.66,-0.16,0.22,-3.29,-0.22,-4.16,-1.86,-1.1,-3.56,-4.49,1.53,-0.49,-3.45,1.26,-0.49,0.0,-2.52,0.0,0.93,0.71,0.44,0.0,-0.11,0.0,0.11,-0.49,0.27
14,-0.61,0.41,0.3,-0.1,-0.41,-1.01,0.66,-0.05,0.3,1.11,-1.87,-2.18,0.86,-0.91,-0.05,-0.15,0.46,-0.41,-1.06,-2.94,-1.67,0.66,-2.84,-0.56,-0.05,-5.82,-0.41,-1.11,-1.52,-1.27,0.0,2.73,-1.16,0.96,2.38,1.32
15,-0.14,0.14,0.0,-0.32,0.0,-0.05,-0.05,-0.41,-0.09,0.05,0.27,0.0,1.5,3.73,1.59,-0.86,-3.14,0.09,-1.55,0.59,-1.23,1.36,-1.0,-1.0,0.0,1.59,2.95,0.95,3.77,2.91,4.36,1.73,2.68,1.23,2.18,2.27
16,-1.13,0.72,2.21,1.33,0.77,0.05,0.87,2.0,0.62,-1.18,1.18,-1.44,0.0,0.56,0.31,0.15,0.62,-0.46,-0.36,0.15,0.26,0.46,0.15,1.03,2.15,0.26,0.97,1.79,1.85,-0.41,-0.51,0.56,1.38,0.05,0.05,-0.05
17,-0.09,-0.13,0.04,0.96,0.57,0.57,-0.39,0.09,-0.22,-0.39,0.43,-0.04,0.0,0.91,0.61,1.22,2.74,1.78,-0.17,0.87,0.52,1.17,1.87,2.0,-0.78,0.39,-1.96,1.74,-1.0,-0.13,-3.0,-0.39,1.74,-0.22,-0.87,-0.65
18,0.05,0.0,0.23,-0.09,0.18,0.27,0.14,0.23,0.14,0.18,0.45,-0.23,-0.91,0.27,0.09,-0.05,-0.32,-1.55,-2.68,-0.41,-0.23,-0.14,-0.68,-0.23,0.09,-0.05,0.0,0.14,-0.95,-0.23,-0.09,-0.45,0.23,-0.36,-0.36,-0.23
19,0.2,0.05,-0.3,-0.15,-0.35,-0.89,-0.05,-0.3,0.15,0.35,-0.35,-0.05,0.05,-0.35,0.0,0.2,-0.89,-0.1,-0.3,-1.48,0.15,-0.99,0.1,0.35,0.05,0.59,0.0,0.84,2.72,0.49,0.05,1.73,0.15,0.44,-0.44,0.25
20,0.04,0.0,0.53,-0.26,-0.18,-0.09,0.04,-0.09,0.22,-0.31,-0.4,-0.75,0.79,-1.45,0.18,-1.32,-3.08,0.09,-1.89,1.19,-0.4,0.26,0.0,0.04,0.7,1.1,-0.57,0.31,1.58,0.66,3.21,1.05,-1.01,-0.48,-2.95,0.31
21,0.4,0.0,-0.45,-1.35,-1.75,-0.8,-0.55,-0.4,-0.35,-0.2,0.9,-1.8,-0.25,0.4,0.1,0.15,1.0,0.15,-0.35,-1.45,0.85,-0.3,-0.8,0.25,0.0,0.05,0.1,0.25,-0.6,-0.5,-1.75,0.0,-0.2,-0.1,0.3,0.0
22,-0.23,0.28,1.81,-0.7,1.3,0.37,0.93,-0.6,-0.23,1.21,-1.44,-0.28,-3.16,-4.74,-2.47,-0.79,4.14,0.23,-2.79,-1.12,0.56,-3.12,-1.21,0.47,0.0,-2.23,-1.02,0.14,-1.16,-1.77,-3.72,-1.53,-2.19,-1.26,-1.4,-1.21
23,-0.09,0.05,-0.66,-0.09,0.14,0.14,0.0,-0.09,0.0,0.0,0.19,0.89,-0.85,-0.24,0.05,1.04,-2.78,1.74,1.27,1.98,0.8,-0.38,0.42,-0.28,1.04,-0.71,-0.94,1.22,-0.75,0.94,2.82,0.14,0.0,0.19,-0.8,-0.05
24,-0.25,0.35,0.64,1.33,-0.05,0.49,0.3,0.89,0.0,0.0,0.15,2.32,0.1,-0.44,0.89,0.69,1.33,0.4,1.19,1.63,1.23,-0.4,0.79,1.04,0.0,5.88,1.14,-1.48,-0.59,0.74,0.0,-1.68,0.0,-1.63,-0.59,-1.33
25,1.16,-0.16,-0.16,1.47,-0.26,0.58,-0.21,0.11,-0.74,0.0,-0.32,-0.26,5.63,3.95,1.68,0.58,3.26,-0.37,0.0,0.79,-1.37,1.58,-1.42,-0.89,0.0,1.74,1.58,1.74,1.37,-0.16,0.0,-1.16,-0.58,0.42,1.47,-1.16
26,0.25,-0.05,-0.15,-0.3,0.5,0.35,0.1,0.0,0.2,0.75,0.7,-0.3,2.9,4.1,0.9,-1.3,-3.55,0.55,-0.05,-0.2,-1.1,-0.1,0.0,0.8,0.0,-0.5,0.2,0.05,-0.2,-0.05,1.5,0.15,1.3,0.05,0.2,0.25
27,0.44,0.83,1.85,1.71,0.93,-0.49,-0.54,0.83,-0.44,0.0,-0.34,0.0,1.8,2.39,0.2,1.12,3.56,0.49,-1.17,-0.39,-0.59,1.22,2.29,0.15,1.32,-2.44,-0.98,-1.95,2.39,0.29,-1.8,2.49,-0.88,0.24,0.34,2.15
28,0.1,0.19,0.62,-0.14,-0.05,0.0,-0.24,0.29,-0.19,0.1,0.52,0.67,0.71,-0.38,0.57,0.19,-3.9,-0.67,-0.14,1.71,-0.38,0.71,1.43,1.05,-0.57,-0.57,0.86,0.14,-0.1,-0.05,-0.48,0.0,-0.62,0.14,-0.52,0.24
29,0.42,0.25,0.0,-1.21,-1.12,0.33,-1.0,-1.46,-0.5,2.25,0.12,0.04,-0.33,0.12,0.04,-0.25,-0.04,0.29,1.17,0.58,0.17,-0.79,0.0,0.12,-1.17,0.62,2.46,0.42,-0.46,-0.17,-1.12,1.12,2.79,-0.71,-0.25,0.54
30,-0.58,-0.29,-0.62,-0.38,-0.38,-0.75,-0.62,0.42,0.12,1.38,-1.25,-1.12,0.08,0.67,0.71,0.92,-1.12,0.46,-3.58,-1.25,0.42,0.62,-0.46,-0.33,-0.46,-0.54,0.21,-1.42,-1.62,-1.38,-1.54,0.08,0.96,0.17,-0.62,0.08
31,0.0,-0.16,0.59,0.05,-0.32,0.32,0.43,0.16,-0.22,-0.81,0.49,0.49,-2.97,0.0,-0.86,-0.32,1.41,-0.27,0.16,-0.05,0.97,-0.54,-1.57,-0.54,0.54,0.0,0.0,0.38,0.38,-0.05,-0.43,-0.54,0.16,-0.11,-0.22,-0.16
32,-0.36,-0.44,-0.62,-0.49,-0.84,1.07,0.22,0.71,-0.09,-1.11,-0.71,0.44,-0.8,-1.33,-0.13,0.04,-0.36,0.8,0.84,3.42,-0.09,-1.6,0.09,-0.62,0.62,-0.13,0.0,0.13,0.04,-1.42,-5.91,-2.76,0.58,0.49,-2.89,-1.47
33,0.09,-0.05,-0.33,-0.09,0.0,-0.24,0.09,0.09,-0.05,-1.08,0.05,0.14,-4.0,-3.91,-2.12,0.19,-2.49,-1.36,1.74,1.36,-0.28,-0.94,0.38,-0.61,-3.67,-2.02,0.0,0.14,1.27,1.51,0.0,-3.01,0.8,0.71,1.22,-0.14
34,-0.44,-0.74,-2.22,-0.69,-0.94,-0.44,-0.25,-0.54,0.4,0.99,-0.4,-1.63,0.15,0.15,-1.33,-0.44,-0.05,0.35,-0.59,-0.54,0.0,-1.33,0.25,-0.15,-0.79,-0.2,0.0,-0.59,-0.15,-0.1,0.0,0.25,0.0,-0.49,0.94,0.1
35,-0.45,-0.3,2.3,1.2,0.3,-2.1,0.05,1.65,0.3,3.15,-1.75,0.0,-0.25,-0.2,0.45,-0.35,-1.25,-2.15,-3.4,-0.95,-1.1,-0.25,-0.55,-0.15,0.0,-4.9,-1.15,0.55,-3.0,0.25,1.25,2.75,-1.0,0.5,-0.4,0.25
36,-0.13,-0.13,0.31,-0.09,0.04,-0.04,-0.13,-0.22,-0.09,-0.54,0.09,0.13,3.51,2.92,1.53,-1.12,0.85,1.44,-0.04,-1.66,-1.71,-0.9,-1.53,-0.45,0.09,0.18,0.0,0.13,-0.09,0.04,0.09,0.18,0.13,0.31,0.76,0.04
37,-0.14,0.27,0.09,-0.27,-0.27,1.14,-1.27,-0.77,-0.64,0.36,0.59,-2.18,1.73,0.09,-0.14,0.27,-0.5,-0.27,-2.0,0.55,0.41,0.45,-0.05,0.09,1.41,2.0,-3.0,-0.41,-2.95,-0.36,2.64,3.32,0.0,-0.5,2.36,2.45
38,0.54,0.33,3.26,0.62,-0.16,0.95,0.78,0.82,-0.16,0.49,0.16,-0.99,0.49,0.45,0.66,1.28,1.15,0.45,0.25,0.25,0.7,1.48,1.61,1.11,1.61,1.07,0.99,0.16,-0.12,2.56,-0.33,-0.82,-0.74,-0.29,0.78,-0.04
39,-0.14,0.33,1.38,0.19,0.52,0.05,0.19,0.48,-0.52,-0.57,-0.33,-1.24,0.0,0.1,0.24,0.05,0.38,-0.62,0.05,0.86,-1.0,0.29,0.95,-0.14,0.29,0.05,0.0,0.38,0.62,-0.29,0.14,0.1,0.05,0.05,-0.48,0.14
40,-1.09,-0.7,1.7,0.3,-0.7,0.35,0.0,0.91,0.52,1.83,1.17,-2.09,-0.09,0.96,-0.17,0.43,1.57,0.04,-1.0,-1.43,0.48,1.13,-0.61,0.91,-1.13,0.39,0.0,-0.13,0.57,0.91,0.96,-0.13,0.48,-0.13,2.0,-0.13
41,-0.2,-0.24,0.54,0.24,0.1,-0.1,0.0,0.0,-0.05,0.98,-0.29,-0.73,-0.05,1.02,0.39,-0.29,0.78,-0.39,-0.29,-0.54,-0.05,0.68,0.1,-0.24,-2.1,-0.59,1.27,1.07,0.24,-0.2,2.44,1.02,-0.29,-0.2,-0.49,-0.39
42,0.24,-0.62,-1.43,-0.14,-0.9,-0.81,-0.48,-0.43,-0.14,-1.57,0.0,0.29,-0.29,0.14,0.33,-0.57,-1.29,0.1,0.05,-0.71,-1.0,0.76,-0.71,-0.52,-0.19,0.24,-0.48,-0.14,0.33,-0.14,0.14,-0.14,-0.48,0.0,0.24,0.05
43,-1.57,-1.19,-1.28,-0.77,-1.23,0.38,-0.04,0.3,-0.17,0.13,-1.57,0.3,-1.49,-2.17,-0.55,-0.51,2.43,-0.43,-1.02,-0.09,0.34,-2.04,-0.51,1.36,-2.55,-0.17,-1.28,0.89,-0.43,-1.23,-2.98,-0.51,-2.26,-0.26,-0.04,-0.04
44,0.09,-0.14,-0.41,-0.14,0.18,0.41,0.05,-0.09,0.23,-0.97,-0.55,-0.32,-3.03,-1.1,-1.24,-0.09,-0.51,0.41,0.23,0.87,-0.32,1.24,-0.18,-0.41,0.55,-0.46,0.0,0.23,-0.23,-0.18,-0.74,0.23,1.33,-0.37,-1.1,0.05
45,-0.23,0.32,-1.27,0.55,0.59,0.59,1.09,1.05,0.86,-2.27,-0.14,-0.64,-0.95,-2.05,-1.45,-0.32,-0.41,-1.14,-1.27,0.32,1.05,0.05,-0.73,-0.82,0.68,0.05,0.0,-0.14,2.41,-0.45,1.27,-2.23,4.18,-1.14,-1.36,-0.45
46,0.1,0.05,-0.41,0.56,-1.52,0.2,0.0,0.46,-0.15,-1.16,0.56,-0.2,-0.1,0.66,0.1,0.35,0.3,-1.32,2.73,4.41,1.22,0.56,1.06,0.41,0.71,0.71,-0.76,-0.56,-0.3,-1.32,0.0,-0.2,0.0,-0.61,-2.43,0.15
47,1.33,0.1,2.38,-0.05,-0.19,0.86,0.38,-0.86,0.43,0.33,-1.57,-2.52,1.38,-0.81,0.1,0.19,-5.14,-0.62,0.71,2.19,0.14,0.24,-0.86,-2.1,0.67,-0.38,1.38,0.14,0.05,-1.24,0.0,0.33,-1.0,0.19,-0.14,-0.14
48,0.71,0.67,2.31,1.6,0.89,0.27,-0.09,0.44,0.09,0.53,1.47,0.49,5.69,6.0,1.47,-1.38,0.49,0.4,0.44,-1.82,-0.36,1.2,0.62,0.22,0.76,1.2,-0.4,-0.8,-1.87,0.04,0.0,1.73,-3.29,0.09,-0.8,-0.44
49,0.21,0.05,0.05,0.0,0.26,0.21,-0.05,0.05,0.0,0.1,0.36,0.1,2.05,0.1,0.15,0.1,1.23,0.1,-0.62,-2.0,-0.31,0.41,0.72,1.03,0.21,0.31,0.0,0.31,-0.05,0.0,0.0,-0.05,0.05,0.1,0.21,0.0
50,-0.09,0.31,0.04,0.4,0.18,0.04,0.31,-0.04,-0.09,-0.26,0.18,1.32,-0.26,1.1,1.14,1.58,-0.09,0.0,0.35,1.71,0.0,0.44,0.66,0.48,-1.67,2.15,0.0,0.22,-0.09,2.55,0.31,2.29,-0.4,0.7,1.98,0.62
51,0.45,0.21,1.28,0.45,0.16,0.58,-0.21,0.08,-0.16,0.45,-0.78,0.66,0.0,-0.16,0.25,0.0,0.21,0.33,-0.78,0.12,-0.21,0.99,0.29,-0.16,-0.33,-1.15,-0.95,-0.49,1.11,0.0,0.04,0.66,0.0,-0.04,0.41,0.58
52,-0.14,0.14,-1.08,0.28,-0.33,-0.09,0.05,-0.05,0.28,-0.52,0.8,0.52,0.19,0.28,0.8,0.56,-0.14,-0.05,1.13,0.47,0.47,0.94,-0.05,-0.09,0.0,-0.28,-0.09,0.75,0.28,-0.28,0.14,-0.28,0.38,0.05,0.19,0.19
53,-0.66,-0.04,1.41,0.18,0.92,-0.35,-0.22,-0.4,-0.35,1.76,-0.53,-0.4,0.18,-0.53,-0.57,0.09,0.35,-0.09,0.13,0.26,1.14,0.7,-0.26,-0.09,0.0,-0.48,-0.4,-0.92,-1.1,-1.1,-1.8,-0.57,-0.92,0.0,-0.31,-0.44
54,-0.19,0.09,0.23,-0.14,0.33,-0.05,0.0,-0.28,-0.09,-0.19,-0.14,0.6,-0.19,0.05,0.19,-0.65,0.14,-0.09,-2.28,0.42,0.33,-0.79,0.14,-0.33,0.0,-0.51,1.35,-0.19,-0.7,-1.3,0.0,-0.23,-1.81,0.28,0.05,-0.74
55,-0.42,-0.1,-0.73,-0.57,-0.21,0.16,-0.31,0.21,0.16,0.73,0.36,0.78,-0.36,-2.03,-0.52,0.16,2.08,0.16,-1.19,-0.05,1.09,-0.16,-0.94,-0.62,0.0,0.78,-4.73,0.16,-0.62,-0.78,-3.38,-3.06,-3.79,-0.05,-0.16,-0.68
56,0.04,0.21,-0.59,-0.29,-0.59,-0.34,0.08,0.21,0.38,-0.72,0.51,-0.25,-2.23,-2.44,-0.46,0.34,-0.8,0.17,-0.21,1.43,-0.08,-0.97,0.13,-0.34,-0.04,-0.46,0.0,-0.46,1.01,0.93,0.0,-2.91,1.56,-0.38,1.85,-0.04
57,-0.05,-0.11,0.53,0.05,-0.21,-0.16,-0.11,-0.27,0.0,0.16,-0.32,-0.27,-0.27,-0.96,-1.07,-0.05,-0.69,-0.43,-0.11,0.8,0.11,0.11,0.05,0.21,-4.48,-2.61,0.0,1.01,0.64,-0.11,0.0,-0.27,1.55,-0.05,-2.72,-0.53
58,-0.7,-0.54,0.16,0.16,0.43,-0.38,-0.86,-0.49,-0.49,2.05,-0.97,-1.3,-0.81,0.54,-0.22,-1.57,2.27,-0.97,-3.08,-4.54,-0.59,-0.86,0.32,1.14,-0.16,-1.89,0.0,1.35,2.32,2.59,0.0,1.78,0.0,0.38,-0.11,1.19
59,0.15,0.45,-0.05,0.3,-0.05,-0.95,0.65,0.2,0.05,0.2,0.4,-0.9,0.15,0.8,0.5,-0.15,-0.6,0.1,-0.45,-0.7,0.25,1.2,-0.25,0.25,-0.25,-0.25,0.0,-0.05,0.05,0.6,0.0,0.4,-3.2,0.05,1.55,-0.35
60,0.83,0.44,1.85,-0.2,0.29,0.0,0.0,0.0,0.0,0.24,-0.83,0.29,1.41,0.29,0.59,-0.15,-1.12,0.54,-0.29,-1.07,-0.63,0.98,0.24,-0.68,0.0,-0.1,0.0,0.24,-0.1,-1.37,0.0,2.34,-2.29,-0.1,2.59,1.27
61,0.09,0.05,0.78,0.05,-0.23,-0.18,-0.69,-0.69,-0.05,-0.18,-0.78,-1.29,1.93,0.69,1.24,-0.05,0.18,-0.37,0.09,-0.55,-0.55,0.18,-0.32,-0.18,1.24,0.83,0.0,-0.28,-1.2,0.23,1.79,2.57,-0.18,0.41,1.79,1.06
62,0.17,0.06,0.33,0.06,0.11,0.06,0.22,0.11,0.0,-0.17,-0.17,-0.28,0.33,0.67,0.44,-0.11,0.22,0.22,0.67,0.22,-0.33,-0.06,0.11,0.0,0.67,0.17,-0.5,-0.44,0.06,-0.06,2.11,2.28,0.17,0.44,2.61,1.33
63,0.33,0.43,0.76,0.52,0.33,-0.1,0.14,0.1,0.33,0.1,0.48,0.24,1.33,0.48,0.67,0.48,-0.33,0.43,0.19,0.1,-0.43,0.57,0.67,0.1,-0.05,0.86,1.57,0.24,0.9,2.48,1.1,0.24,1.43,0.43,-0.24,0.19
