time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-1.33,-2.22,-8.44,1.78,0.0,-0.89,-5.33,0.0,3.56,5.33,1.33,3.11,4.44,0.89,-4.44,5.33,16.0,6.67,0.0,-8.0,4.0,0.0,-0.89,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0
1,3.0,-3.0,12.0,3.0,-7.0,6.0,14.0,2.0,2.0,-9.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,12.0,0.0,39.0,5.0,0.0,5.0,-3.0,-7.0,2.0,-10.0
2,-8.0,1.6,7.2,-3.2,2.4,0.0,4.8,1.6,1.6,0.0,3.2,0.0,0.0,2.4,0.8,4.8,4.0,13.6,0.0,-4.0,11.2,0.0,0.0,7.2,1.6,3.2,4.0,5.6,6.4,7.2,-4.8,-3.2,15.2,-1.6,-1.6,4.8
3,-1.33,6.0,-18.0,-0.67,-8.67,0.67,4.0,-0.67,1.33,0.67,8.0,-6.67,0.67,-8.0,-0.67,-6.67,-2.0,-6.0,0.0,38.0,-14.0,0.0,2.67,5.33,6.67,6.67,-8.67,4.67,-4.0,-4.67,-2.67,0.0,-5.33,10.0,-1.33,2.67
4,-7.0,-10.0,32.0,4.0,12.0,-1.0,2.0,-3.0,0.0,1.0,2.0,5.0,10.0,-21.0,5.0,10.0,0.0,-12.0,0.0,-1.0,-13.0,0.0,6.0,27.0,-12.0,-6.0,-20.0,-1.0,0.0,3.0,-9.0,-25.0,11.0,1.0,0.0,2.0
5,-1.14,-10.86,-28.0,8.0,-11.43,-5.71,-0.57,0.57,2.29,0.0,-2.86,0.0,-4.0,-1.14,-7.43,5.14,1.71,18.86,28.0,-9.71,-1.71,0.0,0.0,-11.43,-6.29,-10.86,-8.0,-4.0,4.0,-2.86,8.0,-10.29,-21.14,4.57,-1.71,2.29
6,3.33,4.0,-4.67,-2.67,1.33,1.33,3.33,-1.33,2.67,2.0,-2.0,0.0,7.33,0.0,-12.67,-14.67,4.67,-4.67,-17.33,4.0,10.0,0.0,-3.33,3.33,11.33,-8.67,9.33,-19.33,14.67,-13.33,-34.0,13.33,14.0,-2.67,0.67,0.0
7,12.8,-7.2,-29.6,-7.2,60.0,11.2,-38.4,6.4,16.8,19.2,-7.2,0.0,-5.6,-12.8,-1.6,14.4,-15.2,-21.6,0.0,44.0,9.6,0.0,8.8,-3.2,-12.0,-9.6,4.8,3.2,-61.6,-19.2,-12.8,12.8,2.4,-3.2,-11.2,4.8
8,3.2,0.0,8.0,-12.8,-16.8,-8.0,-3.2,-5.6,-7.2,0.0,2.4,0.0,0.0,-28.8,10.4,31.2,-89.6,0.0,0.0,68.0,3.2,0.0,0.0,-3.2,0.0,-5.6,-8.8,10.4,0.0,-0.8,-8.8,-0.8,-17.6,-3.2,-3.2,-2.4
9,13.0,7.0,-6.0,-12.0,2.0,2.0,-5.0,-3.0,1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,-10.0,1.0,5.0,10.0,28.0,-4.0,-5.0,-37.0,0.0,-9.0,-2.0,-2.0,-3.0
10,6.0,8.67,8.67,-1.33,-6.67,-4.67,6.0,3.33,-1.33,0.0,2.67,0.0,0.0,7.33,-17.33,-14.67,52.67,-9.33,-13.33,0.0,13.33,0.0,0.0,12.0,6.67,-4.0,-2.0,3.33,19.33,12.0,14.0,-8.0,12.0,0.67,3.33,-0.67
11,0.0,-2.0,-1.0,-6.0,-33.0,0.0,7.0,2.0,12.0,-2.0,8.0,-14.0,0.0,24.0,-13.0,-8.0,20.0,39.0,61.0,0.0,-5.0,0.0,0.0,6.0,8.0,-2.0,-18.0,-11.0,-12.0,-1.0,3.0,-2.0,-26.0,-4.0,3.0,-1.0
12,0.0,8.0,-4.0,0.8,16.8,-0.8,0.0,0.8,-3.2,-9.6,-3.2,-2.4,-4.0,2.4,10.4,-5.6,0.0,12.8,-2.4,5.6,0.0,0.0,6.4,-7.2,1.6,-6.4,-5.6,0.0,4.8,4.8,10.4,0.8,-11.2,-2.4,0.8,-0.8
13,-10.4,-6.4,8.8,4.8,16.0,-4.0,-6.4,4.8,1.6,0.0,-1.6,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-3.33,0.0,6.67,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,2.67,0.0,-27.33,-9.33,16.0,8.0,22.67,11.33,29.33,-12.0,-6.67,0.0,29.33,-34.67,-0.67,10.0,0.0,-6.0,-32.0,-14.67,-1.33,17.33,8.67,8.0,-7.33,-8.0
15,-19.2,-11.2,-1.6,23.2,-20.0,-12.0,4.0,4.0,-3.2,-30.4,10.4,0.0,8.8,25.6,16.8,-36.0,68.0,-40.0,-22.4,39.2,-43.2,0.0,1.6,7.2,16.0,4.0,-5.6,-18.4,34.4,5.6,7.2,8.0,17.6,-1.6,3.2,-1.6
16,-19.33,-9.33,1.33,27.33,-8.67,-14.0,6.67,6.67,3.33,-17.33,22.0,0.0,0.0,4.0,15.33,-17.33,33.33,6.0,0.0,7.33,-18.67,0.0,0.0,0.67,2.0,-3.33,3.33,-2.0,2.0,3.33,16.0,-4.67,-8.67,0.0,2.0,0.0
17,-5.33,6.67,38.0,-12.0,-10.67,-5.33,16.0,5.33,-11.33,0.0,3.33,0.0,0.0,0.0,0.0,-5.33,-2.0,-8.0,0.0,-23.33,0.0,0.0,0.0,20.0,-4.0,5.33,-17.33,9.33,5.33,7.33,10.67,3.33,-13.33,7.33,2.0,2.67
18,8.0,-1.33,4.67,1.33,19.33,-9.33,-18.0,-4.0,6.67,4.67,5.33,-2.67,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,-7.33,6.0,7.33,2.67,5.33,-10.0,-10.67,-10.0,4.67,-3.33
