time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-8.89,-15.11,-16.0,2.67,-19.11,13.33,5.33,-7.11,-2.67,0.0,-10.22,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.2,24.8,0.0,-3.2,-40.0,-14.4,30.4,7.2,-16.0,0.0,-15.2,0.0,0.0,-11.2,-1.6,27.2,-51.2,-3.2,4.0,12.0,52.0,0.0,56.0,-8.8,27.2,68.8,11.2,23.2,12.8,24.8,-58.4,-8.8,-20.0,-25.6,-6.4,16.8
2,2.0,-1.33,6.67,0.0,-2.67,-3.33,2.0,1.33,-0.67,0.0,-2.0,-9.33,-8.67,7.33,-24.67,-3.33,0.0,20.67,-22.67,-29.33,-5.33,0.0,-6.67,6.0,-8.0,-14.67,-5.33,-8.67,-0.67,-0.67,-2.0,12.0,12.67,2.67,2.67,4.0
3,-1.71,-2.29,-8.57,0.0,7.43,-2.86,-6.29,-0.57,2.86,0.0,5.14,-4.57,0.0,0.0,3.43,1.14,17.71,0.0,0.0,-6.29,-1.14,0.0,-6.86,2.86,-3.43,-12.0,-12.57,0.57,-0.57,2.29,6.29,-2.29,6.86,0.57,-0.57,2.29
4,1.0,3.0,4.0,17.0,10.0,7.0,1.0,6.0,6.0,0.0,9.0,15.0,0.0,-2.0,4.0,3.0,-10.0,0.0,0.0,8.0,7.0,0.0,48.0,-20.0,9.0,12.0,17.0,9.0,-4.0,1.0,-3.0,4.0,9.0,-6.0,12.0,-1.0
5,-4.8,0.8,-20.8,2.4,0.0,3.2,-3.2,0.0,1.6,0.0,2.4,13.6,0.0,4.0,-0.8,8.0,24.8,-45.6,-5.6,23.2,19.2,0.0,30.4,-5.6,7.2,0.0,3.2,-4.0,-7.2,-9.6,-3.2,0.8,-4.0,-2.4,-3.2,-2.4
6,-16.0,-10.29,-49.14,5.14,23.43,10.86,-22.29,-8.0,6.86,0.0,13.14,22.29,0.0,7.43,-6.29,3.43,-19.43,0.0,0.0,20.0,-12.0,0.0,-22.86,1.14,-6.29,-0.57,10.86,-2.29,-26.29,-28.57,-4.0,27.43,18.29,1.14,-19.43,0.57
7,45.0,41.0,129.0,-2.0,-22.0,-33.0,33.0,19.0,-43.0,8.0,-25.0,-111.0,4.0,-4.0,12.0,11.0,0.0,20.0,0.0,6.0,-4.0,0.0,1.0,-5.0,29.0,55.0,-8.0,10.0,0.0,-11.0,-86.0,48.0,18.0,-34.0,-12.0,27.0
8,6.0,-6.0,-8.0,-2.0,-5.0,1.0,-11.0,-6.0,3.0,0.0,0.0,6.0,-6.0,-13.0,-8.0,25.0,0.0,19.0,0.0,-13.0,1.0,0.0,11.0,-4.0,-4.0,-14.0,36.0,1.0,0.0,-6.0,10.0,-13.0,-1.0,-3.0,4.0,20.0
9,9.0,2.0,14.0,-7.0,-18.0,-1.0,3.0,2.0,-8.0,0.0,-9.0,-19.0,-7.0,-2.0,-20.0,-4.0,0.0,0.0,0.0,-12.0,-5.0,0.0,-3.0,8.0,-41.0,-38.0,-45.0,-6.0,0.0,30.0,-29.0,-17.0,-9.0,-6.0,-6.0,-14.0
