time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,5.0,-3.0,2.0,3.5,-1.0,-2.5,-1.5,-1.5,0.0,0.0,-7.0,-2.0,0.0,-3.5,0.5,7.0,11.5,0.5,0.0,-1.5,-2.5,-19.0,5.5,0.0,3.0,-3.0,0.0,-1.5,-2.5,0.0,0.0,-3.5,1.5,-1.0,10.5,3.5
1,-4.67,5.33,8.0,-0.67,0.0,0.67,1.33,0.67,-0.67,0.0,0.0,-6.67,3.33,-2.67,5.33,-4.67,-3.33,6.0,0.0,10.0,1.33,13.33,-1.33,-3.33,9.33,18.0,0.0,-14.0,-8.0,-0.67,0.0,8.0,1.33,-10.0,-6.67,-4.0
2,-0.67,4.67,3.33,-4.0,-3.33,-2.67,1.33,4.0,2.0,0.0,-7.33,-0.67,-4.0,6.0,0.67,-2.0,7.33,-6.67,5.33,-6.0,-0.67,4.0,-2.0,0.67,-0.67,10.67,0.0,0.0,3.33,6.0,0.0,-10.0,1.33,-0.67,1.33,-10.67
3,3.33,-4.0,4.0,-2.67,0.0,-3.33,2.0,0.67,2.0,0.0,10.67,0.0,1.33,-5.33,-1.33,0.67,-6.0,0.67,4.67,1.33,2.67,-8.67,3.33,-1.33,0.0,-0.67,-10.67,-12.0,-2.0,-0.67,-5.33,-4.0,2.67,3.33,13.33,-0.67
4,-3.2,4.0,0.8,4.8,-5.6,4.0,1.6,0.0,-0.8,0.0,1.6,1.6,7.2,8.0,2.4,1.6,0.8,3.2,4.8,4.8,3.2,0.8,0.0,-3.2,0.0,-1.6,-12.0,9.6,6.4,4.0,8.8,2.4,-3.2,0.8,6.4,1.6
5,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.33,2.0,4.0,-3.33,8.0,-2.0,0.0,-1.33,-2.67,-2.67,-5.33,0.0,-6.67,-16.67,-10.0,3.33,1.33,0.0,0.0,8.0,-5.33,2.67,0.0
6,9.0,-2.0,-5.0,3.0,-3.0,0.0,2.0,0.0,0.0,0.0,-1.0,-11.0,0.0,2.0,-1.0,-3.0,3.0,5.0,-14.0,2.0,-3.0,-6.0,-7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-6.29,-1.71,-1.14,-4.0,1.71,-1.14,-2.29,-0.57,-2.86,0.0,3.43,2.29,0.0,0.57,2.29,-0.57,-29.14,-2.86,-12.57,-0.57,0.0,-6.86,-6.29,-6.29,9.14,-10.29,0.0,-9.71,-9.14,-2.29,0.0,-1.71,-1.71,2.86,-2.29,1.71
8,-11.0,3.0,10.0,-3.0,-1.0,2.0,-2.0,0.0,-6.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,-15.0,6.0,11.0,22.0,-12.0,1.0,-56.0,-3.0,-2.0,12.0,31.0,0.0,37.0,-2.0,-6.0,0.0,1.0,-2.0,7.0,-11.0,-8.0
9,0.0,-4.0,-8.0,-2.4,-1.6,0.0,0.8,-4.0,2.4,0.0,0.8,4.0,0.0,-4.0,-7.2,0.0,-9.6,-12.0,-18.4,0.8,-7.2,-10.4,-0.8,-6.4,-24.0,1.6,0.0,-31.2,16.8,-9.6,0.0,0.8,-9.6,-2.4,20.8,-2.4
10,3.2,2.4,10.4,-3.2,-0.8,-1.6,0.0,-1.6,3.2,0.0,-12.8,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,0.0,0.0,-7.2,0.0,0.0,12.0,-20.8,0.0,-14.4,15.2,0.0,0.0,-4.0,5.6,5.6,-4.0,-5.6
11,-6.4,-0.8,-7.2,4.0,1.6,3.2,-2.4,-1.6,-0.8,0.0,4.8,-8.8,0.0,4.0,-1.6,1.6,1.6,-0.8,9.6,-16.8,-2.4,14.4,1.6,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-3.0,-3.0,-2.0,4.0,5.0,0.0,5.0,2.0,1.0,0.0,-4.0,6.0,-6.0,8.0,4.0,1.0,28.0,6.0,-21.0,7.0,0.0,5.0,-5.0,3.0,0.0,-25.0,9.0,-1.0,6.0,6.0,0.0,1.0,-1.0,2.0,1.0,0.0
13,3.43,-1.71,0.0,0.57,-0.57,0.0,0.0,0.57,0.0,0.0,0.0,0.57,-1.14,4.0,5.14,1.14,4.57,9.14,-1.14,3.43,-0.57,2.86,0.57,0.0,-2.29,1.71,0.0,-4.0,-3.43,2.86,0.0,-8.0,-2.29,1.14,3.43,-0.57
14,-2.0,4.0,7.0,2.0,5.0,-2.0,0.0,4.0,1.0,0.0,-1.0,-3.0,16.0,1.0,0.0,5.0,7.0,-4.0,-4.0,2.0,-1.0,0.0,-1.0,6.0,19.0,-4.0,0.0,15.0,6.0,-12.0,0.0,15.0,5.0,6.0,2.0,0.0
15,-1.6,1.6,-9.6,1.6,-0.8,-5.6,1.6,0.0,1.6,0.0,18.4,4.8,21.6,0.0,4.8,5.6,3.2,0.8,0.8,3.2,-4.8,-1.6,1.6,-4.8,0.0,0.0,40.0,0.0,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0
16,1.6,1.6,0.0,0.8,5.6,3.2,0.8,0.0,0.0,0.0,14.4,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,-12.0,0.0,-4.0,4.8,31.2,5.6,-2.4,1.6,22.4,-4.0
17,0.0,-1.33,-6.67,2.0,0.0,-0.67,-1.33,-1.33,-1.33,0.0,-2.67,4.0,2.0,5.33,2.67,2.67,-11.33,-10.67,2.0,2.0,4.0,-1.33,-2.0,-0.67,4.67,16.67,0.0,-0.67,1.33,3.33,0.0,-1.33,2.67,3.33,-7.33,10.0
18,-4.0,2.0,-23.0,0.0,-4.0,2.0,-3.0,-1.0,-3.0,0.0,11.0,15.0,0.0,-18.0,4.0,-3.0,-12.0,0.0,-7.0,0.0,3.0,12.0,7.0,4.0,0.0,17.0,-29.0,-6.0,22.0,2.0,0.0,-5.0,-5.0,-3.0,-25.0,1.0
19,-1.33,-2.0,20.67,0.0,-2.0,0.0,3.33,2.0,0.0,0.0,-6.67,-4.67,18.67,15.33,-0.67,0.0,-8.67,2.0,9.33,2.67,0.0,-4.0,-7.33,-2.67,0.0,2.0,-1.33,-1.33,-9.33,-0.67,0.0,0.0,0.67,-0.67,4.0,-2.67
20,2.0,-3.0,2.0,2.0,-2.0,-5.0,0.0,5.0,0.0,0.0,10.0,0.0,-1.0,-12.0,-8.0,9.0,-4.0,7.0,1.0,5.0,0.0,1.0,1.0,0.0,15.0,22.0,0.0,3.0,1.0,9.0,0.0,5.0,10.0,4.0,1.0,12.0
21,-2.86,3.43,-1.14,-1.71,1.71,1.14,1.71,-1.14,0.0,0.0,0.0,-3.43,10.29,-5.14,0.0,2.29,3.43,3.43,-1.71,2.86,-2.29,0.57,2.86,1.14,-6.86,0.0,0.0,-6.29,-0.57,1.71,12.0,-4.0,-6.29,-0.57,5.71,-4.0
22,-5.6,0.0,0.0,12.0,1.6,1.6,2.4,-1.6,-0.8,1.6,24.0,1.6,7.2,5.6,3.2,5.6,0.0,-6.4,4.0,0.8,-4.0,-0.8,0.8,-4.0,0.0,-9.6,2.4,3.2,0.0,2.4,-17.6,-3.2,-15.2,-3.2,-0.8,2.4
23,0.0,-3.33,7.33,0.67,5.33,4.0,0.67,1.33,0.67,1.33,6.0,-3.33,-2.67,0.0,7.33,-2.0,0.0,-2.67,1.33,2.67,4.0,-0.67,-4.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.67,-10.0,-2.67,-4.0,1.33,-1.33,-2.67,-1.33,-1.33,6.67,0.67,4.0,-2.67,1.33,13.33,2.67,10.67,0.67,-6.0,-4.0,-2.0,10.67,3.33,9.33,-2.0,0.0,-6.0,1.33,6.0,0.0,-2.0,-4.67,2.0,-6.67,-2.67
25,-1.6,-0.8,6.4,4.0,-5.6,-0.8,-0.8,-1.6,0.8,0.0,0.0,17.6,0.0,0.8,-9.6,-11.2,3.2,-12.0,1.6,-20.8,1.6,4.0,-6.4,0.0,12.0,-6.4,-2.4,2.4,-0.8,-4.0,0.0,4.0,10.4,-2.4,13.6,-1.6
26,4.0,-3.2,8.0,-7.2,6.4,0.8,-0.8,0.0,-0.8,0.0,14.4,-1.6,12.8,-5.6,-4.8,1.6,-6.4,-11.2,-0.8,4.8,0.0,-1.6,1.6,-3.2,0.0,4.0,3.2,-6.4,-1.6,-2.4,10.4,3.2,4.0,4.0,5.6,-4.0
27,6.0,1.33,-1.33,-2.0,2.0,0.0,-0.67,4.0,-2.0,0.0,18.0,-6.0,5.33,-4.67,-7.33,-4.0,-0.67,12.0,-2.67,-6.67,1.33,6.67,0.0,-1.33,0.0,4.0,-10.0,14.67,-0.67,0.67,-2.0,1.33,-3.33,-9.33,1.33,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,4.0,-3.0,1.0,-5.0,-4.0,12.0,-9.0,0.0,5.0,-3.0,9.0,15.0,-4.0,-2.0,2.0,-3.0,7.0,0.0,4.0,-8.0,-6.0,18.0,5.0
29,14.0,6.0,50.0,-6.0,-6.0,-12.0,0.0,2.0,10.0,0.0,-72.0,-32.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.4,-3.2,-4.8,0.8,0.8,-1.6,-0.8,0.8,0.8,0.8,-14.4,-6.4,-5.6,-0.8,1.6,9.6,-1.6,-24.8,-4.8,-4.8,-1.6,-16.0,1.6,-2.4,0.0,4.8,-139.2,2.4,-1.6,0.8,-0.8,3.2,-2.4,-1.6,8.0,-5.6
31,4.0,1.6,-17.6,0.8,1.6,4.0,1.6,-1.6,3.2,8.0,-3.2,15.2,-9.6,-3.2,0.8,-16.8,3.2,-14.4,0.0,-13.6,-4.0,-4.0,0.0,0.8,0.0,3.2,0.0,-8.8,0.0,-1.6,0.0,0.0,-2.4,1.6,1.6,0.0
32,2.0,-0.67,3.33,-1.33,-0.67,0.67,-0.67,-0.67,0.0,0.0,2.0,5.33,0.67,0.0,-2.67,4.67,6.0,7.33,1.33,4.67,2.0,-6.0,2.0,-2.0,0.0,-4.67,1.33,7.33,-3.33,1.33,5.33,-2.0,-6.0,-2.67,-13.33,0.0
33,6.0,-5.0,-4.0,-1.0,-2.0,0.0,0.0,-1.0,-4.0,0.0,-16.0,1.0,5.0,3.0,3.0,8.0,4.0,-9.0,9.0,-5.0,-4.0,2.0,0.0,-1.0,0.0,40.0,0.0,3.0,-9.0,-11.0,0.0,-3.0,5.0,-7.0,-8.0,-3.0
34,0.0,5.33,9.33,0.0,1.33,-2.67,1.33,0.0,0.0,0.0,13.33,-2.67,0.0,-14.67,-4.0,-10.67,0.0,13.33,-12.0,1.33,5.33,-2.67,0.0,-1.33,0.0,64.0,1.33,50.67,-20.0,6.67,0.0,0.0,0.0,9.33,2.67,-8.0
35,-2.67,-2.0,0.0,0.67,2.67,-1.33,-6.0,0.67,1.33,0.0,12.0,-3.33,0.0,2.67,2.67,-4.0,-7.33,0.67,-4.0,-5.33,1.33,-1.33,3.33,8.0,-4.67,-2.0,-2.67,-12.0,12.67,2.0,0.0,0.0,6.0,-3.33,4.67,6.67
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,-12.0,-4.0,0.0,-8.0,-10.0,-7.0,12.0,-6.0
