time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-2.86,2.29,4.57,2.29,-5.71,2.29,1.71,0.57,-1.71,0.0,10.86,-6.29,2.29,-8.57,-8.0,6.86,52.0,13.14,6.86,0.57,2.29,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,12.0,-1.0,7.0,21.0,-11.0,-10.0,-5.0,-9.0,0.0,11.0,26.0,-6.0,16.0,3.0,4.0,12.0,-19.0,-3.0,1.0,19.0,0.0,-16.0,0.0,0.0,12.0,-59.0,-1.0,7.0,-22.0,0.0,0.0,21.0,0.0,-55.0,-27.0
2,-5.0,-5.0,-7.0,7.0,4.0,-8.0,-7.0,-5.0,-9.0,0.0,26.0,10.0,-39.0,7.0,-6.0,-39.0,0.0,-25.0,-23.0,2.0,29.0,0.0,-25.0,0.0,0.0,8.0,17.0,-45.0,9.0,0.0,0.0,0.0,0.0,0.0,-12.0,-11.0
3,7.43,-5.14,0.0,-3.43,-4.57,-0.57,0.57,6.29,-4.0,0.0,10.86,-2.29,-5.71,-2.86,-10.86,-8.57,0.0,17.71,-6.86,-20.57,7.43,0.0,2.86,2.86,0.0,-4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-85.33,-12.0,21.33,-50.67,-53.33,-20.0,0.0,-32.0,-17.33,0.0,-22.67,-14.67,0.0,-4.0,-4.0,9.33,0.0,-25.33,-46.67,-12.0,20.0,0.0,13.33,12.0,0.0,-21.33,-56.0,-86.67,-86.67,13.33,-118.67,0.0,0.0,0.0,-53.33,-20.0
5,-12.0,-6.4,1.6,-17.6,-51.2,-19.2,3.2,-23.2,2.4,0.0,6.4,4.8,0.0,10.4,14.4,-5.6,0.0,7.2,2.4,-4.0,4.0,0.0,39.2,-3.2,0.0,-4.8,0.0,3.2,5.6,16.8,-3.2,-38.4,0.0,0.0,65.6,-8.8
6,-30.0,6.0,0.0,0.0,-6.0,-28.0,26.0,-122.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,8.0,0.0,24.0,-10.0,0.0,18.0,0.0,8.0,8.0,0.0,16.0,0.0,18.0,-2.0,14.0,-64.0,-64.0,0.0,0.0,-2.0,38.0
7,0.0,0.0,0.0,-9.6,0.0,0.0,0.0,0.0,-3.2,0.0,10.4,0.0,-9.6,8.0,-18.4,51.2,0.0,-17.6,-48.0,-10.4,0.0,0.0,9.6,62.4,48.0,12.8,-13.6,18.4,6.4,-16.0,44.0,0.0,0.0,0.0,-10.4,0.0
8,-3.2,95.2,19.2,49.6,-10.4,-76.0,7.2,31.2,-32.0,0.0,138.4,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.8,28.0,6.4,0.0,-38.4,-11.2,-7.2,0.0,0.0,-4.0,-5.6
9,-5.6,14.4,108.8,15.2,56.8,12.0,7.2,50.4,15.2,0.0,51.2,12.0,20.0,102.4,-9.6,0.0,-104.8,28.8,33.6,-33.6,68.0,0.0,-4.8,-28.0,0.0,41.6,71.2,11.2,52.0,9.6,0.0,80.8,0.0,0.0,-19.2,-30.4
10,-10.4,-27.6,-18.0,7.6,6.4,26.4,-16.0,-25.2,11.6,0.0,18.0,-8.0,52.0,33.6,18.0,2.4,2.0,-9.6,34.0,1.6,0.0,0.0,-32.8,0.0,7.2,-24.4,-30.8,-1.2,28.0,29.2,-40.4,-2.4,0.0,0.0,-0.4,17.6
11,-3.43,-5.14,-2.86,-4.57,-9.71,6.29,0.57,-13.71,-4.57,0.0,14.29,-2.86,62.29,50.29,17.14,63.43,17.14,-104.0,52.57,20.0,0.0,0.0,-56.57,0.0,-6.29,-4.0,8.57,-2.29,-1.14,5.71,1.71,-1.71,0.0,0.0,-0.57,-1.14
12,-4.0,-20.8,-16.8,-11.2,-34.4,24.0,-19.2,-20.8,-12.0,-68.0,-11.2,0.0,-5.6,16.8,58.4,44.8,106.4,54.4,56.8,39.2,72.0,0.0,40.0,-6.4,-28.0,-32.8,-33.6,-16.0,-73.6,38.4,-6.4,-32.8,0.0,0.0,-13.6,-13.6
13,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.4,0.0,-4.8,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8.0,5.0,27.0,11.0,23.0,2.0,32.0,3.0,39.0,3.0,5.0,-39.0,10.0,-15.0,-31.0,-103.0,-81.0,-128.0,-88.0,-49.0,-60.0,0.0,2.0,-11.0,41.0,20.0,18.0,33.0,11.0,80.0,-14.0,14.0,15.0,2.0,3.0,4.0
15,29.33,24.67,12.0,-20.0,14.67,-40.67,-0.67,64.0,-4.0,-35.33,-118.67,-20.0,-46.67,-58.0,-20.67,-34.0,0.67,90.0,-44.0,8.0,0.0,0.0,17.33,0.0,42.67,14.67,0.0,40.0,35.33,-70.0,32.67,76.67,0.0,0.0,20.0,-2.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,2.0,-14.0,-9.0,3.0,-3.0,7.0,10.0,0.0,0.0,4.0,0.0,18.0,1.0,88.0,-68.0,-73.0,2.0,27.0,0.0,0.0,0.0,-22.0,-17.0
17,20.0,44.0,-29.33,-6.67,-6.67,-76.0,29.33,-100.0,-4.0,0.0,-73.33,-33.33,-64.0,-64.0,20.0,0.0,0.0,-29.33,-24.0,-28.0,0.0,0.0,0.0,0.0,-16.0,-54.67,-134.67,-49.33,-153.33,-68.0,140.0,0.0,0.0,0.0,-4.0,53.33
18,13.6,17.6,-38.4,-13.6,0.0,42.4,-8.0,7.2,2.4,0.0,-40.0,0.0,2.4,13.6,-3.2,20.0,-24.0,-33.6,16.8,-3.2,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,14.0,-44.0,0.0,-10.0,-148.0,55.0,-13.0,0.0,-12.0,0.0,-117.0,0.0,-15.0,-1.0,29.0,92.0,-106.0,197.0,64.0,-11.0,-24.0,0.0,0.0,0.0,-62.0,-44.0,5.0,-59.0,0.0,133.0,0.0,0.0,-67.0,0.0,58.0,0.0
