time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.0,2.46,0.0,-2.77,0.92,4.0,-1.23,-3.38,-0.92,0.0,-1.54,-0.31,0.0,-3.08,-3.08,-3.69,0.0,1.54,0.0,-2.15,5.54,0.0,0.0,-4.92,0.0,2.15,0.0,0.0,0.0,-1.54,0.92,-5.23,0.0,0.0,-2.15,0.0
1,0.27,-1.6,0.0,-2.4,10.67,-0.27,1.6,1.87,-2.93,0.0,3.2,-1.33,0.0,0.27,-1.07,1.07,0.0,3.73,-5.07,0.8,1.07,0.0,8.53,1.07,5.07,-2.4,0.53,6.67,1.87,0.0,1.87,-2.4,0.0,0.0,-9.07,-1.6
2,-3.56,6.22,18.22,-5.33,-4.89,2.67,9.78,12.0,6.67,0.0,13.78,-10.67,-18.67,-1.33,13.33,22.22,0.0,-8.0,7.11,11.56,0.0,0.0,-1.78,-4.44,-2.67,-7.56,-9.33,-4.44,-15.56,4.44,17.78,8.89,0.0,0.0,12.0,5.33
3,9.78,-20.89,-7.11,1.78,40.0,-0.89,-1.33,0.0,-1.33,0.0,6.22,0.89,31.11,-2.22,-5.78,3.56,0.0,2.67,9.33,-4.44,8.89,0.0,0.0,0.0,8.0,7.11,-15.56,-18.22,-11.56,4.44,2.22,0.0,0.0,0.0,-53.78,-2.22
4,-37.71,-33.71,0.0,13.71,0.0,-1.71,0.57,-24.57,5.71,0.0,-2.86,9.71,33.71,-2.29,-12.0,2.29,0.0,-20.0,-25.71,-10.86,-12.0,0.0,-8.57,0.0,-0.57,4.0,13.14,4.0,10.86,-5.71,5.71,0.0,0.0,0.0,-24.57,-12.0
5,7.5,1.5,0.0,43.5,26.0,12.5,6.5,3.0,-21.5,0.0,-5.5,8.0,0.0,8.0,18.5,-0.5,-35.0,-6.5,10.5,17.0,-38.0,0.0,-16.0,0.0,-8.5,16.0,32.0,37.5,34.0,-3.5,4.5,0.0,0.0,0.0,27.5,7.5
6,-0.57,1.14,-9.14,-5.14,1.14,1.14,2.86,-2.29,2.29,0.0,6.29,3.43,0.57,1.71,1.71,-4.0,11.43,-4.0,-6.86,10.86,5.14,0.0,-3.43,0.0,-2.86,16.57,40.57,25.14,26.86,-32.57,17.14,0.0,0.0,0.0,12.57,-2.29
7,-8.0,0.0,-6.0,-2.67,-1.33,8.0,-8.0,-8.67,0.67,0.0,15.33,2.0,-2.67,-2.67,-10.0,13.33,6.67,18.67,4.0,-14.0,14.0,0.0,7.33,4.67,18.67,7.33,10.0,5.33,-5.33,-0.67,-54.0,0.0,3.33,0.0,0.0,10.67
8,14.86,13.14,25.14,22.29,4.57,-6.86,1.14,0.0,-11.43,0.0,8.0,12.57,-21.14,-10.86,-5.14,10.86,-1.14,-3.43,-9.71,-1.71,-3.43,0.0,-14.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,22.4,52.0,45.6,36.0,8.8,-2.4,1.6,-31.2,-7.2,0.0,-4.0,-5.6,-8.8,-9.6,0.0,-1.6,-9.6,-2.4,3.2,-0.8,16.8,0.0,-3.2,0.0,-12.8,-35.2,-41.6,-16.8,7.2,15.2,0.0,0.0,4.8,0.0,7.2,10.4
10,-8.8,25.6,0.0,-29.6,0.0,7.2,4.0,-40.8,20.8,0.0,8.8,-71.2,-64.0,-26.4,11.2,-12.0,47.2,19.2,18.4,-16.8,4.8,0.0,0.0,0.0,-43.2,-22.4,-64.0,-7.2,-27.2,-4.0,-0.8,0.0,42.4,0.0,-39.2,-30.4
11,104.0,-21.33,0.0,-137.33,0.0,-22.67,-49.33,-84.0,-8.0,0.0,45.33,-34.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,33.6,-5.6,-39.2,6.4,46.4,35.2,0.0,60.0,4.0,0.0,-7.2,36.0,17.6,-6.4,13.6,36.8,0.0,32.8,-9.6,-17.6,36.8,0.0,-4.0,14.4,0.0,53.6,0.0,-12.8,12.0,-60.0,29.6,0.0,0.0,0.0,28.8,13.6
13,2.4,0.8,16.0,-5.6,-2.4,5.6,2.4,-8.8,-4.8,0.0,8.8,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,0.0
14,43.43,46.29,6.86,-24.57,65.14,14.29,-13.14,-10.86,-20.0,0.0,-34.29,-29.71,24.57,-8.0,-8.57,5.71,0.0,-35.43,-24.0,23.43,-43.43,0.0,13.14,8.57,0.0,5.14,53.14,97.14,18.86,61.71,-94.86,0.0,0.0,0.0,-26.29,-21.14
15,19.2,-4.0,69.6,57.6,24.8,-4.8,-0.8,31.2,13.6,0.0,9.6,16.0,12.8,-4.0,6.4,-19.2,0.0,-6.4,3.2,8.8,-18.4,0.0,-20.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.67,4.0,5.33,1.33,0.0,-17.33,6.67,0.0,26.67,0.0,-9.33,0.0,0.0,-128.0,0.0,-72.0,-37.33,-61.33,-129.33,0.0,0.0,0.0,22.67,29.33
17,-3.2,-2.4,1.6,-26.4,4.8,15.2,8.8,-8.0,4.0,0.0,26.4,-2.4,-12.0,3.2,2.4,14.4,-21.6,14.4,0.8,10.4,21.6,0.0,8.0,0.0,20.0,14.4,0.0,45.6,46.4,-16.8,20.0,0.0,60.8,0.0,-12.8,-8.8
18,-2.67,-1.33,-36.0,-12.0,0.0,-5.33,8.0,-69.33,-6.67,0.0,22.67,-37.33,-4.0,-2.67,0.0,0.0,0.0,-8.0,-1.33,-4.0,24.0,0.0,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-54.4,-51.2,-50.4,1.6,-23.2,1.6,-7.2,8.0,-8.0,0.0,24.0,35.2,-43.2,-17.6,18.4,-12.8,0.0,24.0,-11.2,-29.6,-40.8,0.0,-18.4,0.0,1.6,64.8,0.0,-27.2,15.2,-12.0,0.0,0.0,0.0,0.0,-14.4,51.2
20,33.0,-13.0,-51.0,-47.0,0.0,-30.0,-20.0,41.0,21.0,0.0,19.0,-54.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,26.0,1.0,-48.0,-30.0,-63.0,-88.0,19.0,0.0,29.0,0.0,35.0,-81.0
