time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.44,-0.44,1.33,0.0,-2.67,-1.78,-1.33,-2.22,-6.67,2.22,-2.22,-0.89,0.0,3.56,0.44,-20.44,5.78,-0.89,6.67,-8.89,3.56,0.0,2.22,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.2,1.6,7.2,0.0,-7.2,-4.8,0.0,-2.4,0.0,-7.2,4.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,21.6,11.2,-10.4,-4.8,-12.0,1.6,-29.6,0.0,2.4,-8.0
2,0.0,0.0,0.0,8.57,0.0,0.0,-0.57,0.0,8.0,0.0,0.0,6.86,0.0,8.57,-19.43,-1.71,6.86,-19.43,2.86,-7.43,12.0,0.0,-32.0,15.43,9.71,8.0,1.71,-29.14,5.71,6.29,29.14,9.71,-21.14,0.0,-8.0,-10.86
3,-18.4,-17.6,23.2,-13.6,-23.2,11.2,7.2,12.0,-19.2,46.4,-4.8,-33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,11.2,-6.4,-3.2,7.2,0.8,0.0,0.0,-11.2,-16.8,0.0,12.0
4,4.57,-1.71,-5.71,-3.43,12.57,1.14,-7.43,-6.86,-1.14,-5.14,-5.71,5.14,-29.14,-30.29,-6.29,29.71,0.0,-9.14,-23.43,18.86,-18.86,-18.29,-13.14,16.0,-0.57,-7.43,-10.86,-2.86,9.71,-2.86,-5.14,-10.29,14.29,-17.71,-14.86,13.71
5,3.2,0.0,2.4,2.4,0.8,-1.6,0.0,0.8,0.0,8.8,-2.4,-6.4,-13.6,-0.8,12.8,1.6,0.8,15.2,8.0,0.8,13.6,0.0,8.8,-5.6,4.0,-1.6,-0.8,4.0,3.2,-0.8,-2.4,-1.6,-16.8,23.2,1.6,-4.0
6,-1.33,-0.67,-1.33,-0.67,1.33,-1.33,-5.33,0.0,1.33,-3.33,1.33,0.67,0.0,-2.67,-16.0,2.67,-17.33,6.0,-13.33,0.67,0.0,0.0,0.0,-2.0,-15.33,8.0,-26.0,2.0,0.67,-0.67,15.33,-3.33,-6.67,-14.67,7.33,18.0
7,-9.33,-6.67,13.33,3.33,-20.67,-1.33,2.67,4.67,-4.0,-9.33,6.67,13.33,0.0,9.33,-1.33,-2.0,7.33,-4.0,6.67,-7.33,10.0,0.0,0.67,6.67,0.67,-2.67,14.0,-2.0,-2.67,2.67,7.33,-2.0,3.33,0.0,6.0,6.67
8,3.0,-10.0,-19.0,0.0,-3.0,-7.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8.0,-2.29,-27.43,8.57,-0.57,-4.57,-9.71,-9.71,10.29,0.0,1.14,18.86,0.0,-2.86,15.43,-26.86,30.29,-0.57,21.71,5.14,-15.43,0.0,13.14,-18.29,12.0,4.57,-20.57,5.71,-4.0,-6.29,-6.86,5.71,26.29,0.0,10.86,33.14
