time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.05,-0.42,-0.14,-0.65,0.6,-0.14,-0.05,-0.23,-0.09,-0.7,-1.63,-0.28,0.19,-0.6,0.19,0.05,0.56,0.33,-0.42,-0.51,0.05,-0.19,0.0,0.6,0.51,0.19,0.42,-0.37,0.0,-0.09,0.0,0.88,-1.02,-0.28,0.0,0.05
1,0.0,0.0,1.29,0.05,-0.14,0.1,-0.1,0.14,-0.05,0.0,-0.62,-0.19,0.1,0.24,-0.1,0.1,-1.0,-0.57,-0.76,0.19,-0.9,0.86,0.71,-0.14,-0.43,0.05,-1.14,0.1,-0.19,0.62,0.0,0.29,1.24,0.05,-0.14,-0.14
2,0.21,0.16,-0.59,-0.69,-0.11,-0.53,0.27,0.21,0.16,0.0,-0.32,-1.6,0.0,0.27,0.8,-0.48,-2.67,-0.64,-1.92,2.03,0.32,0.27,-0.59,-1.49,0.32,0.05,-1.33,-1.28,0.0,-0.27,-1.17,-0.75,-4.16,0.27,0.37,0.0
3,0.47,-0.16,0.0,-0.05,0.0,-0.42,-0.16,0.21,0.0,0.47,-0.05,-0.05,0.11,0.16,0.26,-0.05,-0.05,0.11,0.84,-0.32,-0.16,0.37,-0.11,0.05,-0.89,-0.26,0.0,-0.37,-0.63,0.11,-0.16,-0.68,0.79,0.32,0.21,0.16
4,-0.29,0.1,1.32,0.29,0.49,0.68,-0.1,0.44,0.29,1.07,0.05,-0.63,0.2,0.05,0.63,-0.05,-1.22,-0.29,-0.05,1.46,0.54,0.2,-0.39,-0.29,0.24,-0.29,0.63,0.34,-0.34,-0.05,-0.93,-2.63,-0.63,-0.2,-0.29,-0.78
5,-0.04,-0.17,-0.38,0.26,0.64,0.21,0.0,-0.3,-0.43,0.89,2.21,0.6,-0.64,0.0,0.04,0.17,0.0,0.04,1.06,0.72,0.34,0.89,-0.21,0.21,0.13,-0.21,-1.4,0.09,-0.13,0.3,0.0,-0.26,-0.13,0.09,-0.77,0.17
6,0.0,0.05,-0.2,0.0,-0.25,-0.2,0.1,-0.1,-0.2,0.05,0.0,0.2,0.85,-0.7,-1.2,0.2,1.7,-0.2,3.3,0.2,1.7,-1.85,-1.8,0.0,-4.75,-2.25,-5.95,-0.4,-2.75,-0.6,0.0,-1.25,-4.8,0.6,-2.15,0.05
7,-0.64,0.59,-0.99,-0.44,-0.3,-0.44,0.69,0.44,0.25,0.64,-0.44,-0.4,-0.2,1.38,-1.48,-0.15,1.53,1.33,-7.01,-1.68,0.99,-2.52,-0.94,2.07,-2.72,0.35,0.0,0.3,0.0,-0.25,4.59,-0.05,-1.38,0.64,0.15,0.3
8,0.21,-0.11,-1.0,-0.26,0.16,0.11,-0.05,-0.37,-0.16,0.42,0.0,0.0,0.0,1.26,-0.05,0.05,-0.11,-0.16,0.16,0.42,0.0,0.79,-0.05,-0.37,0.84,-3.79,-0.16,-1.0,-3.74,-0.58,-2.0,3.74,3.32,-0.21,-0.89,0.32
9,-0.37,-0.47,-0.05,0.37,-0.7,0.0,-0.74,0.05,-0.19,-2.09,0.23,-0.19,0.0,0.88,0.79,0.05,-1.49,0.37,1.58,-0.98,-0.19,0.28,0.14,0.51,0.23,1.72,0.14,1.67,-2.79,-0.19,0.7,0.7,0.0,0.42,-0.33,0.37
