time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.51,0.21,-0.08,-0.29,-0.42,0.08,0.0,-0.25,0.08,0.0,-0.04,-0.84,0.38,-0.42,-0.04,-0.17,0.0,-0.21,0.17,0.08,0.29,0.93,-0.25,-0.29,0.0,-1.47,0.25,-0.34,0.21,-0.17,-0.29,-0.04,0.08,-0.21,-0.29,-0.13
1,-0.69,-0.44,-0.2,0.05,-0.05,0.25,0.05,-0.49,-0.74,0.0,-0.05,-0.44,0.2,0.05,0.4,0.15,-0.05,-0.89,0.79,-0.05,-0.59,-2.17,0.64,0.05,0.0,-0.4,0.35,-0.54,-1.14,0.44,-0.4,0.1,0.69,0.35,-0.44,-0.1
2,-0.2,-0.24,-0.04,-0.37,0.0,-0.12,0.04,0.0,0.0,0.0,-0.2,1.35,-0.2,-0.33,-0.12,-0.04,0.24,0.08,0.24,0.24,-0.53,-0.37,-0.24,-0.12,0.0,0.0,-1.02,0.2,0.0,-0.65,0.37,0.41,-0.12,-0.08,0.45,0.08
3,0.11,0.05,-0.43,0.16,0.16,-0.05,-0.05,0.22,0.0,0.0,-0.65,1.89,0.32,-0.32,-0.43,-0.38,0.0,0.0,0.32,0.16,-0.27,-0.43,-0.27,0.65,0.0,0.38,-0.27,0.49,0.43,-0.11,0.38,0.43,0.97,-0.05,0.05,-0.11
4,0.09,0.46,1.33,0.14,0.28,0.23,0.23,0.37,0.51,0.0,0.78,-0.6,0.78,0.09,-0.05,0.28,0.0,0.46,-0.37,-0.6,0.6,-0.14,0.55,0.05,0.0,0.28,-0.23,0.09,0.09,-0.14,-0.69,0.09,-0.37,0.05,-0.41,-0.46
5,-0.28,0.14,-0.23,0.0,0.05,0.28,0.14,0.33,0.05,-1.02,0.42,-0.09,1.77,0.37,0.6,0.98,0.0,-0.23,0.23,2.05,0.28,0.28,0.84,-0.56,-0.74,0.79,0.0,-0.19,0.6,-0.05,-0.56,-0.51,0.56,0.65,2.37,0.09
6,-0.95,0.09,0.32,0.27,-0.09,0.41,-0.18,-0.41,0.05,0.95,2.68,1.36,1.14,1.05,1.27,1.36,0.0,0.14,0.27,2.5,0.45,0.27,0.86,0.23,-0.73,-0.32,-0.23,0.77,0.36,-0.18,1.68,0.09,-0.45,-0.27,-1.36,0.23
7,0.66,0.57,1.54,1.76,1.14,1.05,-0.4,-0.18,-0.84,0.18,-0.22,0.18,-0.48,1.27,1.27,2.73,1.01,-0.04,1.36,1.05,1.1,2.11,0.75,0.09,0.66,-3.69,2.2,-1.58,-2.42,-1.49,3.38,1.98,-0.26,0.31,0.4,0.79
8,0.2,0.25,-0.35,0.15,-0.2,0.44,-0.2,0.1,-0.05,0.54,0.05,-0.74,4.69,1.93,1.43,0.69,-2.37,1.23,5.58,3.26,0.2,1.88,0.2,1.04,-0.25,-0.2,0.0,0.2,0.25,0.05,0.64,0.1,-0.05,-0.1,0.44,-0.35
9,-0.91,-0.48,-0.85,-0.16,-0.85,0.75,-0.05,-0.53,-0.32,-0.69,1.65,0.32,-0.05,0.0,-0.11,0.11,0.0,0.91,-1.33,-1.01,-0.16,0.59,0.75,0.11,6.29,-2.08,-0.85,-0.69,-0.27,0.21,4.96,3.31,1.92,-0.53,-0.21,-0.11
10,0.0,-0.17,-0.26,0.21,0.38,-0.04,-0.26,0.0,0.09,1.36,0.21,-0.51,0.89,0.43,0.34,1.15,0.0,-0.13,0.51,0.0,0.0,0.21,0.0,-0.13,0.55,-1.06,-0.43,-0.98,-2.43,0.3,1.02,0.26,-0.34,0.13,-0.47,-0.17
11,-0.05,-0.1,0.19,-0.05,-0.62,0.14,-0.1,-0.1,-0.29,0.05,-0.38,0.19,-0.38,0.52,-0.19,0.14,1.24,-0.14,-0.1,0.48,-0.62,0.52,0.29,-0.19,-0.33,0.29,-0.43,0.0,-0.19,0.05,-0.43,0.0,-0.05,0.29,0.19,-0.05
12,0.35,0.17,1.09,0.13,0.39,-0.04,0.3,0.04,0.26,0.04,0.65,1.22,0.17,-0.43,-0.13,-0.17,-1.13,0.0,1.35,-0.43,0.61,-0.83,-0.7,0.04,-0.65,-0.74,-0.61,0.22,0.04,-0.04,-2.17,-0.09,1.7,-0.17,0.7,0.52
