time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-8.0,-6.86,6.86,1.71,0.57,3.43,-3.43,4.57,2.86,0.0,-4.57,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.6,-11.2,-19.2,0.8,-1.6,1.6,-4.0,6.4,4.8,0.0,4.8,9.6,0.0,15.2,17.6,4.8,-8.0,-2.4,-3.2,-0.8,3.2,0.0,0.8,-6.4,-9.6,-1.6,-0.8,3.2,-1.6,-4.0,0.8,3.2,-1.6,0.0,-5.6,-8.8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,11.2,16.0,-3.2,-8.0,-9.6,8.0,8.0,0.0,1.6,9.6,0.8,-5.6,-26.4,-0.8,0.0,8.0,0.8,16.0,0.8,0.0,-0.8,0.0
3,4.67,16.67,30.0,-7.33,8.0,7.33,2.0,4.67,-2.67,0.0,-1.33,-8.0,-7.33,-3.33,-5.33,8.67,-17.33,-1.33,-6.67,6.0,-13.33,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-6.67,-16.0,24.0,4.0,-12.0,-2.67,-6.67,-13.33,-4.0,0.0,0.0,0.0,20.0,-6.67,-1.33,-6.67,-5.33,-9.33,26.67,-1.33,38.67,0.0,10.67,0.0,20.0,0.0,-5.33,16.0,9.33,-13.33,0.0,42.67,9.33,0.0,2.67,-22.67
5,-2.0,-1.0,0.0,-3.0,0.5,-0.5,2.0,-1.0,0.0,0.0,1.5,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-3.0,-0.5,1.5,1.0,-1.5,3.5,4.0,-1.5,0.0,4.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,-4.8,0.0,2.4,32.0,-5.6,-3.2,-4.0,-11.2,0.0,5.6,12.0,-5.6,3.2,9.6,3.2,0.0,2.4,-10.4,-6.4,1.6,0.0,4.0,-5.6
7,4.0,0.67,-13.33,4.67,2.67,3.33,1.33,4.0,0.67,0.0,-0.67,3.33,-6.0,-9.33,0.0,2.67,1.33,-3.33,4.67,3.33,14.67,0.0,-7.33,6.0,0.0,-2.0,-24.0,1.33,-2.67,-5.33,0.67,-4.67,-0.67,0.0,6.0,0.0
8,-5.33,-3.33,4.67,0.0,13.33,4.0,1.33,-0.67,0.0,0.0,6.67,0.0,-5.33,4.0,2.0,-10.0,10.67,-6.67,8.67,0.0,-14.67,0.0,-17.33,0.0,0.0,6.67,11.33,1.33,10.0,1.33,-9.33,-2.0,-27.33,0.0,-0.67,-16.0
9,-2.0,9.0,-16.0,-4.0,-11.0,-12.0,-2.0,-2.0,-6.0,0.0,4.0,0.0,18.0,1.0,4.0,2.0,-7.0,16.0,-13.0,1.0,22.0,0.0,-8.0,0.0,-1.0,-2.0,-6.0,7.0,2.0,-5.0,7.0,-4.0,23.0,0.0,-13.0,12.0
