time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.67,0.0,6.0,-3.33,-1.33,0.0,-2.67,2.0,0.67,0.0,-1.33,0.0,-4.0,0.0,6.0,-5.33,-4.67,0.0,0.0,0.0,-7.33,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,10.0,-14.67,4.0,7.33,-1.33,-0.67,1.33,-0.67,0.0,-2.67,0.0,-7.33,0.0,-14.67,8.67,-4.67,-11.33,-7.33,-0.67,1.33,0.0,-0.67,0.0,5.33,10.0,4.0,-1.33,6.0,-0.67,16.0,10.67,-30.0,0.0,-9.33,-6.0
2,16.8,5.6,0.0,5.6,10.4,-8.8,4.0,-4.8,4.0,0.0,11.2,-7.2,-19.2,4.8,3.2,-1.6,-29.6,4.0,0.0,1.6,12.8,0.0,-9.6,12.8,0.0,-2.4,-12.0,9.6,-1.6,-13.6,14.4,11.2,52.8,0.0,8.8,9.6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,3.2,5.6,6.4,-28.8,-17.6,4.8,8.8,-24.0,0.0,6.4,0.0,0.0,0.0,0.0,-8.8,12.8,-21.6,0.0,0.0,0.0,0.0,-15.2,8.8
4,-15.0,-34.0,-12.0,-33.0,0.0,-41.0,-4.0,-9.0,-11.0,0.0,4.0,0.0,-8.0,20.0,33.0,-4.0,39.0,-44.0,12.0,14.0,21.0,0.0,20.0,0.0,9.0,-29.0,-36.0,-13.0,-40.0,-19.0,9.0,0.0,0.0,0.0,-6.0,9.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33,149.33,-5.33,1.33,-50.67,-74.67,45.33,82.67,96.0,0.0,86.67,-129.33
6,12.8,-8.0,15.2,-14.4,40.0,33.6,12.0,-3.2,12.0,20.8,110.4,17.6,99.2,56.0,-33.6,0.0,0.0,-7.2,52.0,-11.2,0.0,0.0,-28.0,0.0,0.0,-58.4,0.0,23.2,-0.8,56.0,-35.2,-139.2,92.0,0.0,4.8,19.2
7,-28.0,-33.78,19.11,41.78,-3.56,2.67,-23.11,-20.89,21.33,-40.0,61.33,52.44,17.33,49.78,49.78,80.44,111.56,0.89,38.67,40.89,-2.67,0.0,12.44,6.22,-143.56,-68.0,-106.22,21.78,-23.56,26.67,-35.11,-71.56,-48.89,-52.44,-33.33,8.0
8,8.0,5.0,-36.0,-19.0,-7.0,10.0,-8.0,-20.0,-21.0,-13.0,-18.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,14.0,-19.0,0.0,0.0,0.0,-48.0,2.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0,-11.0,-29.0,-60.0,-53.0,-46.0,-12.0,-2.0,-10.0,-26.0,6.0,-113.0,-24.0,92.0,15.0,36.0,-13.0,22.0,36.0,32.0,-3.0,50.0,-5.0
10,23.0,48.0,38.0,-59.0,-67.0,-34.0,60.0,47.0,-4.0,46.0,-9.0,-74.0,-76.0,-109.0,-96.0,-123.0,-159.0,85.0,-86.0,-67.0,118.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,68.0,54.67,0.0,-108.0,78.67,0.0,0.0,0.0,-76.0,-70.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.67,74.67,117.33,-65.33,14.67,-26.67,10.67,41.33,117.33,22.67,26.67,-33.33
12,-11.33,1.33,-60.0,30.67,-4.67,-35.33,10.67,-10.0,-4.67,-68.67,-154.67,-6.67,-55.33,-41.33,-21.33,-14.0,72.67,40.0,-55.33,-26.0,0.0,0.0,67.33,-30.67,0.0,18.0,3.33,-10.67,-14.0,-59.33,47.33,18.0,-104.67,4.0,-34.0,10.67
13,-59.2,-2.4,80.8,21.6,-7.2,9.6,0.8,20.8,24.8,-6.4,-4.0,-27.2,13.6,-2.4,-7.2,12.0,-4.8,-15.2,0.8,0.8,-26.4,0.0,-12.0,0.0,0.0,2.4,3.2,-3.2,0.8,-6.4,-4.8,-4.0,9.6,-11.2,3.2,0.8
14,0.8,16.0,53.6,12.0,14.4,16.8,2.4,24.8,12.0,0.0,-8.8,2.4,-11.2,-7.2,6.4,35.2,-20.0,-11.2,0.0,23.2,6.4,0.0,4.0,0.0,0.0,-7.2,0.0,48.0,20.8,44.0,-6.4,44.0,45.6,-10.4,1.6,-20.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-8.0,-2.0,23.0,28.0,-10.0,7.0,28.0,0.0,13.0,0.0,-5.0,0.0,7.0,7.0,-21.0,-7.0,-13.0,14.0,54.0,-14.0,-7.0,6.0
16,-4.0,-13.0,12.0,6.0,-8.0,3.0,-9.0,1.0,1.0,0.0,-9.0,3.0,-20.0,2.0,-6.0,-38.0,-36.0,-5.0,-9.0,-10.0,18.0,0.0,-6.0,0.0,-14.0,9.0,-5.0,-4.0,1.0,-15.0,-8.0,-26.0,-36.0,23.0,-10.0,9.0
17,32.0,10.4,8.8,-36.0,-20.8,-18.4,0.0,-14.4,0.8,0.0,-3.2,-9.6,-4.8,12.0,-3.2,-24.8,3.2,-76.0,-12.8,-5.6,-28.8,0.0,-33.6,0.0,0.0,-8.0,-5.6,-14.4,-13.6,-38.4,-7.2,-12.8,-15.2,1.6,-15.2,-12.8
18,-2.67,-12.67,-14.0,2.0,-8.67,-1.33,2.67,-1.33,2.67,0.0,2.67,0.0,6.0,-19.33,-25.33,-22.67,33.33,3.33,8.67,-34.67,10.67,0.0,12.67,0.0,6.0,5.33,-24.67,-14.0,-20.67,-11.33,-10.0,0.0,-7.33,0.0,55.33,25.33
19,39.0,39.0,-38.0,14.0,41.0,30.0,9.0,20.0,5.0,0.0,33.0,0.0,101.0,17.0,-47.0,-46.0,-166.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,-2.0,-2.0,-7.0,-23.0,-2.0,59.0,-99.0,0.0,8.0,-18.0
20,-52.8,-56.8,72.8,69.6,-59.2,0.8,-19.2,7.2,58.4,72.0,175.2,78.4,0.0,0.0,0.0,0.0,0.0,-101.6,0.0,12.0,0.0,0.0,1.6,0.0,-12.8,-42.4,35.2,53.6,-20.8,81.6,-57.6,-54.4,-24.8,32.0,12.0,33.6
