time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-8.67,-2.67,9.33,-5.33,2.0,13.33,6.67,29.33,20.0,0.0,8.0,-29.33,0.0,-16.67,29.33,25.33,-0.67,-35.33,-42.0,1.33,0.0,0.0,38.0,0.0,4.67,0.0,-12.0,-1.33,-2.67,0.67,2.0,-2.67,0.67,-2.0,0.0,-8.0
1,10.0,2.0,0.0,4.0,8.0,4.0,-9.0,0.0,3.0,1.0,11.0,6.0,-11.0,2.0,-28.0,0.0,-9.0,-1.0,5.0,21.0,0.0,0.0,-58.0,0.0,-60.0,-58.0,-142.0,-67.0,-170.0,-8.0,-129.0,-61.0,-121.0,-20.0,-36.0,-44.0
2,48.0,24.8,26.4,-16.0,15.2,24.8,0.0,25.6,-10.4,15.2,36.0,-4.8,20.8,-5.6,16.0,75.2,54.4,6.4,-17.6,22.4,27.2,0.0,30.4,0.0,0.0,-13.6,-116.0,-17.6,47.2,72.8,-39.2,-10.4,3.2,-36.8,-37.6,-28.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,54.0,32.0,0.0,-17.0,79.0,-17.0,35.0,43.0,10.0,0.0,-252.0,-67.0,-24.0,16.0,-12.0,-29.0,52.0,12.0,5.0,-37.0,6.0,0.0,-6.0,73.0,-70.0,-37.0,-80.0,7.0,-21.0,22.0,-58.0,-16.0,-24.0,-43.0,-21.0,-29.0
5,-28.0,30.0,-53.0,-13.0,16.0,14.0,3.0,8.0,18.0,0.0,-55.0,-118.0,27.0,-11.0,-8.0,34.0,28.0,-37.0,-28.0,13.0,7.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,25.0,7.0,99.0,1.0,-12.0,-1.0,-9.0,-7.0,-10.0,22.0,-48.0,-27.0,6.0,11.0,0.0,-13.0,19.0,2.0,-4.0,1.0,1.0,0.0,5.0,8.0,0.0,82.0,27.0,28.0,40.0,0.0,-8.0,0.0,0.0,60.0,16.0,-21.0
7,33.71,20.0,24.57,5.14,4.0,13.14,6.86,26.86,14.86,38.29,88.0,4.57,1.71,3.43,13.14,10.29,7.43,1.14,24.57,22.29,5.14,0.0,-10.29,-6.29,3.43,-24.0,-18.86,-6.86,-25.14,0.0,0.0,-20.57,0.0,-5.71,18.86,22.29
8,5.6,-3.2,-0.8,0.0,3.2,4.8,0.0,-4.8,-5.6,0.0,12.0,2.4,-5.6,-8.8,-0.8,-2.4,20.8,22.4,76.8,7.2,16.0,0.0,-18.4,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,28.0,1.33,-93.33,-5.33,-30.67,24.0,-38.67,-65.33,-20.0,0.0,157.33,97.33,-26.67,36.0,29.33,5.33,-9.33,-4.0,112.0,24.0,-22.67,0.0,-9.33,0.0,0.0,36.0,0.0,12.0,29.33,0.0,-101.33,0.0,0.0,-2.67,0.0,-1.33
10,-14.4,-13.6,-15.2,-4.8,-8.0,-27.2,13.6,0.8,20.0,0.0,32.0,-28.0,6.4,20.8,-10.4,-4.0,-8.0,-6.4,-23.2,2.4,-12.0,-4.0,2.4,0.0,0.0,-14.4,0.0,34.4,0.0,-39.2,0.0,58.4,-25.6,31.2,8.0,-12.0
11,4.0,0.0,-17.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,-3.0,31.0,9.0,18.0,-6.0,1.0,-8.0,-6.0,-74.0,-48.0,0.0,13.0,0.0,0.0,-120.0,0.0,-2.0,0.0,0.0,0.0,0.0,37.0,-24.0,30.0,11.0
12,33.33,-5.33,-14.67,12.0,-6.67,-1.33,1.33,-5.33,4.0,-37.33,-24.0,-25.33,-41.33,5.33,20.0,22.67,30.67,0.0,29.33,13.33,1.33,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,-14.67,-2.67,8.0
13,17.0,9.0,29.0,11.0,19.0,-22.0,20.0,23.0,35.0,0.0,42.0,29.0,-65.0,-17.0,-4.0,17.0,-60.0,-36.0,-34.0,-10.0,-18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-20.0,-21.33,102.67,44.0,26.67,6.67,-42.67,38.67,22.67,0.0,29.33,12.0,2.67,-5.33,-10.67,-4.0,14.67,14.67,12.0,-16.0,-24.0,0.0,9.33,0.0,0.0,-36.0,0.0,-60.0,-337.33,-20.0,0.0,-14.67,0.0,-78.67,-113.33,-33.33
15,0.0,1.33,0.0,-4.0,-10.67,2.67,-4.0,9.33,-4.0,2.67,9.33,1.33,-14.67,5.33,45.33,32.0,8.0,109.33,34.67,82.67,137.33,0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,7.2,-17.6,3.2,8.0,4.0,4.0,0.0,8.0,7.2,13.6,1.6,21.6,-10.4,-8.8,4.8,-10.4,4.0,8.8,2.4,-4.0,12.8,0.0,25.6,0.0,-12.0,-52.0,-104.8,4.8,-12.8,0.8,20.0,16.0,-0.8,8.0,-20.0,54.4
