time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-4.0,-4.67,-2.0,2.0,-4.0,-4.67,-2.0,0.0,0.67,-33.33,-3.33,2.0,-26.67,-11.33,7.33,-12.67,33.33,0.0,-15.33,-5.33,2.0,0.0,12.0,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.33,1.33,-22.67,9.33,-1.33,4.0,0.0,-2.67,0.0,8.0,10.67,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.67,-17.33,38.67,-8.0,29.33,17.33,-25.33,-6.67,1.33,10.67,4.0,1.33
2,2.0,-6.67,8.67,-2.67,18.0,2.67,0.67,-1.33,2.0,0.0,0.67,0.0,0.0,-4.67,3.33,0.0,5.33,32.0,-45.33,14.67,12.67,0.0,2.67,-3.33,2.67,-4.0,3.33,2.0,1.33,3.33,-14.67,-2.67,9.33,-2.0,0.67,-4.67
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,-6.86,1.71,-4.0,26.29,3.43,42.29,-1.14,-5.14,0.0,-5.14,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.14,0.0,0.0,0.0,0.0
4,5.33,3.33,2.67,2.67,11.33,2.0,2.67,2.67,2.0,-6.0,-1.33,0.0,7.33,0.67,9.33,-4.67,4.67,25.33,-26.67,20.0,-3.33,0.0,-1.33,-2.67,1.33,-2.0,10.0,-1.33,-4.67,-2.67,-6.0,1.33,-18.0,4.0,4.67,4.0
5,4.57,-4.57,13.71,5.14,8.0,6.86,-4.0,0.0,-1.71,17.14,8.0,20.57,-4.57,-4.0,2.86,2.86,0.0,22.29,0.0,-6.29,-1.14,0.0,-8.57,-4.0,1.71,-3.43,-5.14,0.0,6.86,9.14,5.71,2.86,15.43,-2.29,0.57,-6.29
6,4.0,-2.67,2.67,2.67,14.67,-2.67,12.0,-6.67,-2.67,-18.67,14.67,21.33,10.67,12.0,-12.0,5.33,41.33,18.67,13.33,32.0,2.67,0.0,1.33,2.67,-10.67,1.33,4.0,-18.67,-17.33,1.33,-5.33,-21.33,-6.67,17.33,8.0,20.0
7,2.22,3.56,8.0,3.11,8.0,0.0,0.44,5.33,-1.33,3.56,4.89,-14.67,-8.89,-0.44,4.89,-7.56,4.0,0.0,0.0,1.33,-2.67,0.0,3.11,-12.44,-0.89,-4.44,5.33,-1.78,6.22,-4.0,-2.67,1.78,7.11,-7.56,3.56,4.89
8,4.57,4.57,-2.86,1.71,6.86,0.0,1.14,0.57,9.14,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.0,0.0,0.0,0.0,-6.29,0.0,0.0,0.0,-0.57,0.0,0.0
9,-4.0,-2.0,2.67,2.67,2.0,1.33,-4.0,0.67,4.67,0.0,0.67,0.0,3.33,1.33,-11.33,-4.67,-8.0,31.33,-4.0,-11.33,-20.0,0.0,-5.33,-2.0,0.0,2.0,-2.0,6.0,2.0,-9.33,-2.67,2.0,0.67,8.67,-0.67,0.0
