time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-3.33,-0.67,11.33,-26.67,18.0,7.33,-3.33,-5.33,-6.0,2.67,-20.0,-16.67,11.33,21.33,11.33,-13.33,-11.33,0.0,26.0,8.67,-24.0,0.0,-16.67,3.33,2.0,-4.0,-14.0,0.67,4.0,2.0,-5.33,11.33,9.33,-0.67,-0.67,5.33
1,-7.0,2.0,-8.5,9.0,-16.0,-10.0,19.0,10.0,-1.5,6.5,3.0,3.5,-8.5,-1.0,-0.5,1.5,61.5,2.0,2.5,-6.5,-8.5,0.0,-20.0,4.0,-18.0,2.0,-1.5,14.0,-10.5,4.5,-13.0,-11.5,-48.5,7.0,5.5,1.5
2,11.43,54.29,36.0,12.57,-49.71,-25.71,48.0,17.14,-10.29,24.0,33.14,21.14,-17.71,-5.14,9.71,-16.0,28.57,0.0,5.14,-14.29,5.71,0.0,-8.0,13.14,-1.14,-5.71,-8.57,1.71,38.86,7.43,13.71,2.86,7.43,4.57,0.57,-1.14
3,-7.0,-19.5,-18.0,9.5,20.0,0.5,-23.5,5.5,13.5,-4.0,7.0,9.0,0.0,8.5,9.0,-2.0,-9.5,8.0,-19.5,46.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-8.67,-25.33,-30.0,-42.67,12.0,22.0,-11.33,-32.0,4.0,-46.67,-30.0,0.0,0.67,1.33,1.33,1.33,-47.33,-6.0,-24.0,-5.33,20.67,0.0,12.0,8.0,-0.67,6.0,6.67,12.0,-1.33,1.33,34.67,6.0,-20.0,-2.67,-8.67,-6.67
5,-2.86,12.0,3.43,6.29,-33.14,-17.71,3.43,9.71,-8.57,9.71,24.0,9.14,-11.43,-21.71,0.0,-9.71,10.29,0.0,-9.14,-9.71,2.86,0.0,-21.71,12.57,2.29,-6.86,5.14,-9.71,16.57,9.71,22.29,-8.0,-12.0,-5.14,-2.86,-3.43
6,1.14,18.29,29.14,2.86,-11.43,-4.57,9.14,2.29,-3.43,11.43,-6.86,3.43,10.86,29.71,16.0,-18.29,0.0,0.0,0.0,10.86,-8.57,0.0,-32.0,4.57,5.14,0.0,0.57,0.0,-8.57,4.0,-0.57,-1.71,1.71,1.14,3.43,-2.86
7,5.33,32.0,-70.67,17.33,-45.33,-34.67,5.33,16.0,1.33,-24.0,9.33,-41.33,-8.0,-9.33,-9.33,-9.33,22.67,0.0,22.67,-26.67,-20.0,0.0,37.33,-10.67,-12.0,-13.33,-28.0,10.67,18.67,-1.33,-14.67,-42.67,-29.33,2.67,-5.33,5.33
8,5.6,10.4,-83.2,19.2,27.2,-8.0,-27.2,-24.8,20.0,0.0,12.8,20.0,-24.0,0.0,1.6,13.6,-40.0,46.4,-35.2,15.2,-3.2,0.0,-1.6,17.6,-4.0,4.8,4.8,-4.0,-8.8,-1.6,-39.2,0.0,-8.8,-5.6,-7.2,8.8
9,-5.14,-6.86,2.86,-4.57,10.86,1.14,-13.71,0.0,-1.71,-2.86,-1.71,10.29,0.0,-6.29,-10.86,-0.57,-24.57,-22.29,-10.86,4.57,6.29,0.0,25.14,1.71,-3.43,0.57,9.71,6.86,-13.71,-10.86,-1.14,0.0,-8.0,-2.29,-6.29,5.14
10,-21.6,3.2,45.6,-3.2,-6.4,7.2,41.6,16.0,-21.6,10.4,-0.8,-4.0,21.6,-11.2,-36.8,-10.4,-18.4,-35.2,-7.2,-15.2,4.8,0.0,0.8,8.0,-2.4,6.4,-0.8,6.4,17.6,2.4,-73.6,-13.6,-48.0,17.6,10.4,-9.6
11,4.0,-6.4,18.4,-2.4,4.8,3.2,-1.6,0.8,0.8,14.4,-6.4,-4.0,-1.6,-1.6,6.4,-1.6,0.0,0.0,8.0,10.4,-4.0,0.0,0.0,5.6,-3.2,4.0,-16.0,4.0,25.6,1.6,12.8,-14.4,0.8,0.0,5.6,0.0
12,2.0,-89.33,-88.67,-39.33,104.67,71.33,-21.33,-24.67,13.33,3.33,-11.33,129.33,-3.33,8.67,9.33,-21.33,0.0,72.0,16.67,52.0,-15.33,0.0,0.0,8.67,12.0,6.0,15.33,5.33,-4.67,0.67,6.0,2.0,14.67,-2.67,-2.67,-2.0
13,-5.33,-6.67,-8.0,-15.33,8.67,12.67,-3.33,-20.67,-3.33,-28.0,-26.0,0.0,-22.0,-22.67,13.33,24.0,-14.67,-31.33,0.0,-2.67,26.0,0.0,47.33,-22.0,-14.67,2.67,-18.67,-10.0,12.67,-2.0,30.67,16.67,1.33,-11.33,-0.67,1.33
14,15.0,19.0,-12.0,-12.0,-11.0,-10.0,-17.0,-10.0,10.0,-7.0,-7.0,0.0,0.0,5.0,-20.0,-6.0,1.0,0.0,0.0,-9.0,4.0,0.0,-23.0,7.0,-1.0,-15.0,-10.0,3.0,15.0,-5.0,10.0,19.0,-1.0,2.0,0.0,3.0
15,-16.0,11.33,12.67,23.33,-62.67,-24.67,1.33,23.33,4.67,0.0,-3.33,-38.67,0.0,13.33,-23.33,16.0,24.0,-6.0,11.33,-55.33,1.33,0.0,46.67,-4.0,11.33,2.0,-7.33,-10.67,6.0,4.67,-21.33,2.0,5.33,-5.33,3.33,-1.33
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-9.0,2.0,-14.0,-13.0,5.0,-23.0,-6.0,0.0,-27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-2.0,26.0,-32.0,24.0,2.0,-33.0,-2.0,-2.0,8.0,0.0,30.0,-13.0,0.0,6.0,12.0,-8.0,7.0,-16.0,0.0,-19.0,-11.0,0.0,35.0,-10.0,5.0,4.0,-1.0,17.0,-7.0,-16.0,8.0,-6.0,-12.0,-8.0,-6.0,-2.0
18,-7.11,-11.11,17.33,-19.56,21.78,16.0,-3.11,-7.56,-4.44,8.0,-16.0,-16.89,0.0,5.78,-8.44,-0.89,36.89,0.0,-15.11,0.0,-1.33,0.0,38.22,0.0,-10.22,-12.0,3.11,1.78,-1.78,-1.33,15.11,18.22,-11.11,8.0,-2.22,-2.67
19,-8.57,4.57,-5.71,0.57,4.0,2.29,0.57,-0.57,10.29,-0.57,2.86,7.43,16.57,-4.57,-5.71,12.0,-40.0,0.0,-42.86,6.29,3.43,0.0,-6.29,2.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-6.29,0.0,0.0
20,-13.0,-10.0,-125.0,23.0,-3.0,62.0,32.0,-50.0,29.0,-78.0,-75.0,-25.0,20.0,24.0,57.0,-7.0,-102.0,39.0,18.0,50.0,-9.0,0.0,2.0,9.0,21.0,32.0,79.0,15.0,2.0,6.0,-26.0,-21.0,-24.0,-18.0,-15.0,-13.0
21,0.0,-10.4,23.2,-15.2,-77.6,-29.6,0.0,-1.6,-25.6,-15.2,-13.6,0.0,-1.6,2.4,-2.4,0.8,13.6,0.0,31.2,-4.0,8.8,0.0,-25.6,-4.8,10.4,13.6,-3.2,6.4,3.2,19.2,31.2,6.4,-9.6,-6.4,0.0,-2.4
