time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.09,-0.34,-1.51,-0.34,0.73,-0.77,-0.9,-0.39,0.13,0.0,-0.95,-0.04,0.0,0.22,-0.13,0.3,0.34,-0.13,1.12,0.3,-0.39,0.34,-0.73,-0.26,-0.34,-0.09,-0.17,0.13,-0.04,0.52,0.0,-0.6,0.0,-0.13,-0.22,-0.22
1,-0.37,0.23,0.7,-1.07,-1.4,0.93,0.09,-1.02,-1.16,0.65,1.07,-0.79,-1.44,-0.19,0.19,0.14,-1.4,-0.14,-2.37,-0.93,-0.42,0.79,0.05,-0.19,0.09,-0.05,-2.33,-1.58,-0.7,-1.26,0.0,-0.33,0.0,0.56,0.37,0.23
2,-0.58,-0.49,-0.27,1.51,1.38,-1.56,-0.18,-0.44,0.36,-1.82,0.53,2.8,-0.31,0.58,0.04,0.31,2.49,-0.36,-0.93,-0.31,1.6,0.13,-0.36,-0.62,-0.44,-0.09,-0.13,1.6,1.91,-1.47,0.0,-3.02,0.0,0.13,-0.67,-0.8
3,-0.09,0.0,-0.51,0.41,0.14,-0.18,-0.18,0.51,0.32,0.55,-0.18,-0.23,0.37,0.69,0.37,-0.18,0.0,1.06,-2.9,0.18,2.99,-0.28,-0.92,0.0,0.0,-0.51,-0.46,0.51,0.0,0.46,0.0,-0.14,0.0,-0.18,-0.18,0.09
4,0.49,0.04,-1.03,0.29,0.62,-0.08,-0.08,0.25,1.36,0.0,-0.78,-0.82,-0.7,0.41,-0.49,-0.25,0.0,-0.08,3.13,0.45,-1.28,-1.03,0.37,-0.12,-0.04,0.49,3.01,2.02,1.2,-0.45,0.7,-1.53,0.0,0.08,-0.82,-0.29
5,0.59,0.59,0.41,0.45,0.05,0.73,-0.91,-0.73,-0.14,0.0,0.91,0.09,0.45,-0.14,0.23,0.09,-0.32,0.18,-0.32,-0.05,0.36,-0.41,0.18,0.09,0.91,0.73,0.64,0.5,0.64,0.14,0.0,-0.68,0.0,0.14,-0.55,-0.59
6,0.13,-0.4,-0.27,0.18,0.18,-0.09,0.09,0.49,0.09,0.0,-0.27,-0.49,0.53,-0.53,0.13,0.09,-0.22,0.67,-0.18,1.56,-0.13,1.16,-0.58,-0.27,0.22,-0.18,-0.89,-0.53,-1.02,0.27,0.0,-1.51,0.0,0.22,0.71,0.67
7,-0.43,-0.57,-1.61,-1.57,-0.78,-0.04,-0.78,1.17,0.65,0.0,0.61,-0.26,-1.04,-0.78,0.13,-0.22,0.61,-1.26,-0.57,-0.7,-0.78,0.57,1.13,0.91,1.22,-0.74,1.48,0.17,-0.04,-0.09,0.0,2.09,0.0,0.09,-0.65,-0.17
8,0.27,-0.14,-1.5,-0.5,0.05,-0.27,0.41,-0.77,-0.5,0.77,-1.82,-0.41,0.14,-0.23,-0.09,-0.09,-0.41,0.18,-1.36,0.05,-0.05,-0.05,-0.09,0.36,-0.05,0.36,0.36,0.05,0.18,0.14,0.0,-0.14,0.0,-0.05,-0.09,0.23
9,-0.71,-0.29,-0.67,-0.38,0.38,-0.12,-0.04,-0.08,-0.17,0.17,0.71,0.38,-2.42,-0.5,0.38,0.42,0.46,-0.5,-0.12,-0.96,-0.58,0.17,-0.42,0.17,0.5,-0.42,1.29,-0.42,0.0,-0.17,0.0,-0.92,0.0,0.29,0.25,0.04
10,-0.52,-0.3,-0.74,-0.09,0.04,0.22,0.3,0.35,0.57,0.0,-0.22,-0.13,0.0,0.43,-0.43,0.22,0.0,0.52,-0.65,0.74,-0.09,0.7,0.13,-0.26,-0.52,-0.09,0.91,1.57,1.43,-0.13,-2.04,-0.04,0.0,-0.13,-0.35,-1.09
11,0.0,0.05,-0.14,-0.05,-0.09,-0.09,0.0,0.05,0.0,0.0,-0.05,-0.93,0.47,-1.02,0.84,-0.28,0.0,0.51,0.19,0.14,-0.42,0.05,-0.56,-0.19,0.05,-0.47,-0.79,-0.7,-0.74,-0.23,0.0,-0.93,0.0,0.19,0.19,0.14
12,0.36,0.41,-0.14,0.27,0.59,0.05,-0.14,-0.5,0.32,0.0,0.05,-0.68,0.14,0.05,-0.05,0.23,0.91,-0.18,-0.64,-0.45,-0.32,-0.5,0.23,0.0,0.95,0.27,1.77,-0.36,0.05,0.36,0.0,0.45,0.0,0.45,0.05,0.55
13,-0.17,0.04,0.65,0.17,0.0,0.09,-0.26,-0.04,0.22,-1.04,0.22,-0.7,0.17,-0.22,-0.04,0.04,0.39,0.17,-0.43,0.17,0.09,-0.26,0.17,0.26,-0.57,-0.57,-1.35,-0.83,-0.43,-0.04,0.0,1.61,0.0,0.0,0.3,-0.04
14,0.04,-0.18,-0.31,0.09,0.18,0.0,0.22,0.22,0.0,-0.27,-0.18,0.09,0.22,-0.22,0.09,0.04,-0.81,0.09,-0.45,-0.49,0.58,1.17,0.13,0.27,0.81,0.76,1.26,0.76,-0.04,-0.04,0.0,-0.72,0.0,0.22,0.09,0.27
15,-0.17,0.17,0.77,0.3,0.39,-0.34,0.0,0.09,-0.3,0.0,0.22,0.52,-0.34,0.22,0.04,-0.43,-1.2,0.3,0.52,0.34,0.17,-0.26,0.3,0.39,0.82,-0.3,-0.6,0.82,1.08,-0.04,0.0,-0.17,0.0,0.0,-0.04,-0.04
16,-0.45,0.55,0.05,-0.36,0.14,-0.09,-0.18,-0.23,0.36,0.0,0.32,-0.45,0.05,0.18,0.5,0.05,1.23,-0.23,0.36,0.64,-0.18,-0.45,0.5,-0.59,-0.14,0.05,0.41,0.5,-1.14,0.14,0.0,-0.73,0.0,-0.27,0.05,0.18
17,-0.09,0.0,0.44,0.0,-0.18,0.0,0.18,-0.13,-0.49,0.0,-0.36,0.22,-0.89,-0.31,-1.29,-0.09,-0.71,-0.13,0.22,-0.49,0.62,0.49,0.0,-0.27,0.31,-0.13,-0.31,-0.4,0.93,-0.09,0.0,0.62,0.0,0.22,-0.22,0.04
18,-0.22,-0.18,0.18,-0.18,0.04,0.0,0.09,-0.4,0.22,0.0,-0.09,0.44,0.09,0.49,-0.04,-0.27,0.22,-0.27,0.31,-0.93,-1.11,0.31,-0.04,0.22,0.67,0.49,0.44,-0.36,0.31,0.22,0.0,-0.98,0.0,-0.36,0.09,0.04
19,0.1,-0.24,0.0,-0.29,-0.48,-0.29,-0.19,0.1,-0.24,0.0,0.24,-0.63,-0.14,-0.82,0.39,0.48,-0.48,-0.19,-0.29,-0.19,0.34,-0.14,0.34,-0.53,-0.24,-1.06,0.63,-1.93,0.0,0.19,0.0,0.34,0.0,-1.01,0.39,0.39
20,0.05,-0.46,-0.14,0.09,0.69,0.14,0.0,-0.32,-0.14,0.0,0.0,0.69,-0.23,-0.18,-0.51,0.0,0.0,0.23,0.0,1.52,0.28,-1.15,0.14,0.14,0.28,1.38,-0.87,0.92,2.71,0.23,-0.18,0.6,0.0,-0.05,-0.51,0.0
21,0.0,0.05,0.32,0.18,-0.09,0.09,-0.36,-0.18,-0.05,0.0,-0.05,0.23,-0.32,0.5,-0.14,-0.05,0.0,0.32,0.82,-0.32,1.23,1.05,-0.27,0.23,-0.32,0.0,0.36,0.55,0.91,0.82,1.0,-0.55,0.0,0.14,-0.45,-0.18
22,0.27,-0.14,-0.14,-0.09,-0.18,-0.09,-0.14,-0.05,0.18,0.0,-0.27,-0.18,-0.23,-0.18,0.32,0.45,0.0,-0.23,0.23,0.14,-0.95,-0.86,0.05,-0.14,-0.5,0.18,-0.18,-1.18,-1.14,-0.14,1.68,0.41,0.0,-0.05,0.14,0.05
23,1.16,0.05,0.14,-0.09,0.88,0.0,-0.37,0.05,-0.42,0.0,-0.05,0.14,-0.09,-0.79,-0.14,0.14,0.0,0.23,-0.19,-0.23,1.26,-0.47,0.51,-0.19,0.19,0.6,-0.37,0.84,-0.37,0.09,0.0,0.0,0.0,0.05,0.09,0.05
24,0.09,-0.14,0.05,0.0,-0.27,0.23,-0.09,-0.27,0.55,0.0,-0.59,-0.27,-0.23,-0.09,0.23,-0.09,0.41,-0.05,-0.23,0.0,-0.59,-0.36,0.14,0.23,0.14,-0.05,1.82,0.55,-0.68,-0.45,1.0,-1.59,0.0,-0.05,-0.09,-0.27
25,-0.27,0.32,0.64,-0.36,-0.55,-0.27,0.0,-0.23,0.09,0.0,0.05,0.36,1.36,0.14,-0.27,0.0,0.32,-0.18,0.82,-0.14,0.09,-0.18,-0.18,-0.09,-0.27,0.14,0.73,-0.14,0.23,-0.41,0.0,0.95,0.0,0.0,0.05,0.09
26,-0.08,0.12,-0.25,-0.17,0.0,-0.04,0.08,-0.04,0.08,0.0,0.17,-0.17,-0.17,-1.08,-0.17,-0.38,-0.46,0.04,0.17,0.88,-0.5,0.83,-0.21,-0.54,-0.04,0.0,1.0,0.08,0.12,0.08,0.0,0.92,0.0,0.04,-0.04,-0.08
27,0.0,0.0,0.33,0.14,0.19,0.05,0.0,0.0,-0.14,0.0,0.09,1.12,0.56,-0.28,0.05,-0.09,-2.37,-0.14,0.14,0.37,0.0,-1.07,0.19,0.09,-0.37,-0.23,-0.28,0.33,0.88,-0.42,0.0,0.33,0.0,0.28,0.09,0.14
28,0.29,-0.08,0.5,0.21,0.04,0.12,0.17,0.46,0.17,0.0,-0.04,0.29,-0.08,-0.17,0.42,-0.21,0.67,-0.29,-0.17,-0.92,-0.33,0.75,0.46,0.08,-0.08,0.58,-0.04,0.0,-0.17,-0.25,0.0,0.17,0.0,-0.04,0.12,-0.17
29,0.09,-0.09,0.18,0.0,-0.05,0.14,0.0,0.41,0.05,0.0,0.0,-0.28,0.28,-0.37,-0.41,0.28,-0.05,0.78,0.69,1.29,0.09,0.51,0.14,-0.14,0.18,0.05,0.46,-0.18,-0.41,0.46,-2.76,0.37,0.0,0.28,-0.09,0.14
30,0.27,0.14,0.45,0.32,0.23,0.14,0.05,0.05,0.0,-0.73,0.41,0.73,0.18,-0.68,-0.09,0.09,0.45,-0.09,-1.5,-0.91,0.32,-0.36,0.18,0.09,-0.5,-0.09,0.0,0.27,-0.14,-0.64,0.77,1.09,0.0,0.0,-0.14,0.0
31,0.08,0.08,0.29,0.29,0.17,-0.29,0.04,-0.04,0.13,0.51,0.04,-1.01,-0.13,-0.04,-0.13,-0.21,0.0,0.08,0.72,0.13,-0.25,0.38,0.04,-0.08,0.59,-0.25,-0.76,0.38,-0.17,0.17,0.0,0.8,0.0,-0.29,0.04,0.08
32,0.13,-0.04,-0.09,0.0,0.13,-0.04,0.04,-0.31,0.13,0.0,-0.09,0.04,0.92,-0.04,0.09,0.31,-0.7,-0.31,-2.46,-0.31,0.79,0.4,-0.7,0.31,-0.26,0.26,-0.09,-0.13,0.62,-0.13,0.0,-0.84,0.0,0.22,0.09,-0.13
33,-0.26,-0.18,-0.04,0.0,0.22,-0.04,0.0,0.13,0.22,0.0,0.09,-0.4,-0.31,-0.04,0.0,0.4,2.02,0.0,-0.04,-0.62,-0.97,0.04,0.4,0.09,0.53,0.04,-0.22,0.7,0.26,-0.48,0.0,-0.26,0.0,0.18,-0.31,-0.22
34,0.05,-0.09,0.05,0.09,0.09,0.0,-0.05,0.51,0.09,0.14,0.19,-0.79,0.23,-0.14,-0.14,-0.05,-0.05,0.23,0.23,-0.93,0.37,-0.33,-0.7,-0.23,0.05,-0.37,-0.6,0.05,0.05,0.05,0.0,-1.35,0.0,-0.09,-0.37,0.0
35,0.09,0.14,0.14,0.14,-0.09,-0.05,0.18,-0.27,0.0,0.77,0.18,0.95,0.0,0.27,0.23,-0.14,-0.55,-0.23,-0.41,0.23,-0.41,0.64,0.09,-0.09,0.14,0.14,-0.23,0.68,0.05,-0.09,0.0,0.73,0.0,0.09,0.09,-0.05
36,-0.04,0.29,-0.13,-0.21,0.38,0.13,-0.04,0.04,0.08,-0.13,-0.04,-0.08,-0.76,0.0,0.13,-0.04,-0.34,0.13,0.0,0.25,0.38,-0.13,0.51,0.08,0.0,-0.38,-0.55,-0.13,-0.42,0.0,0.0,-1.26,0.0,0.0,-0.08,0.04
37,0.22,-0.09,-0.4,-0.09,0.27,-0.27,0.18,-0.22,-0.04,0.0,-0.13,-0.72,0.49,0.09,-0.63,0.27,0.27,-0.13,-0.36,0.09,0.0,-1.62,-0.27,0.22,0.31,-0.04,-0.27,0.22,-0.09,-0.04,0.0,-0.36,0.0,-0.18,0.18,-0.09
38,0.0,0.13,-0.18,0.53,-0.22,0.27,0.13,0.36,0.18,-0.09,-0.04,-0.62,0.44,0.53,-0.44,0.0,0.22,0.31,0.27,0.13,-0.04,-0.18,0.13,-0.18,-0.27,0.27,0.36,0.27,0.44,0.0,0.0,-0.36,0.0,0.04,-0.22,0.13
39,-0.08,-0.08,0.08,-0.08,0.08,0.12,-0.04,0.12,-0.04,0.0,0.08,0.29,-0.04,0.33,0.04,-0.21,-0.04,-0.04,-0.17,0.17,0.62,0.04,-0.17,-0.46,-0.42,0.0,-0.17,0.67,0.0,0.17,0.0,0.46,0.0,-0.04,-0.04,0.04
40,0.09,0.04,-0.18,-0.27,0.13,-0.04,0.09,-0.22,-0.04,0.0,-0.13,0.09,0.58,-0.8,-0.8,-0.09,2.4,-0.13,1.24,-0.58,-0.67,0.04,0.49,0.93,0.36,-0.31,0.71,-0.53,-0.27,-0.53,0.0,0.18,0.0,-0.36,0.31,0.18
41,-0.14,-0.05,0.0,0.09,-0.05,-0.14,-0.19,0.09,-0.19,0.0,0.0,-0.56,0.09,0.51,0.37,0.09,-1.91,0.23,-0.56,0.14,0.23,-0.93,-0.28,-0.56,-0.14,-0.05,-0.47,-0.23,0.09,0.14,0.0,0.74,0.0,-0.28,-0.09,0.0
42,-0.05,-0.28,-0.09,-0.09,-0.41,-0.09,-0.09,0.18,0.32,0.0,-0.09,-0.55,0.41,0.09,-0.14,-0.14,0.0,-0.18,1.93,0.32,0.55,-1.2,-0.28,0.74,0.32,0.41,-0.46,0.14,-0.05,-1.56,0.0,0.51,0.0,-0.41,0.14,0.46
43,-0.62,-0.18,0.04,-0.09,0.4,0.0,0.27,-0.13,-0.04,0.0,0.0,0.62,-0.09,-0.4,0.13,-0.04,0.0,-0.04,-0.09,0.62,-0.22,0.84,0.04,-0.27,-0.31,0.13,0.53,-0.4,-0.09,0.98,0.0,-0.18,0.0,-0.09,-0.13,-0.27
44,0.13,-0.04,0.0,0.04,-0.04,-0.35,-0.17,0.13,0.13,0.0,0.13,-0.57,-0.04,-0.83,0.0,0.13,0.0,0.0,-0.83,0.61,-1.26,-0.7,-0.26,-0.09,-0.09,-0.04,0.22,0.7,-0.04,-0.04,-0.91,0.3,0.0,-0.13,0.04,0.0
45,0.14,0.33,0.0,-0.23,0.47,0.14,-0.05,-0.19,-0.09,0.0,-0.51,0.42,0.56,0.93,0.33,0.05,0.0,-0.37,-0.47,-0.28,0.33,0.19,0.93,-0.23,-0.23,0.0,-0.7,-0.65,0.33,-0.09,0.0,0.33,0.0,-0.09,-0.05,-0.23
46,0.05,0.09,-0.23,0.18,-0.41,0.09,0.09,0.14,0.09,0.0,-0.18,-0.09,0.05,0.05,-0.64,0.05,0.0,-0.18,-1.15,-0.23,-0.64,1.1,-0.37,-0.83,-0.51,-0.14,0.92,0.51,-0.09,0.55,0.0,-0.28,0.0,-0.18,-0.18,0.32
47,-0.04,-0.26,0.0,0.26,0.09,-0.09,-0.09,-0.22,-0.04,0.0,0.3,-0.13,-0.43,-0.22,0.0,0.17,0.0,-0.48,0.0,-0.35,0.3,-0.52,-0.26,0.7,0.0,0.48,1.3,-0.43,0.87,-0.39,0.22,0.61,0.0,-0.13,0.09,0.13
48,-0.09,0.04,0.0,-0.22,-0.31,0.04,-0.04,0.0,0.04,0.0,-0.27,-0.72,0.0,0.22,0.04,-0.09,0.0,-0.13,0.49,0.58,-1.12,-1.21,0.76,-0.4,0.0,0.18,-0.85,-0.22,-0.04,0.18,-1.35,-1.12,0.0,-0.09,-0.31,-0.09
49,0.05,0.0,0.14,-0.05,0.14,0.0,0.0,-0.09,-0.14,0.0,-0.33,-0.14,0.24,0.14,-0.33,0.0,0.0,-0.09,0.05,0.14,-0.56,-0.85,-0.24,-0.14,0.0,-0.19,0.33,0.09,-0.56,-0.09,0.0,0.47,0.0,0.61,0.05,-0.09
50,0.09,-0.55,0.41,0.18,-0.23,-0.09,-0.05,0.05,-0.05,0.0,0.36,1.41,-0.23,0.36,-0.05,0.14,0.0,0.14,-2.09,-0.64,-0.23,-0.18,0.09,-0.05,-0.18,0.73,0.18,-0.73,0.45,0.36,1.77,-1.27,0.0,0.0,0.14,0.18
51,0.0,0.22,-0.6,0.0,0.0,-0.04,0.13,0.0,-0.13,0.0,-0.13,-1.33,-0.04,-0.04,0.0,-0.09,0.0,0.09,1.42,0.69,0.65,0.09,0.17,1.08,0.0,-0.95,-0.43,0.39,0.65,-0.13,-0.56,1.25,0.0,-0.34,-0.22,0.09
52,0.13,-0.04,-0.04,0.17,-0.13,-0.09,0.09,0.04,0.26,0.0,0.26,-0.26,-0.09,0.13,-0.21,-0.21,0.0,-0.13,-1.66,0.04,-1.4,0.6,-0.68,0.13,-0.13,0.17,-0.43,-0.17,-0.55,0.0,0.81,0.0,0.0,-0.04,-0.34,-0.64
53,-0.28,0.0,-0.41,0.05,0.46,0.18,0.14,0.18,-0.05,0.0,0.0,0.87,0.32,0.23,0.0,0.05,0.0,-0.18,0.97,0.37,0.64,-1.89,0.46,-1.33,0.14,0.64,-0.18,0.51,0.23,0.18,-0.69,0.09,0.0,0.0,0.18,-0.14
54,0.09,0.05,-0.18,0.0,0.23,-0.14,-0.14,-0.32,0.05,0.0,-0.05,0.32,-0.18,-0.5,-0.09,-0.09,0.05,0.27,-1.14,0.73,0.32,0.0,-0.45,-0.09,-0.59,-0.41,-0.18,0.23,0.73,-0.05,0.0,-0.18,0.0,-0.09,-0.14,0.05
55,0.09,0.13,0.04,-0.34,0.0,0.13,0.04,0.0,0.0,0.0,-0.09,-0.56,-0.26,0.6,-0.04,-0.04,1.08,-0.65,0.3,-0.39,-0.04,-0.43,-0.22,0.17,0.0,-0.17,0.0,0.09,-0.77,-0.04,0.0,0.04,0.0,0.04,0.04,-0.26
56,0.09,-0.14,-0.09,0.32,-0.28,-0.09,-0.09,-0.18,-0.05,0.0,0.32,0.0,0.83,-0.28,0.14,-0.37,-0.64,-0.18,-0.37,0.37,-0.05,-0.09,0.64,0.14,0.05,0.23,-0.18,-0.51,0.0,0.09,0.0,0.05,0.0,-0.05,0.09,0.23
57,0.09,-0.27,0.04,-0.09,-0.13,0.04,0.0,0.04,0.04,0.0,0.0,-0.27,-0.22,-0.53,0.0,-0.04,-0.22,-0.27,-4.0,-0.18,0.4,0.89,-0.4,-0.58,-0.89,-0.13,0.18,-0.09,0.13,-0.53,0.0,-1.2,0.0,-0.18,-0.18,-0.22
58,0.0,0.0,-0.18,0.04,-0.22,0.49,-0.09,0.4,-0.04,0.0,-0.13,0.54,0.13,-0.04,-0.22,-0.04,0.31,0.27,3.19,-0.45,0.13,0.18,0.04,0.18,0.27,-0.04,0.81,-0.18,-0.04,-0.18,0.0,-0.31,0.0,-0.27,0.31,-0.04
59,0.09,0.0,-0.18,-0.13,0.13,-0.22,0.13,0.04,0.13,0.0,0.45,-0.4,1.17,-0.18,0.09,-0.13,0.27,0.31,1.17,0.54,0.67,0.58,0.13,0.04,0.4,0.49,-1.39,-0.31,-0.31,0.18,0.0,-0.45,0.0,0.13,-0.31,0.09
60,0.05,-0.1,-0.14,0.05,0.0,0.1,0.1,0.0,-0.05,0.0,0.0,-0.24,0.24,0.62,0.38,0.29,1.76,-0.48,0.0,0.29,0.24,0.0,0.33,-0.29,0.14,0.29,1.38,0.14,0.14,0.24,0.0,0.95,0.0,-0.24,-0.24,0.14
61,-0.43,0.1,0.86,-0.24,-0.19,-0.19,0.29,0.0,0.0,0.0,-0.05,0.33,0.14,-0.38,0.43,-0.38,0.0,0.0,-0.62,0.33,-0.14,-0.05,0.1,0.81,-0.19,-0.48,-0.38,-0.38,-0.38,0.05,0.0,-0.38,0.0,-0.1,0.19,-0.14
62,0.17,-0.38,0.04,0.21,0.0,0.17,-0.09,-0.09,-0.04,0.0,0.09,0.43,-0.81,0.04,-0.21,-0.13,-0.77,-0.04,1.62,-0.94,-0.21,-0.38,-0.17,-0.09,-0.98,-0.17,0.72,-0.13,0.21,0.26,0.0,0.51,0.0,0.13,-0.09,-0.21
63,-0.28,0.23,0.37,0.0,-0.14,0.0,-0.14,-0.19,0.28,0.0,0.14,-1.77,-0.56,0.42,0.19,-0.28,0.0,0.23,-1.86,0.88,-0.37,0.28,-0.33,0.14,0.56,-0.79,-1.86,0.37,-0.09,0.23,0.88,-1.86,0.0,0.33,0.42,0.42
64,-0.17,0.09,0.35,-0.26,0.17,0.13,-0.26,0.0,0.13,0.0,0.17,-0.65,0.09,-0.17,-0.22,0.13,0.0,-0.48,1.48,-0.13,-0.17,0.65,0.74,0.0,-0.04,1.09,-0.13,-0.35,0.43,0.43,1.35,0.35,0.0,-0.17,-0.04,-0.39
65,-0.04,0.0,0.13,0.09,0.04,0.04,0.09,-0.04,-0.09,0.0,-0.04,0.22,-0.09,-0.79,-0.62,-0.18,-2.64,0.09,1.76,0.22,0.22,-0.44,-0.35,0.22,0.13,0.0,-1.05,-0.62,0.57,-0.04,0.0,-0.79,0.0,-0.09,0.18,-0.04
