time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-1.79,0.47,2.21,-1.62,-0.21,-1.79,2.13,0.94,0.04,2.0,-1.06,-0.98,0.38,0.0,-0.72,-0.34,-0.72,0.47,-0.51,-0.3,-0.51,-0.17,-0.64,-0.6,0.13,0.17,0.38,0.26,0.51,-0.26,0.09,-0.21,-0.17,0.13,0.3,0.04
1,0.05,0.15,-0.41,-0.35,0.2,0.35,0.35,-0.96,-0.35,0.25,-1.27,0.35,0.66,-1.06,-7.19,-7.14,-17.11,-0.91,-9.06,-3.8,0.0,0.0,-5.01,-1.92,0.2,1.57,0.35,1.06,0.81,-1.42,1.47,0.2,-4.71,1.11,-0.1,0.76
2,3.41,1.55,0.75,-1.17,2.13,-1.65,0.37,-1.01,-1.39,-0.37,-6.72,0.21,-10.13,-16.48,-5.92,-0.11,7.2,10.77,-8.75,0.37,0.0,0.0,0.0,0.0,0.11,0.0,-0.8,0.0,0.16,-0.21,0.37,-6.08,0.91,0.43,-0.27,0.0
3,0.24,-0.05,-0.14,0.05,-0.19,0.1,-0.14,-0.38,0.05,0.0,-0.29,0.48,-0.57,-0.1,0.76,0.71,-0.67,-0.29,0.0,0.71,-0.62,0.33,-0.24,0.0,1.14,1.19,0.0,-0.57,1.43,-0.57,-1.67,-0.57,-1.05,-0.33,-2.1,-2.1
4,-1.56,0.57,3.43,-0.42,0.31,0.16,0.26,-2.13,0.73,-2.23,0.16,-1.92,-3.74,-1.04,2.7,4.94,2.65,1.66,-1.56,5.66,-1.14,-0.78,1.4,0.47,1.14,-1.71,0.21,-2.03,-1.14,1.25,-0.52,1.35,-6.86,0.1,-0.99,1.25
5,-2.29,-0.92,-2.51,0.57,0.53,2.2,-0.97,0.18,0.48,-0.09,-1.19,1.49,-0.18,-0.7,0.4,0.04,1.71,0.44,0.35,0.4,0.44,-0.48,0.57,0.04,0.18,0.0,-0.57,-0.09,0.4,0.4,0.0,0.75,-0.4,-0.13,0.62,0.35
6,-0.36,-0.16,-0.52,-0.26,0.21,0.0,0.36,-0.1,0.1,-0.36,0.16,0.47,-0.83,-1.45,-0.57,1.25,2.29,1.04,-2.08,11.74,0.78,-1.51,-1.56,-0.47,-1.14,-1.09,0.05,1.19,0.36,-0.1,0.0,-0.31,2.65,0.1,-1.04,0.21
7,-0.76,0.62,1.2,0.44,-0.4,0.71,0.0,0.36,-0.53,0.18,-0.04,-0.93,0.18,1.42,0.27,-0.89,-0.93,-0.31,1.02,-2.62,-0.36,0.67,0.31,0.27,0.0,0.13,-1.2,0.18,0.18,0.36,0.0,-0.53,0.62,0.0,0.09,0.04
8,0.05,-0.16,-0.21,-0.26,-0.16,0.05,-0.1,-0.16,-0.1,-0.62,-1.09,-0.1,-0.1,-0.62,0.21,0.0,-0.68,-0.05,0.62,0.73,-0.05,0.0,0.0,-0.1,-1.19,0.16,0.0,-0.99,-0.94,-0.36,0.0,-0.78,-0.05,0.31,-0.73,-0.88
9,0.3,-0.54,-1.19,-0.49,-0.44,-1.23,-0.35,0.44,-0.4,-0.89,0.74,0.1,-1.23,-1.43,-0.35,-0.59,0.35,-0.79,0.25,0.89,0.74,0.4,-0.05,0.05,-0.4,-0.49,0.0,-0.3,-0.59,-1.28,0.0,1.04,3.06,-0.44,-1.09,0.0
10,1.42,-0.22,-0.13,-0.98,-0.22,-0.89,-0.09,0.04,-0.36,0.0,0.71,0.53,0.22,-0.22,-2.04,-0.31,-2.0,-0.36,1.87,0.09,0.98,0.27,-0.13,-0.09,0.0,-0.22,-0.22,0.18,0.18,-0.31,-0.71,-0.13,-0.8,-0.13,-0.44,-0.18
11,0.62,-0.24,0.52,0.0,-1.67,0.1,0.62,1.76,-0.19,0.38,0.19,0.52,1.48,0.33,-0.76,-0.29,0.29,-1.48,-0.71,-1.62,0.67,-0.95,-0.67,1.71,0.0,-1.71,-1.19,-0.71,-0.43,-0.81,4.95,1.1,6.33,1.05,0.71,-0.57
12,-0.61,1.74,4.3,1.04,2.0,1.48,1.48,-0.09,0.26,6.48,3.22,-2.48,6.7,6.35,0.61,-5.83,-7.83,-4.22,1.91,0.0,4.43,-1.22,-0.83,1.26,-1.65,0.52,0.17,-0.3,1.43,0.13,8.83,10.43,-7.22,1.57,0.35,1.22
13,-3.38,-0.26,0.62,2.26,0.41,2.26,0.0,0.87,2.31,3.54,11.64,-2.41,-0.15,1.03,1.38,0.92,0.0,-0.15,2.05,1.54,-0.62,2.26,0.77,0.05,-0.26,0.1,0.05,0.26,0.1,-0.1,0.1,0.31,1.38,-0.56,0.31,0.21
14,0.59,-1.59,-5.86,-0.14,0.59,1.68,-2.59,-2.59,-0.27,-3.41,0.0,6.5,2.77,6.23,9.27,7.68,2.23,-2.73,10.18,7.45,-6.05,9.18,5.18,-2.23,0.14,-1.05,-3.18,0.59,0.18,3.18,-1.09,1.27,1.82,-3.27,-1.55,0.68
15,-0.13,-0.17,-0.7,-0.7,-0.09,-0.04,0.09,-0.7,-0.22,-0.57,-1.13,-0.43,-0.26,-0.91,-1.13,-2.17,-1.83,-0.61,-1.13,-1.65,-0.91,-0.65,-1.83,-1.04,0.04,0.04,0.0,0.04,0.13,-0.17,-0.09,-0.13,-0.3,-0.04,-0.04,0.22
16,0.16,-0.82,1.97,0.55,-0.99,-3.18,-0.05,1.42,0.27,0.88,1.75,-2.25,-0.11,-0.33,-1.7,-1.97,-6.63,-0.6,-1.75,0.05,-0.22,0.0,-0.77,-0.05,0.77,0.05,0.38,0.44,-1.26,-3.67,-0.33,0.77,-0.93,-0.16,1.15,-0.16
17,-0.4,1.71,0.18,-1.62,-1.48,-1.57,2.92,-0.72,-0.72,2.2,-3.33,-5.26,-2.52,-9.98,-12.85,-10.02,-11.19,3.55,-8.0,-6.25,0.0,0.0,-3.82,0.0,-0.85,1.3,0.76,-0.18,-0.94,1.08,4.13,-6.11,-5.71,0.49,0.27,-0.58
18,2.51,0.96,-3.76,-1.35,0.24,-0.48,0.39,-2.41,-1.73,-5.35,-10.12,0.82,-0.19,-1.49,-0.14,2.41,3.28,1.45,-1.45,0.77,0.0,0.0,2.22,-0.92,0.19,-0.19,-1.16,0.0,0.39,0.24,-1.49,-0.58,0.0,0.19,-0.19,-0.39
19,0.37,-0.69,-0.05,-0.21,0.48,-0.11,0.11,0.16,0.16,-0.43,-1.01,3.15,-5.65,-1.65,5.81,5.23,12.91,2.13,0.0,5.76,-0.32,0.0,5.01,1.6,2.56,0.8,0.96,-1.71,1.01,-0.05,-10.51,0.27,-1.01,-0.32,-1.92,-0.43
20,0.72,-0.17,-1.23,0.13,0.0,0.98,-0.51,-0.38,1.23,1.49,-1.91,-4.47,-0.17,0.21,2.04,1.15,4.3,5.11,-0.64,-0.85,1.87,-1.36,2.17,0.51,0.13,-0.04,-0.68,-0.09,0.13,0.6,-0.38,0.0,0.81,0.13,0.0,0.21
21,-1.09,-0.17,-0.78,0.13,0.09,2.61,-0.3,-0.26,0.43,0.17,0.17,-0.09,-0.09,-0.43,0.0,0.0,0.09,0.22,-0.22,0.3,-0.13,-0.43,-0.04,-0.09,-0.13,-1.0,0.83,-0.35,0.7,0.91,0.0,0.13,-0.26,0.74,-0.3,0.52
22,-1.82,-0.18,1.59,-1.18,0.45,0.73,0.32,-0.14,-0.36,0.64,-0.23,1.59,-0.77,-1.05,-1.59,-0.18,1.05,-0.73,-1.27,-0.23,0.73,-1.5,-1.5,-0.23,-1.5,0.09,-1.45,0.14,0.41,-0.05,0.0,-1.55,-0.91,0.09,0.18,0.0
23,0.1,0.1,-0.58,-0.05,0.19,0.63,0.0,-0.92,0.0,0.14,-0.29,-0.29,-0.05,0.39,0.29,-0.96,-2.55,-0.19,0.05,-1.49,-0.77,0.34,-0.53,-0.92,0.0,-0.1,0.14,-0.19,-0.34,-0.19,0.0,0.14,-0.67,0.05,-0.24,-0.05
24,-0.32,-0.09,-2.48,-0.64,-0.64,-0.55,-0.37,-0.87,-0.6,-0.09,0.92,0.97,0.0,-0.32,-0.69,0.18,-0.37,-0.74,-0.64,2.07,0.23,-0.92,-0.41,-0.05,-2.16,-0.69,-0.97,-0.69,-0.92,-0.28,0.0,-0.64,-1.2,-0.32,-0.87,-0.46
25,0.17,-0.33,-0.38,-0.21,0.25,-2.08,-0.08,0.21,0.38,-1.04,0.96,0.21,0.0,-1.04,-1.0,-1.08,-3.92,-1.79,-1.54,0.0,-0.38,-0.17,-1.12,-0.83,0.25,0.33,0.0,-0.71,-0.25,-0.83,0.62,0.92,-0.29,0.17,-0.67,-0.54
26,-2.23,-0.1,0.21,0.52,-0.94,-0.42,0.47,0.36,0.05,0.47,-0.36,1.04,0.0,-0.36,-0.21,0.16,0.42,-0.05,0.0,0.47,0.31,0.0,0.31,0.05,0.36,-0.73,-1.35,-0.16,-0.1,0.73,-0.42,0.21,0.0,0.16,0.1,0.26
27,1.8,3.94,-0.23,1.57,2.55,1.16,1.57,2.26,1.04,0.75,0.7,0.7,0.0,1.16,-2.14,-4.52,-7.88,0.17,0.0,-0.23,3.25,0.0,-1.16,0.46,5.51,2.72,-4.0,-0.17,-0.7,2.32,3.07,-0.46,0.0,2.49,1.91,1.04
28,-0.27,-0.16,1.32,0.99,0.33,0.22,-0.16,-0.05,3.07,3.84,1.1,0.16,5.15,19.18,11.84,5.97,-2.79,-6.85,2.25,0.11,0.0,0.0,4.27,0.0,0.05,-0.11,-0.05,0.82,-0.27,-0.22,-0.05,1.7,-1.75,-0.71,0.38,0.6
29,0.3,-2.13,-1.27,0.71,1.11,0.15,-2.89,-0.56,0.96,-1.32,3.44,2.84,0.46,0.1,2.18,2.38,9.11,0.46,5.52,4.51,0.0,0.0,1.97,0.3,2.33,-0.3,-1.06,-0.76,-1.37,-0.56,-0.71,6.63,10.38,0.2,-1.42,-1.11
30,-0.83,-0.39,-2.26,-1.17,-1.7,1.87,-0.61,-2.35,-2.17,-1.13,0.17,-0.35,-0.17,-0.48,1.13,3.83,5.22,3.83,2.0,2.65,1.04,-1.43,2.43,0.04,-1.22,-1.04,-1.35,-0.74,-0.65,0.65,-1.0,0.09,-0.09,-1.22,-1.83,-1.13
31,-0.93,-0.54,-0.98,0.2,-1.17,0.05,-0.39,-1.12,-1.37,-0.49,-0.93,0.0,-0.15,-0.1,0.2,-0.34,-0.34,-0.24,-0.15,0.05,-0.39,-0.2,-0.39,0.2,-0.15,-0.34,-0.39,-0.1,-0.44,-0.93,0.05,0.0,0.05,-0.15,0.0,0.15
32,0.42,-0.58,0.5,0.29,-0.04,-8.17,-1.71,1.12,1.04,-0.04,1.08,-0.38,-0.96,-0.79,-2.04,-4.54,-5.42,-3.92,-0.83,-4.46,-1.04,-1.0,-3.04,-1.08,0.17,-0.17,0.38,0.33,0.04,-1.88,0.54,0.29,-0.88,-0.12,0.71,0.75
33,0.28,0.28,0.41,-0.09,-0.23,0.23,2.67,1.06,-0.18,1.56,-0.28,-1.7,-4.74,-9.1,-9.98,-6.21,-6.57,3.36,0.41,-9.98,-0.46,-7.4,-3.63,1.43,0.37,0.09,-0.09,0.18,0.14,0.23,0.09,-0.37,-0.37,-0.09,0.09,0.0
34,1.82,1.4,-0.57,0.42,0.62,-0.73,0.57,1.04,-1.87,-0.05,-6.75,-3.38,-0.99,-1.56,-0.26,0.88,1.51,2.08,-0.73,-1.82,-0.83,1.25,1.82,0.47,0.99,1.3,-1.14,0.78,-0.78,-0.57,0.94,-6.44,-1.56,0.1,1.77,-0.73
35,2.33,0.93,-1.67,0.14,0.09,-0.14,0.05,-0.19,-0.74,-5.44,-8.74,1.3,-3.91,-0.23,5.72,5.58,9.58,1.26,9.3,10.98,-5.16,5.77,2.79,1.44,2.88,1.3,-1.81,-1.58,0.7,1.21,-5.3,0.88,-1.86,0.42,-1.16,0.37
36,0.22,0.05,-0.27,-0.22,0.0,-0.11,0.16,0.22,0.0,1.75,-0.33,0.33,0.16,0.93,0.77,0.0,2.36,0.6,0.11,1.32,0.6,0.27,-0.11,0.49,0.11,-0.27,0.0,0.0,0.33,0.44,0.22,-0.22,-1.15,0.33,0.0,1.64
37,-1.14,-0.5,-1.77,0.68,-0.14,2.55,-0.14,0.27,0.91,-0.5,-1.14,-1.45,-0.64,-1.73,0.45,1.23,7.5,2.82,-0.64,2.68,0.5,0.0,-0.27,-0.55,-1.18,-0.59,-0.41,0.0,1.5,0.82,0.0,1.27,2.68,-0.14,-0.23,0.55
38,-0.65,0.56,0.65,0.22,-0.22,0.34,-0.13,0.09,-0.52,-0.9,0.04,0.09,1.12,1.55,0.47,-0.3,-3.66,-0.99,0.39,-2.84,-1.2,0.13,0.43,-0.43,-0.69,-0.13,-1.29,-0.09,-0.86,-0.17,0.0,-1.81,1.51,0.04,-0.22,-0.52
39,0.2,0.0,0.9,-0.05,-0.3,-0.15,-0.15,-0.05,-0.05,0.0,-0.35,-2.4,-0.45,-0.5,-0.35,-1.95,-1.3,0.25,0.15,-1.0,-0.75,-0.25,-0.15,0.8,-0.8,0.25,0.0,0.45,0.15,0.6,0.0,-3.35,-2.35,-0.75,-0.6,-1.2
40,-0.52,-1.0,-2.04,-2.3,-1.13,0.09,-0.52,-2.26,-0.57,-0.52,-0.3,1.52,-0.96,-1.26,-0.65,-0.52,-0.78,-0.87,-1.35,-0.17,0.39,-2.22,-0.96,-1.0,-1.96,-1.3,-0.3,-0.87,-0.04,-0.78,0.0,-0.61,0.0,-0.35,-0.61,0.0
41,0.37,-0.05,-1.61,-0.09,-0.74,-0.55,-0.05,-0.05,-0.74,0.05,1.1,-0.41,0.05,0.18,-0.37,0.09,0.0,-0.37,0.32,0.87,0.0,-0.51,0.14,-0.05,-0.09,0.05,-0.6,-0.05,-0.18,-0.05,0.0,0.23,-0.97,0.05,0.18,-0.09
42,-0.13,0.09,0.76,0.49,0.31,-0.93,0.4,0.27,0.4,-1.11,0.76,-0.13,0.53,0.36,0.49,-0.09,-2.44,-0.31,0.53,-3.38,1.78,1.38,0.13,0.8,1.64,0.4,-2.09,-0.67,-1.51,-0.67,0.0,0.62,-1.56,0.44,-0.4,0.04
43,-0.26,0.78,4.21,0.99,0.1,-2.23,1.35,0.88,0.31,-2.96,0.83,2.34,2.08,1.04,-2.75,-1.25,2.03,-4.57,-0.57,0.0,1.04,1.92,-2.49,-1.51,-0.21,0.0,-0.21,0.05,0.0,-0.16,0.47,0.0,0.26,0.26,0.31,0.16
44,-0.4,0.35,0.0,0.2,0.25,0.15,-0.05,0.35,0.05,0.05,0.4,0.6,1.15,1.0,0.05,-0.1,-0.1,-1.85,-2.3,0.0,0.5,-1.05,-1.1,0.35,1.15,1.25,-2.35,2.0,-1.6,0.05,1.85,2.75,0.75,1.4,4.05,-0.1
45,-2.78,0.44,0.1,1.12,3.02,2.78,2.73,0.93,1.8,7.8,10.34,-0.05,10.73,12.05,11.37,2.93,-1.07,-8.2,11.61,0.0,-1.85,4.68,0.93,1.32,-2.24,-1.56,-3.07,0.1,3.37,1.17,0.78,14.44,8.88,-0.2,-1.46,2.0
46,-0.52,-1.71,-4.38,-1.14,-0.95,1.29,-3.33,-3.67,-1.24,-2.76,-0.67,-1.14,0.14,-0.1,0.71,0.1,1.29,0.19,0.67,1.52,-0.33,1.05,0.71,0.29,-0.05,-0.19,0.19,-0.29,-0.05,1.29,-0.29,0.14,-0.1,-0.38,-0.62,-0.33
47,-0.33,0.19,-0.71,-0.33,-0.62,0.0,-0.67,0.0,-0.14,-0.52,-0.05,-1.14,-0.14,0.24,2.9,6.52,7.95,2.76,3.19,5.24,-0.9,1.81,5.14,0.1,-1.48,-1.1,-2.33,-0.95,-1.1,1.86,-0.33,-0.24,-1.9,-2.29,-1.86,-1.24
48,0.0,-1.04,-0.5,-0.54,-0.46,-1.33,-0.71,0.04,-0.12,-0.67,-0.46,-1.12,0.08,0.0,-1.38,-4.12,-6.62,-3.46,-1.58,-3.42,-0.42,-0.5,-3.21,-1.33,0.08,0.0,0.0,-0.17,0.08,-0.21,0.0,0.12,-0.21,0.04,-0.12,0.12
