time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.1,0.14,0.62,0.14,0.1,0.0,0.14,-0.19,-0.24,0.0,-0.57,-0.95,0.67,0.43,0.43,0.19,0.0,-0.19,0.81,-0.19,-0.57,0.0,-1.0,0.05,0.0,-0.52,0.0,0.29,-0.24,0.29,0.05,0.14,0.0,0.05,0.43,0.1
1,-0.16,-0.1,0.68,0.62,-0.31,0.62,0.0,0.31,-0.1,-1.4,-0.52,-0.62,-0.1,0.31,-0.21,-0.42,-0.05,0.31,0.05,-0.16,1.14,0.0,0.62,-0.1,0.0,0.68,0.0,0.0,-0.05,-0.26,-0.78,-0.21,1.14,-0.21,-0.31,-0.21
2,-0.1,0.29,-0.33,-0.05,-0.24,-0.14,0.1,-0.29,0.1,0.1,0.52,0.52,-0.05,-0.05,-0.1,0.05,0.0,0.29,1.43,-0.62,-0.38,-0.19,0.38,0.05,0.1,0.19,0.0,-0.24,0.33,-0.05,-0.29,0.14,-0.33,-0.1,0.48,-0.1
3,0.0,-0.05,0.7,-0.16,0.11,0.11,0.16,-0.05,0.16,0.0,-0.16,0.59,-0.11,0.22,-0.05,-0.22,0.7,-0.05,0.11,-0.32,-0.27,-0.49,-0.27,0.43,0.0,-0.38,0.0,0.11,-0.11,-0.32,-0.54,0.32,0.16,-0.05,0.54,0.0
4,0.0,-0.2,1.27,0.44,0.73,-0.05,-0.24,0.05,-0.24,0.0,0.1,-1.41,-0.24,0.05,0.44,0.59,-0.88,-0.1,0.34,0.39,0.05,0.49,-0.1,-0.24,-0.54,-0.24,0.0,-0.2,0.2,-0.2,-0.24,0.29,-0.05,-0.29,0.2,0.29
5,0.23,0.09,-1.1,0.18,0.41,0.6,-0.28,0.41,-0.05,0.09,0.09,-0.28,-0.05,0.14,0.09,0.18,0.0,-0.28,-0.41,-0.46,0.09,0.23,0.05,-0.18,-0.09,0.05,0.0,-0.18,0.23,-0.28,-0.32,0.32,-0.32,-0.05,0.14,0.05
6,0.46,0.28,0.41,0.28,-1.24,0.51,0.05,-0.18,0.28,0.0,-0.23,-1.56,2.76,1.52,0.18,0.83,-0.78,1.52,1.7,-1.43,-1.7,-0.46,0.32,-0.23,1.29,0.51,0.0,0.09,0.0,1.01,5.56,0.51,0.28,0.41,1.43,-0.14
7,-0.42,0.16,-0.89,0.68,-2.11,-3.16,0.42,1.53,-0.26,0.0,2.21,3.68,2.53,5.84,-4.32,-6.47,4.11,-5.37,0.0,3.63,-0.11,0.0,-5.0,1.26,0.0,0.47,0.11,0.32,2.37,2.53,6.89,2.95,0.0,-0.42,1.26,-0.37
8,3.12,0.05,1.35,-0.16,-1.04,-0.68,-1.09,0.83,-0.62,-0.05,2.08,3.84,0.68,0.1,0.0,-0.94,0.0,0.0,-1.45,-0.36,0.73,0.0,0.0,-0.83,-0.42,-1.19,0.57,0.73,-0.26,0.47,0.68,0.83,-0.05,0.47,0.31,0.16
9,-3.62,-1.1,6.25,-0.71,1.92,2.58,1.92,3.01,1.1,7.56,11.73,2.47,4.99,4.6,2.63,-1.42,0.0,-4.11,0.0,1.7,0.99,0.0,0.0,0.0,-1.48,-2.85,11.18,0.05,-2.63,-0.22,6.08,8.27,0.38,-0.27,0.99,1.21
10,-0.91,-1.14,-1.0,0.5,-2.18,0.27,-0.95,0.86,0.23,0.18,2.14,1.05,0.64,0.64,1.5,0.64,-2.82,0.0,0.5,0.0,-0.23,1.05,-0.73,0.36,-0.05,-0.5,0.09,0.23,-0.36,-0.5,0.09,0.0,0.73,0.0,0.05,0.0
11,-0.67,-0.94,-1.8,0.49,0.31,-0.67,-1.12,-0.31,0.36,-0.94,0.4,1.08,2.88,4.27,0.58,4.67,0.27,1.12,1.35,-3.46,-1.26,0.0,0.0,-0.72,-0.13,-1.35,-0.36,0.54,-1.03,0.27,-0.63,0.94,3.42,-1.75,1.39,0.76
12,-0.22,-0.09,-0.13,-0.81,-0.13,0.85,-0.09,-0.85,0.04,-0.63,-0.9,-0.18,0.4,0.85,-0.94,-0.85,1.08,0.85,0.31,0.0,0.18,-1.98,-0.45,-0.49,-0.18,0.09,-0.36,-0.54,-0.4,-1.12,0.36,-0.54,-1.57,0.49,-0.18,-0.76
13,0.59,0.25,0.84,0.05,-0.15,-0.44,0.89,0.94,-0.4,-0.25,-0.35,-0.94,-0.49,-1.38,-0.49,-0.1,0.35,0.15,0.94,-0.3,0.2,-1.83,-0.4,0.49,0.35,0.25,-0.54,-0.2,0.15,0.1,0.2,-0.99,-0.05,0.89,-0.15,0.2
14,1.56,1.7,-0.14,-1.1,3.45,0.28,0.87,-1.33,-2.67,1.43,-8.41,-6.57,-4.0,-5.61,-4.51,-2.34,0.0,-0.87,0.0,-1.98,0.32,-5.24,-1.06,0.51,0.46,0.37,-1.89,2.76,2.16,-0.87,1.29,-8.28,-5.38,0.14,-1.01,0.46
15,1.93,0.99,2.26,-0.05,-1.6,-1.74,-0.42,-0.52,-0.19,-3.39,-4.94,0.0,-4.14,-3.58,-1.36,-0.89,4.71,1.84,0.85,0.0,-2.87,1.04,-0.24,0.56,0.47,0.47,0.0,0.09,-0.71,-0.14,-0.75,-0.14,0.66,0.14,0.09,0.0
16,0.28,-0.17,1.11,-0.22,-1.17,-2.44,0.72,0.0,-0.06,0.0,-4.94,-0.11,-0.5,-0.67,0.67,-0.11,0.61,0.33,-3.17,-0.33,0.44,1.0,-1.22,-0.56,2.67,1.33,0.0,-1.0,-2.0,-3.11,-12.11,-2.5,-0.61,1.5,-1.89,-0.33
17,-1.66,-1.22,-1.32,-0.59,0.1,1.12,-0.78,-0.54,1.17,0.0,-0.49,-4.34,0.0,-1.17,1.8,0.24,-0.1,4.59,0.0,-0.63,0.59,0.0,1.95,-0.2,0.73,-1.46,3.71,-0.2,-2.63,-1.12,-2.44,-1.02,0.0,-0.24,-1.71,0.63
18,1.65,-0.16,1.07,-0.91,-0.69,-0.21,-0.37,-0.11,-0.85,0.0,-3.63,-1.55,0.0,0.48,0.75,0.16,-3.47,0.16,0.43,0.8,0.53,0.0,-0.37,0.11,0.0,0.11,0.16,-0.16,-0.37,-0.21,0.0,0.37,-0.37,-0.16,-0.37,0.11
19,-0.11,-0.48,-0.32,0.27,0.43,0.32,0.21,-0.27,-0.21,0.0,-0.05,-0.37,-1.28,0.11,0.11,1.01,4.69,1.55,-0.53,-0.48,2.19,0.0,-0.75,0.21,0.0,-0.75,-0.32,-0.11,-0.8,-0.32,0.0,-0.21,-0.53,-0.11,0.0,0.16
20,-0.8,-0.35,-1.1,-0.25,-0.4,-0.05,-0.5,-1.05,0.25,0.0,-1.05,-0.9,-0.85,-1.0,-0.85,-0.75,0.25,-0.8,-1.4,-0.65,-0.4,0.0,-0.6,-0.1,0.0,-0.1,0.0,-0.3,0.05,0.35,0.0,0.3,0.0,-0.25,0.25,0.0
21,0.06,0.41,1.47,-0.18,-0.41,-0.12,-0.88,0.24,-0.12,0.0,-1.47,-1.41,0.18,0.18,-0.35,-0.47,-1.41,-0.41,-0.18,-0.88,0.41,0.59,-0.29,-0.12,0.0,0.06,-0.59,0.29,0.53,0.35,0.0,-2.0,0.47,-0.76,-1.06,-0.71
22,1.05,0.0,0.27,0.14,-0.23,-1.27,-0.05,0.0,-0.09,-0.5,0.36,-0.86,-0.05,-0.36,-0.36,-0.68,-0.64,-2.0,0.59,-0.05,0.14,-0.91,-0.68,-0.18,0.05,0.41,0.0,0.0,-0.36,-1.0,0.0,1.0,-0.23,0.27,1.59,0.0
23,-0.05,0.11,1.1,1.32,0.22,-0.44,0.33,0.66,0.33,2.47,0.49,-0.71,-0.16,0.0,0.16,-0.22,-1.53,0.11,0.49,-0.33,0.71,0.0,-0.11,0.11,-0.33,0.0,0.0,-0.11,0.99,0.22,0.0,0.0,1.04,-0.27,0.38,0.05
24,1.43,-0.15,2.37,0.64,1.28,0.0,-0.15,0.54,-0.1,0.0,0.44,0.49,0.25,0.84,0.84,0.89,-0.1,0.05,1.48,1.93,0.35,0.05,0.69,0.44,-0.59,-0.4,0.0,0.15,-0.74,0.0,0.0,0.15,0.1,0.59,0.54,0.64
25,-0.13,0.0,-0.3,0.35,-0.43,0.35,0.13,0.3,0.0,-0.52,0.65,0.91,2.09,0.61,-0.91,0.13,0.35,1.09,2.0,5.35,0.43,-1.43,-0.04,-0.43,0.09,0.22,0.0,-0.22,-0.35,-0.22,0.0,0.04,-1.52,0.13,0.3,0.04
26,0.51,0.39,-0.9,1.8,-1.41,0.34,0.23,-0.9,-0.11,-0.51,0.9,-1.52,0.45,0.85,0.0,-0.11,0.0,-1.01,0.0,-0.96,0.39,0.23,-0.39,-0.11,1.52,0.68,0.0,-0.68,0.06,-2.7,0.0,-0.06,-1.13,0.68,-0.56,-0.39
27,0.69,1.03,0.04,-0.82,-1.59,-2.49,0.17,0.6,-0.52,1.46,3.66,-0.9,0.86,2.45,-1.81,-6.19,-3.57,1.16,-0.6,0.0,-0.65,-1.03,-3.23,-2.88,-0.52,0.95,0.0,-1.25,-0.56,0.39,5.89,4.04,2.88,-0.39,3.66,-0.26
28,-0.24,0.05,3.33,0.24,1.1,0.1,-0.57,0.43,0.57,6.29,4.86,2.0,0.86,0.48,0.0,-0.19,-0.71,-0.48,0.0,0.0,0.57,-0.05,0.52,-0.1,-0.33,-0.24,0.76,-0.1,0.81,0.48,0.38,0.57,-0.76,-0.1,-0.33,0.29
29,-1.9,-1.4,-0.5,-0.25,-1.15,1.85,-0.25,-0.6,0.15,-0.15,0.6,3.5,7.65,6.6,5.85,0.75,2.15,-5.15,1.85,0.0,-3.45,3.4,1.3,2.15,-1.55,0.05,2.0,-1.4,5.25,2.45,-1.0,15.4,9.25,1.0,-3.35,-0.15
30,0.0,-0.05,-0.09,0.66,-0.28,-0.05,0.19,0.09,0.05,-0.05,-0.28,-0.05,3.2,4.85,5.69,1.51,1.41,2.12,1.22,2.78,-2.92,1.36,2.64,-3.01,-0.28,-0.19,0.0,0.09,-0.14,0.38,0.14,-0.14,0.14,-0.05,-0.05,0.33
31,-0.19,0.24,-1.48,0.67,-0.29,0.76,-0.62,-1.52,0.43,-0.52,0.62,-0.67,0.05,0.24,0.05,-0.62,-0.1,-0.33,-0.1,-0.71,0.43,0.29,-0.38,-0.19,-0.19,-0.33,-0.48,0.52,-2.1,0.33,-1.62,1.29,0.43,-1.24,0.43,-0.05
32,0.13,0.3,0.09,-0.26,0.7,0.0,0.91,1.13,0.35,0.3,0.39,0.43,0.26,-1.65,-4.0,-1.35,-1.78,-1.35,-1.35,-3.3,2.04,-6.35,-3.04,0.48,0.13,0.43,1.3,-0.22,0.52,-1.3,1.0,0.26,-1.35,2.0,0.35,-0.83
33,0.37,0.14,1.47,-0.41,0.6,0.09,0.41,-0.05,0.05,0.83,-0.41,0.09,-0.78,-0.05,-0.37,-1.2,0.23,-0.05,2.94,-1.2,0.64,-0.41,0.32,0.23,0.14,0.09,0.05,0.0,0.74,0.18,0.05,-0.55,-0.51,0.09,-0.41,-0.09
34,2.14,0.24,-0.05,1.29,0.52,-1.33,-0.67,0.0,-1.48,-0.67,0.19,0.43,-6.05,-6.14,-2.1,-0.29,-1.24,-1.43,-4.9,-2.71,0.1,-1.95,0.24,0.86,1.76,0.48,-4.14,1.24,2.19,-2.29,0.38,-8.24,-3.14,-0.48,-1.29,1.0
35,0.05,0.19,-0.05,-0.33,-0.52,-0.14,0.05,0.05,-0.05,0.28,-0.09,-1.46,-5.69,-5.55,-3.11,0.38,6.73,4.94,-1.36,0.0,-1.79,-0.89,-2.12,1.27,2.92,1.51,-0.24,-1.93,0.61,1.32,-0.61,-1.13,-0.47,1.6,-2.4,-1.36
