time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.46,0.23,0.04,0.46,0.46,0.35,-0.88,-0.42,0.12,0.19,0.19,-0.35,0.04,1.31,0.46,0.35,0.38,-0.15,0.46,0.23,-0.54,-0.58,0.46,0.12,0.96,0.42,0.0,-0.27,-0.04,0.08,0.92,-0.04,0.19,-0.19,-0.35,0.0
1,0.31,-0.68,-1.3,-0.57,-0.16,-0.83,0.0,-0.21,-0.1,-1.97,-2.49,0.73,-0.21,-0.83,0.83,-0.94,-2.34,0.78,-0.57,-0.1,-0.36,0.73,0.47,-0.88,2.6,-0.1,0.0,0.57,2.39,-0.1,1.56,0.42,-0.47,-0.78,0.0,0.47
2,0.2,0.25,0.3,0.2,-0.79,-0.3,0.74,0.44,0.79,0.0,0.59,-0.69,0.1,-1.78,-0.89,1.48,0.0,-0.15,-4.3,-1.53,-1.14,0.0,2.07,0.05,3.46,0.79,3.7,1.38,0.15,0.25,0.0,2.81,0.0,-1.33,-0.59,-0.89
3,-2.26,-0.53,-0.11,1.11,1.89,0.42,0.37,-0.21,0.95,0.0,0.53,2.84,0.16,0.11,0.16,0.21,0.95,0.16,-1.58,-0.21,-0.21,0.11,0.0,0.0,0.0,0.0,-0.05,0.21,0.21,-0.37,0.0,0.0,0.0,0.16,0.0,-0.05
4,-0.68,-1.66,-1.12,-1.66,-0.59,-0.34,0.39,0.73,0.54,0.93,0.0,-2.44,1.66,0.88,0.39,-0.49,1.32,0.15,0.44,0.0,0.44,1.95,0.0,0.68,-0.88,-0.68,-0.63,-0.05,-0.93,1.12,0.0,1.46,0.0,-0.39,-0.49,-0.63
5,-0.24,-0.2,0.05,0.2,-0.59,0.0,0.05,-0.1,-0.54,0.0,0.24,0.63,0.0,0.78,-0.78,0.1,0.0,-0.1,-1.46,1.02,-0.2,0.0,-1.8,0.1,-1.76,0.0,-0.93,1.12,-0.15,0.0,0.0,0.15,0.0,1.85,1.61,1.32
6,1.7,0.55,0.8,-0.15,-1.15,0.05,-0.4,0.1,-0.5,0.0,1.3,-1.6,0.0,0.65,0.2,-0.95,0.0,-0.25,2.75,0.85,-0.65,0.0,-1.2,-1.55,-0.2,0.7,-1.45,0.35,3.6,0.1,-3.2,0.45,0.35,-0.3,1.4,0.35
7,-0.43,-0.47,-0.64,0.17,0.3,-0.72,-0.47,-0.72,-1.15,-0.17,-0.94,0.6,-0.04,0.04,0.04,-0.13,1.19,-0.09,0.81,0.51,-0.09,0.0,-0.3,0.26,-1.57,-0.98,0.0,-1.57,-1.32,1.11,-0.81,-1.74,-0.81,0.21,0.47,-0.21
8,0.05,0.0,-0.1,0.21,0.05,0.05,0.36,-0.15,0.1,0.36,-1.38,-0.26,-0.62,-0.1,-0.36,-0.26,-2.82,1.79,-2.41,2.92,-0.05,-0.62,0.77,2.05,-0.31,-0.26,0.87,0.1,0.31,-0.21,-0.67,0.1,1.69,0.15,-0.21,-0.21
9,-0.2,0.79,0.99,-0.49,-0.49,-0.05,0.54,0.15,0.64,0.1,-2.02,-0.3,0.2,-0.1,-0.15,-0.2,-0.44,-1.68,2.62,-0.44,-0.35,-0.69,-0.15,-0.4,7.06,2.12,5.28,-0.05,1.63,0.94,1.68,-1.09,4.25,-1.63,-0.64,-1.83
10,-0.32,0.05,-0.21,-0.16,-0.21,0.11,-0.05,-0.05,0.0,0.0,0.0,-0.59,2.4,-0.27,1.01,1.71,3.41,-0.91,4.48,2.4,1.49,-0.53,1.55,-0.48,0.53,1.01,0.91,-1.01,-0.05,0.11,0.0,-0.16,0.0,0.05,-0.32,0.05
11,-0.73,-0.31,0.1,-0.83,0.99,0.1,-0.26,0.57,0.26,-0.94,0.1,-0.05,0.0,0.36,-0.05,-0.16,0.47,0.42,-0.42,0.73,0.21,0.0,0.26,-0.36,1.66,0.16,0.0,-1.77,-0.99,0.52,0.0,-1.4,0.0,0.05,-0.62,0.05
12,0.36,-0.67,0.0,-0.18,-1.39,0.54,1.3,0.4,-0.76,-1.03,1.48,0.0,0.0,0.54,0.36,-0.31,-3.15,0.13,3.82,0.27,1.26,-0.18,-1.62,-0.72,-4.09,-2.11,0.0,2.25,-1.3,0.54,0.0,0.22,0.0,1.48,-1.12,0.0
13,0.05,0.11,-0.32,-0.11,-0.16,-0.05,0.42,-0.11,-0.21,-0.16,0.0,-0.37,0.0,2.11,-1.05,-1.95,0.0,-1.05,1.11,-0.16,-1.47,0.58,-2.0,-1.63,0.16,0.26,-0.53,0.26,0.53,-0.37,0.42,-0.11,0.0,0.37,-1.21,0.26
14,-0.19,-0.1,-0.33,0.57,-0.05,0.14,-0.52,-0.71,-0.29,-0.57,-0.62,-0.05,0.0,0.24,-0.1,0.0,0.0,0.24,1.48,-0.05,-0.52,-0.67,0.57,0.67,-0.29,-1.19,-1.19,-1.05,-0.67,0.33,1.14,0.48,0.57,0.48,0.33,0.33
15,0.35,0.05,1.33,0.1,-0.64,0.0,0.89,0.2,-0.1,0.25,-0.05,0.2,0.0,-0.3,-0.1,1.63,0.0,0.94,-1.19,-0.69,0.25,0.3,1.09,0.84,3.56,2.91,8.44,0.89,3.31,1.43,0.0,1.19,0.0,-2.27,-0.05,-1.04
16,-0.34,0.19,0.05,1.3,0.39,-0.1,-0.24,0.43,3.04,-0.19,-0.87,0.43,0.0,-2.31,0.43,1.16,0.0,-0.19,-2.65,-1.16,-0.48,-0.82,0.77,-0.43,-0.92,0.43,-0.29,0.14,-0.05,-0.43,0.0,-0.43,0.0,0.0,-0.34,0.0
17,-0.56,0.34,0.99,-0.04,0.65,-0.47,-0.43,-0.09,0.6,0.04,-0.69,0.09,0.43,0.13,0.82,0.3,1.33,-0.04,2.45,0.13,-0.26,1.68,-0.34,-0.17,2.28,1.08,3.53,-0.9,0.04,0.22,0.0,0.39,1.33,-0.04,0.13,0.34
18,-0.14,0.1,-0.29,0.0,-0.1,0.19,0.29,-0.05,-0.1,-0.86,0.62,-0.33,0.1,-0.14,-0.1,0.14,-0.67,-0.1,0.57,-0.1,-0.19,-0.19,-0.1,0.05,0.38,-1.52,-0.9,-0.24,-0.86,0.57,0.0,-0.95,0.29,-0.43,-0.38,-1.52
19,0.16,0.36,0.26,-0.78,-1.14,2.03,0.0,-1.25,-0.42,2.86,-0.05,-0.31,-0.16,0.16,-1.4,-1.51,-0.99,1.45,-1.71,0.36,-0.78,-0.99,-0.16,0.57,-1.51,-0.42,1.14,-0.21,-0.99,0.52,0.0,0.0,0.0,0.1,-0.68,-0.1
20,-1.16,-0.39,-1.35,0.39,-0.43,-0.34,0.14,-0.92,-0.39,-0.77,0.92,-1.01,0.53,1.4,-0.19,-1.01,-0.24,-0.1,-0.1,0.29,0.14,0.0,-0.77,0.34,-6.89,-3.04,0.0,-1.64,-2.12,-1.3,-1.88,0.14,-0.1,1.11,0.19,0.53
21,-0.05,0.1,-0.4,-0.1,0.3,0.05,0.05,0.0,-0.2,-0.35,0.4,-0.05,-0.25,-0.44,0.0,0.25,-0.4,0.4,-0.74,0.25,0.2,0.1,0.3,-0.89,-0.3,-0.25,0.0,0.1,-0.15,0.25,-1.58,-0.15,-0.4,0.3,0.2,0.25
22,1.3,0.15,1.5,0.0,0.75,0.4,-0.3,0.7,0.65,0.55,-0.85,0.85,0.75,0.45,0.45,0.75,0.05,0.2,0.5,1.2,-0.05,0.45,0.5,0.4,4.9,1.7,0.0,1.4,0.35,0.35,-0.1,-0.7,-0.3,-0.85,1.65,-0.3
23,-0.3,0.0,0.35,0.25,0.1,-0.05,-0.25,0.2,-0.05,0.3,-0.15,-0.7,-0.1,-1.8,1.0,0.85,-4.8,-1.55,0.6,0.65,-1.2,1.8,0.35,-0.9,0.0,1.0,0.2,0.05,0.0,-0.3,0.0,0.45,0.0,-0.2,0.05,0.15
24,-0.15,-0.76,1.32,0.66,1.01,-0.46,-0.71,0.51,1.42,0.35,-1.42,-0.61,-0.25,-0.3,-0.3,0.15,0.61,0.25,0.1,-0.25,-0.1,-0.3,0.0,-0.25,0.0,2.84,6.03,-1.22,0.96,-0.76,0.0,-0.46,-7.95,-1.77,0.61,-1.22
25,-0.34,0.0,-0.9,0.26,-0.43,0.04,-0.17,-0.3,-0.09,-0.65,1.29,-0.09,0.3,-0.34,0.34,-0.13,1.29,0.77,0.52,-0.47,0.04,0.65,0.17,0.34,0.09,-0.34,-0.3,-0.22,0.77,0.34,0.0,-0.73,-0.73,0.09,0.77,0.04
26,0.25,0.1,0.3,0.05,-0.4,0.05,0.65,-0.25,-0.1,0.15,0.9,0.15,0.2,0.35,0.2,0.45,-0.3,0.35,1.15,-0.3,0.05,0.45,1.2,0.1,0.0,-0.05,-1.0,0.2,-0.65,0.5,0.0,0.3,0.4,0.4,-0.45,-0.1
27,0.4,-0.22,-0.27,0.04,-0.36,0.13,-0.04,0.0,-0.76,1.53,1.03,0.04,-0.31,-0.27,0.76,0.31,-1.12,0.9,-0.67,1.62,0.72,-1.08,0.36,0.13,0.0,-2.88,-4.67,-0.4,-1.71,-0.67,0.0,-0.85,-2.74,0.94,-0.45,-0.54
28,0.0,-0.11,-0.05,0.0,-0.11,-0.21,-0.05,-0.26,0.11,0.0,0.26,0.0,0.37,0.89,-1.05,-0.79,1.53,-0.21,-1.26,-1.0,0.42,-1.63,-0.74,-0.37,-0.21,-1.21,0.0,-0.53,-0.32,0.32,1.53,0.11,0.32,-0.47,-0.74,0.42
29,-0.52,0.05,-0.24,-0.19,-0.14,0.14,0.0,0.19,0.0,-0.95,-0.38,-0.71,0.0,0.76,0.33,-0.05,0.0,-0.19,-0.81,0.33,-0.52,0.14,0.14,0.1,-2.43,0.62,1.38,-1.19,-0.29,-0.43,-3.1,0.48,2.0,0.29,-1.43,-0.29
30,0.0,0.88,2.29,0.68,-0.1,0.26,0.1,-0.1,1.77,0.26,-0.57,0.99,-0.21,-1.45,-0.62,2.13,0.0,1.14,-1.19,-0.62,0.83,-0.47,1.87,2.29,2.7,2.91,7.79,0.78,3.58,1.09,0.0,0.21,0.0,-0.78,0.21,-0.62
31,0.05,0.25,0.6,0.15,-0.15,-0.25,-0.55,-0.2,0.15,-1.2,-0.4,-0.25,-0.8,-0.25,0.1,-0.1,-0.4,0.05,0.6,0.35,0.95,-0.15,0.5,-0.2,0.0,0.05,0.15,-0.15,0.0,0.15,0.0,0.15,-1.2,0.05,0.2,-0.05
32,-0.43,-0.09,1.13,0.35,0.78,-0.17,0.13,0.87,0.7,0.91,-0.26,-0.39,0.43,0.09,0.35,-0.26,4.13,-2.57,1.26,0.0,0.0,0.3,0.22,1.3,0.96,0.96,1.17,-0.52,1.48,0.09,0.0,-1.13,-0.74,0.0,0.35,-0.3
33,-0.11,0.0,0.32,-0.16,-0.11,0.05,0.05,0.54,-0.11,-0.54,0.0,-0.16,0.54,0.7,0.76,0.11,0.76,-0.59,0.86,0.43,0.16,-0.43,-0.65,-0.76,-0.22,-1.35,0.0,-0.05,-0.16,0.43,0.0,0.0,-2.22,0.0,0.0,0.16
34,-0.43,0.05,-1.1,-0.62,-1.95,0.52,0.1,-0.57,-0.48,1.29,1.0,-1.14,-0.05,-0.24,0.1,-0.1,0.19,0.14,0.38,0.0,0.52,-0.33,0.1,0.24,-0.76,-0.86,-1.0,0.24,-1.14,0.38,0.0,-1.0,-0.81,-0.24,-0.43,-0.76
35,-1.32,-1.19,-0.64,0.09,0.13,-0.64,0.3,-0.04,-0.3,-0.34,0.04,-0.72,0.21,0.51,-0.72,-1.7,1.23,-1.23,-0.21,0.09,0.04,-0.38,-2.04,0.13,0.0,-3.83,-1.53,-1.57,-1.45,-0.89,-0.21,-0.17,-2.51,0.94,0.51,0.98
36,-0.06,0.11,0.5,0.06,-0.06,0.17,-0.11,-0.11,0.06,-0.67,-0.17,-0.06,0.33,-1.22,-0.61,0.06,0.17,-0.17,0.72,1.67,0.33,0.28,-0.22,0.0,-1.28,0.06,-2.11,-0.28,-0.11,0.39,1.11,0.28,-1.67,-0.28,0.5,0.06
