time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.0,0.0,-16.0,-0.67,-2.0,3.33,2.0,0.67,0.0,-12.67,-2.67,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.8,-3.2,7.2,-9.6,-11.2,-0.8,0.0,-0.8,-1.6,0.0,5.6,-3.2,7.2,-0.8,0.8,6.4,3.2,16.8,-12.0,-10.4,-4.8,6.4,7.2,0.8,20.0,11.2,0.0,-1.6,11.2,-4.8,-30.4,-8.0,6.4,1.6,5.6,-8.8
2,22.4,-1.6,0.0,-31.2,-17.6,-7.2,-10.4,-3.2,-14.4,0.0,-12.0,0.0,93.6,21.6,-12.0,6.4,115.2,-18.4,9.6,-53.6,25.6,8.8,2.4,10.4,0.0,-58.4,-27.2,-4.8,4.0,50.4,0.0,35.2,32.8,12.8,-28.0,-19.2
3,-6.4,12.0,-50.4,-32.0,36.8,18.4,-6.4,27.2,20.0,0.0,11.2,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,4.0,19.33,25.33,0.67,1.33,4.67,-1.33,4.67,8.67,20.0,-2.0,-4.0,26.67,9.33,12.0,36.0,43.33,24.0,16.67,9.33,9.33,-8.0,4.67,-20.67,-39.33,14.0,-21.33,-20.67,-12.0,0.0,4.67,0.0,3.33,15.33,3.33
5,-1.14,1.71,4.0,-2.29,4.0,3.43,4.0,5.14,1.14,2.29,2.29,14.86,-20.0,-6.86,24.57,6.86,57.14,-7.43,44.0,52.57,20.0,-38.86,-0.57,-6.29,0.0,-33.14,-56.0,-33.71,3.43,-2.86,0.0,-41.71,-4.57,8.57,-5.14,1.71
6,-5.33,-9.33,-6.67,-5.33,-40.0,-9.33,-2.67,-4.0,-17.33,96.0,128.0,58.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-18.0,-10.0,-18.0,-28.0,-61.0,-18.0,-28.0,-82.0,-33.0,17.0,42.0,39.0,83.0,16.0,-28.0,-35.0,31.0,30.0,43.0,-12.0,-13.0,-6.0,-48.0,-17.0,-43.0,-75.0,168.0,-68.0,-37.0,15.0,260.0,56.0,71.0,2.0,0.0,-32.0
8,3.2,5.6,-12.8,-2.4,-4.8,2.4,-3.2,-6.4,-5.6,-8.8,-8.8,-0.8,35.2,13.6,-0.8,14.4,31.2,6.4,-0.8,0.0,15.2,0.0,20.0,9.6,0.0,-2.4,5.6,0.0,0.0,0.0,-25.6,3.2,8.8,-2.4,-12.8,2.4
9,-0.8,-14.4,38.4,4.0,-19.2,-12.0,-4.8,-4.0,-11.2,0.0,29.6,1.6,-7.2,-1.6,1.6,4.0,11.2,4.8,21.6,4.0,-2.4,13.6,8.0,-4.0,-13.6,13.6,-19.2,-5.6,-3.2,-9.6,-0.8,2.4,7.2,-6.4,-1.6,-14.4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.67,-13.33,19.33,23.33,-18.67,-39.33,2.0,26.67,2.67,12.67,38.67,16.0,15.33,-3.33,-39.33,40.0,2.67,-14.0,-53.33,-15.33,-24.67,26.67,78.67,33.33
11,21.6,-12.8,-16.0,16.0,-42.4,11.2,22.4,1.6,28.8,-13.6,53.6,-47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-14.67,0.0,17.33,13.33,17.33,29.33,0.0,32.0,29.33,48.0,-132.0,-13.33,88.0,-42.67,-60.0,-20.0,36.0,-46.67,-17.33,28.0,16.0,4.0,30.67,24.0,0.0,224.0,0.0,57.33,64.0,44.0,0.0,52.0,61.33,9.33,0.0,-34.67
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-1.0,8.0,0.0,10.0,-21.0,-39.0,-59.0,-2.0,2.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-10.4,0.8,-35.2,0.0,17.6,0.8,-1.6,4.0,-2.4,0.0,5.6,0.8,-14.4,3.2,-6.4,4.8,4.8,10.4,-5.6,8.0,2.4,-2.4,12.0,-0.8,4.0,-14.4,1.6,1.6,-11.2,9.6,0.0,7.2,-1.6,-11.2,-16.8,0.8
15,-0.8,-2.4,-12.8,3.2,0.8,-1.6,1.6,-5.6,0.8,3.2,7.2,-7.2,-12.0,-20.8,31.2,-18.4,9.6,-16.8,39.2,20.0,-8.0,11.2,27.2,-7.2,0.0,-63.2,-32.8,-12.8,20.8,28.0,0.0,-69.6,-32.8,8.8,19.2,8.0
16,8.0,-5.6,-16.8,-4.0,-8.8,-16.0,8.0,-24.8,-18.4,10.4,72.8,-45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-20.0,-34.67,65.33,-52.0,-20.0,21.33,-32.0,-56.0,-61.33,1.33,20.0,80.0,70.67,22.67,-74.67,-10.67,5.33,-28.0,-40.0,20.0,-28.0,14.67,-10.67,-17.33,-74.67,-153.33,125.33,-73.33,-21.33,62.67,330.67,77.33,88.0,21.33,0.0,-128.0
18,2.4,0.0,-61.6,-16.0,43.2,10.4,0.0,-8.8,4.8,0.0,0.0,0.0,0.0,-25.6,4.0,11.2,12.0,-17.6,-18.4,-7.2,14.4,24.8,28.0,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,7.0,8.0,-14.0,15.0,11.0,3.0,-14.0,-4.0,4.0,0.0,2.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,0.0,9.0,-13.0,-2.0,0.0,24.0,-5.0,21.0,-81.0,43.0
20,24.0,0.0,72.8,27.2,-29.6,-19.2,8.0,20.0,-13.6,0.0,0.0,-0.8,-3.2,24.8,4.0,-12.0,-55.2,-0.8,32.0,16.8,-12.0,8.8,-16.0,0.8,-13.6,2.4,43.2,-8.0,-57.6,-20.0,43.2,-29.6,14.4,-2.4,52.8,-6.4
21,0.0,3.2,4.8,-12.8,-1.6,1.6,0.0,0.8,9.6,0.0,-28.8,15.2,-4.8,-44.0,3.2,-12.0,0.0,8.0,0.0,-8.0,0.8,1.6,2.4,-10.4,0.0,16.8,-4.0,8.0,1.6,-20.0,3.2,-10.4,-11.2,-2.4,11.2,7.2
22,16.57,-1.71,37.71,-34.86,-14.29,1.71,-22.86,8.57,10.29,0.0,-22.86,42.29,0.0,-39.43,9.71,21.14,7.43,-36.0,32.0,16.0,0.0,-23.43,-5.14,-15.43,0.0,52.57,-56.0,-14.29,10.29,13.14,0.0,-14.86,21.71,-6.29,-9.14,26.86
23,0.0,0.0,12.0,4.0,2.67,-2.0,-2.67,0.0,0.0,-18.0,4.67,0.0,5.33,14.67,-2.0,6.67,-30.0,-38.67,-58.0,34.0,-2.67,2.67,8.67,-12.0,26.0,-2.67,53.33,18.0,-22.67,-8.0,0.0,36.67,-0.67,0.67,0.0,-21.33
