time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.47,-0.38,0.38,0.56,-0.19,-0.05,-0.85,-0.71,0.09,-1.18,-3.39,-1.04,0.0,-0.19,0.19,0.0,0.0,-0.24,-0.14,0.09,0.38,-0.38,-0.19,-0.09,0.14,0.0,0.0,0.28,0.05,0.24,-2.68,0.33,0.71,-0.28,1.13,0.19
1,-0.32,-0.05,1.11,0.0,0.42,-0.05,-0.21,0.53,0.05,0.37,-0.32,-0.32,0.74,0.89,0.32,0.0,0.0,0.89,-2.11,-1.21,-2.26,1.37,0.32,0.21,0.11,0.32,0.0,0.11,1.84,0.32,0.0,0.58,-0.26,0.16,-1.16,0.58
2,-1.01,-0.2,-0.65,0.08,0.12,0.08,-0.16,-0.2,0.12,0.48,-0.65,-0.93,-0.12,0.0,-0.16,-0.16,-0.2,0.12,-0.48,-0.44,-0.16,0.65,-0.12,0.16,-0.4,-0.16,0.0,0.32,0.24,0.53,0.0,-0.2,-0.85,-0.53,-0.24,-0.32
3,0.5,-0.18,0.5,0.68,0.14,-0.05,-0.45,0.0,-0.05,0.0,0.0,1.55,-0.18,-0.18,-0.18,-0.23,-2.0,0.0,2.86,0.32,0.82,0.5,-0.18,-0.09,0.45,0.09,0.14,-0.14,0.32,-0.36,0.0,-0.32,-0.05,0.36,-0.5,0.09
4,1.12,0.1,-0.78,0.93,-0.54,0.39,-0.63,-0.68,-1.07,0.0,0.39,2.34,-0.15,-0.05,-0.44,-0.1,-1.76,0.24,0.24,0.15,0.15,-1.46,-0.73,-0.98,0.0,-0.1,-1.41,-0.29,-0.98,-0.73,0.0,-0.49,-3.17,-0.24,-1.02,-0.1
5,0.18,0.04,-0.09,-0.09,0.0,0.0,0.04,-0.09,-0.36,0.0,-0.18,-0.44,-0.58,-0.09,-0.49,-0.31,-4.8,-0.84,-1.33,-0.04,1.24,0.71,-0.18,-0.04,0.0,-4.93,-2.98,1.38,2.44,0.44,0.0,0.67,0.58,1.11,1.07,1.07
6,-0.97,-0.41,-0.51,-1.54,0.15,0.0,-0.05,0.97,0.31,0.0,0.67,1.85,0.46,-0.87,-0.05,-0.21,-0.05,-0.46,0.15,-0.41,-0.21,0.0,0.26,-0.15,0.1,0.51,0.67,-0.21,-1.23,-0.15,1.64,1.49,2.15,0.1,0.62,-0.46
7,-0.49,-0.22,0.0,1.29,-0.22,0.71,0.31,0.44,-0.22,0.0,1.78,1.07,1.47,1.91,0.93,0.89,3.91,-0.36,0.4,0.44,0.13,0.0,0.53,0.89,-0.36,-2.04,0.58,-0.58,-1.6,-0.49,5.38,0.44,-2.89,1.02,-0.89,0.76
8,-0.09,-0.09,0.0,0.32,0.41,0.14,-0.09,0.18,0.28,0.0,0.05,-0.05,0.0,1.43,0.41,0.92,1.43,-0.09,-0.51,-0.41,0.51,-0.6,0.41,0.09,0.32,0.55,-1.1,0.46,0.23,0.23,1.15,0.32,-0.83,0.41,0.46,0.14
9,0.78,-0.1,0.0,-0.59,0.2,-0.24,-0.24,0.2,0.2,0.0,-1.22,0.1,0.0,-0.63,-0.44,-0.2,-1.76,-0.24,-2.59,-0.68,-0.29,0.29,-0.2,-0.59,1.46,0.44,1.66,0.68,0.49,0.34,-1.41,-0.2,1.12,-0.39,0.29,0.15
10,0.1,0.3,0.35,-0.05,-0.2,-0.05,0.0,0.05,0.1,-0.1,-0.91,-0.56,-0.1,-0.86,-0.05,0.3,1.47,0.3,0.05,0.35,-0.41,-0.15,0.0,-0.15,0.0,5.11,4.66,2.94,4.46,1.52,-1.67,-1.87,2.63,-1.82,0.41,-0.35
11,0.13,-1.09,-2.91,-0.48,-0.48,-0.3,-0.57,-1.3,-0.09,-2.83,-3.87,-0.74,-1.22,-1.22,-1.39,-1.0,-1.78,0.52,-2.17,-2.43,-1.17,-0.7,-0.26,0.39,0.39,-0.04,0.0,0.17,0.09,-0.22,0.0,0.48,1.39,-0.09,-0.39,0.35
12,-0.35,-0.74,-1.26,0.35,-1.52,-0.78,0.04,0.87,0.0,-1.65,-1.3,-2.52,0.87,1.04,-0.48,-0.3,-5.87,-0.13,-3.3,-1.39,-2.48,0.43,0.7,-0.22,-0.74,0.35,0.0,-1.83,-1.09,-0.96,0.0,0.26,2.3,0.35,-0.91,0.52
13,-0.2,-0.15,0.25,0.15,-0.1,0.3,0.1,0.1,0.15,-0.46,0.91,-0.71,0.25,0.25,0.0,0.2,-0.46,0.15,0.15,0.3,0.56,0.15,0.25,0.0,-0.76,-0.3,0.0,0.81,-0.51,0.61,0.0,3.09,0.46,0.25,1.37,-0.2
14,0.25,0.25,1.52,-0.56,-0.05,0.81,0.86,0.61,0.66,-0.1,2.13,0.56,0.46,0.56,0.2,0.56,-1.11,0.05,0.3,1.11,0.2,-0.51,0.35,-0.25,0.1,-0.15,0.35,0.15,0.76,0.3,0.0,0.3,-1.37,-0.35,0.56,-0.05
15,2.22,1.09,0.43,1.09,1.22,0.7,-0.48,0.35,0.0,1.78,-0.35,1.39,-0.13,0.22,0.0,-0.26,0.61,-0.04,0.13,0.0,-0.17,-0.52,0.22,-0.3,0.83,0.26,0.0,-0.39,0.22,-0.13,0.0,-2.17,0.96,0.35,0.04,-0.13
16,0.0,0.0,-0.2,-0.15,-0.1,0.2,-0.3,-0.45,-0.15,0.0,0.05,0.35,-0.65,-1.35,0.05,1.35,1.7,-0.35,1.2,2.2,1.0,-0.8,-1.25,-0.25,1.95,0.45,-0.45,0.4,-0.95,-0.6,0.0,-3.5,-1.5,0.0,0.45,0.7
17,0.64,-0.4,-2.2,-0.52,-0.2,0.92,0.12,-0.44,-0.04,-0.92,1.84,2.64,0.28,0.32,-0.6,-1.32,0.0,-0.44,-2.08,-0.56,0.08,-1.16,-1.28,0.12,0.0,-4.12,-7.4,0.64,-1.44,-0.36,0.36,0.68,-3.2,1.28,1.0,0.88
18,0.21,-0.64,0.0,0.27,0.16,-0.27,0.11,-0.16,-0.69,-0.16,0.48,-0.05,0.32,0.27,0.0,0.0,0.91,0.05,0.69,0.64,0.27,0.96,0.05,-0.21,-0.85,-0.53,0.0,-1.07,-0.37,-0.37,-0.75,0.27,0.48,0.27,-1.12,0.32
