time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,15.2,0.8,0.0,-1.6,11.2,1.6,-5.6,-3.2,-5.6,-5.6,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-8.0,7.0,0.0,0.0,-20.0,2.0,-8.0,-9.0,-8.0,18.0,3.0,-9.0,-2.0,-4.0,-1.0,0.0,-45.0,0.0,22.0,-11.0,8.0,0.0,-11.0,2.0,-13.0,3.0,-13.0,11.0,-6.0,0.0,-1.0,0.0,0.0,10.0,1.0,0.0
2,-12.0,26.67,0.0,-2.67,-20.0,6.67,0.0,0.0,-1.33,0.0,0.0,48.0,8.0,-13.33,5.33,-10.67,-32.0,9.33,-2.67,-16.0,-9.33,0.0,-20.0,-6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-21.6,4.8,-44.0,-1.6,7.2,-4.8,5.6,21.6,0.8,-5.6,6.4,-13.6,-4.0,2.4,-0.8,0.8,-4.8,-0.8,4.0,10.4,-12.8,0.0,-9.6,-4.8,7.2,-6.4,12.8,-2.4,4.0,0.0,1.6,0.0,0.0,-8.8,-16.8,0.8
4,-15.2,-28.8,0.0,-26.4,-64.0,-20.8,3.2,4.0,15.2,1.6,64.8,62.4,20.0,27.2,23.2,44.8,32.8,-3.2,25.6,8.8,14.4,0.0,32.8,38.4,5.6,0.8,-29.6,-21.6,-30.4,0.0,28.8,0.0,0.0,-9.6,-1.6,20.8
5,0.0,-1.0,18.0,4.0,-7.0,6.0,-3.0,5.0,5.0,3.0,3.0,1.0,-2.0,1.0,26.0,1.0,18.0,14.0,13.0,-12.0,8.0,0.0,16.0,7.0,0.0,-29.0,23.0,-26.0,26.0,0.0,24.0,0.0,0.0,-19.0,54.0,29.0
6,0.0,-4.0,80.0,4.0,-52.0,-4.0,-16.0,-12.0,1.33,32.0,-14.67,-4.0,-6.67,1.33,5.33,40.0,-4.0,16.0,16.0,5.33,25.33,0.0,20.0,-14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,56.0,53.0,25.0,24.0,-30.0,47.0,-10.0,-33.0,-11.0,0.0,-111.0,0.0,0.0,-33.0,-93.0,-93.0,-50.0,18.0,-24.0,-27.0,-57.0,0.0,-78.0,0.0,0.0,44.0,-28.0,43.0,-8.0,0.0,0.0,0.0,0.0,16.0,-7.0,-30.0
8,8.0,13.0,-44.0,-11.0,75.0,28.0,3.0,-28.0,23.0,0.0,63.0,19.0,-3.0,1.0,-2.0,13.0,2.0,-30.0,-1.0,1.0,3.0,0.0,-14.0,0.0,0.0,-77.0,-34.0,-27.0,32.0,-89.0,13.0,169.0,-123.0,20.0,64.0,14.0
9,6.0,8.0,-10.0,-6.0,64.0,13.0,-7.0,4.0,8.0,0.0,4.0,12.0,-1.0,-23.0,32.0,56.0,41.0,-8.0,25.0,39.0,14.0,0.0,1.0,9.0,0.0,-4.0,-50.0,11.0,-25.0,42.0,77.0,0.0,91.0,-3.0,53.0,44.0
