time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,0.67,-0.12,0.12,-0.46,-1.29,-0.62,0.58,0.58,-0.08,-0.67,-3.58,-2.25,-0.12,0.17,0.58,-0.29,0.46,-0.29,-0.21,-0.12,0.21,-0.25,-0.04,0.08,-0.21,0.12,0.25,-0.21,0.08,0.33,-0.21,0.0,-0.62,0.21,0.29,-0.21
1,-0.14,0.19,0.09,-0.37,-0.28,-0.42,0.05,-0.05,0.0,0.0,-0.56,0.05,-2.23,-4.0,-2.51,-1.91,-5.26,-1.3,-1.07,-2.51,0.47,0.98,0.0,-0.88,-1.81,-1.21,-2.6,-0.05,-1.12,-0.33,-2.74,-1.07,-0.84,1.72,1.02,-1.07
2,-0.62,-0.09,-0.4,0.13,-0.53,-1.32,1.32,1.01,0.0,0.0,-0.18,-0.26,-3.03,-0.48,-0.22,-0.31,0.0,-1.8,-0.22,-2.81,-0.09,0.31,0.44,1.71,-1.41,0.79,1.8,1.98,2.73,1.27,-2.51,-2.42,0.84,-0.22,-1.76,-0.79
3,-0.91,-0.69,0.64,-0.59,-0.75,-0.21,-0.11,0.21,0.11,0.0,1.49,0.96,0.11,-0.21,0.0,0.05,1.07,-0.27,2.4,0.11,0.0,0.0,0.27,0.16,2.51,0.64,2.19,0.64,0.05,0.43,-1.07,0.05,0.85,-0.05,-1.87,0.59
4,-1.0,0.63,0.16,2.26,1.58,0.21,-0.05,-1.0,0.53,0.0,0.95,0.11,0.79,-0.16,1.79,0.05,0.58,0.53,-0.42,0.0,-0.68,0.0,-1.89,-1.26,0.0,3.32,0.0,-2.32,1.58,0.16,-5.32,-0.63,1.26,-1.37,-1.21,-0.68
5,0.4,0.67,2.07,1.48,3.33,0.9,-0.27,0.13,-0.27,0.99,-0.76,-2.43,1.98,2.07,0.04,-0.4,-1.21,0.4,-0.22,-1.98,-1.08,1.44,0.72,0.27,0.0,-0.18,0.0,0.0,0.31,0.13,-0.31,-0.13,-0.4,-0.45,-0.31,-0.36
6,0.1,-0.1,-0.67,0.77,1.44,1.74,0.51,1.18,0.36,3.28,2.26,4.21,0.56,0.05,-0.05,-0.62,0.31,2.1,-4.0,1.03,0.72,-0.1,0.31,0.15,2.97,0.15,0.0,0.36,0.46,-0.26,8.31,3.33,2.56,0.31,2.1,0.56
7,-0.17,-1.08,-0.56,0.65,0.0,-0.04,-0.6,-0.04,-0.3,1.89,-1.42,-3.53,-0.13,1.63,-0.22,1.29,0.6,-0.22,-1.38,0.52,0.6,0.0,1.25,0.52,2.62,0.86,2.49,1.08,3.35,0.9,4.86,1.98,-0.86,0.26,0.86,1.12
8,0.0,-0.61,-0.04,-1.7,-0.87,-0.91,-0.09,1.22,0.61,-1.3,-0.22,-2.61,0.52,0.04,-0.26,-0.3,-0.48,0.09,-0.04,-0.13,-0.39,0.35,-0.35,0.09,0.0,0.13,-0.78,-0.35,-0.17,-0.35,1.17,0.39,0.0,0.04,0.04,0.13
9,0.89,0.38,0.33,-0.09,-1.04,0.71,0.47,0.05,-0.19,0.85,0.14,0.19,0.0,1.36,0.52,0.47,0.99,0.8,0.33,1.27,0.14,0.0,0.71,0.28,0.0,-0.66,0.24,0.0,-1.08,0.38,0.09,-0.19,0.71,0.24,-0.33,-0.14
10,0.0,0.3,0.0,0.04,-0.22,-0.22,-0.13,0.0,-0.17,0.0,0.17,1.25,0.0,0.26,0.73,-0.17,0.9,0.09,0.3,0.99,0.39,0.0,-0.47,-0.26,-0.69,-0.65,-2.88,-0.34,-0.52,-0.6,0.69,-0.34,1.55,0.17,0.82,0.6
11,0.55,0.33,1.75,1.26,1.1,1.1,-0.38,-0.6,0.05,0.0,0.49,1.15,0.0,-0.6,0.71,0.55,-1.26,0.55,5.42,1.21,1.04,-0.82,-0.66,0.22,-0.82,-0.38,0.0,-0.66,0.33,-0.16,-1.81,0.16,-0.22,0.22,0.33,-0.11
12,0.08,0.24,-0.32,-0.64,-0.4,-0.8,-0.36,-0.08,0.0,-0.64,-0.12,1.4,-0.16,-3.0,-0.88,-0.32,-0.52,0.0,2.12,1.88,2.76,-1.72,-0.8,-0.32,-2.8,-2.44,0.0,-0.52,-0.92,-0.64,-2.12,-2.28,-1.32,-0.88,-0.64,-0.6
13,0.09,0.0,-0.52,0.05,-0.05,-0.33,-0.05,-0.19,0.0,0.52,-0.71,-0.33,-4.75,-2.68,-0.09,-0.89,2.4,-1.32,2.59,0.0,-1.41,-1.41,-0.66,-2.31,0.0,-0.05,0.0,0.05,-0.56,-0.05,-1.51,-0.52,-0.8,0.14,0.09,-0.05
14,-1.87,-0.81,-2.58,-1.77,-2.63,-1.57,0.15,0.0,0.1,0.0,1.37,-2.08,-2.08,-1.27,0.2,-0.1,0.96,-0.61,1.01,1.52,-1.27,-0.76,-0.61,-0.3,0.0,-0.76,0.25,-1.52,-0.3,-0.91,-6.33,-2.03,1.32,0.41,-1.06,1.01
15,0.32,-0.23,-1.91,-0.55,-0.5,0.23,0.09,0.27,-0.05,0.0,0.77,-0.09,0.0,-3.5,-0.14,0.95,1.86,-0.73,0.73,0.14,0.09,0.0,0.64,0.23,-0.86,-5.82,1.77,2.86,-2.55,-0.82,5.95,1.86,-2.09,0.14,-1.5,-0.41
16,-0.21,-0.05,0.37,0.21,-0.47,0.11,0.0,0.32,0.11,0.0,-0.32,-0.58,0.68,1.74,-2.21,-1.63,0.0,1.21,-2.58,-1.37,-0.79,0.0,0.32,-0.05,0.53,-0.42,-0.32,0.53,-0.89,-0.47,1.05,0.32,1.21,0.37,0.11,0.47
17,1.26,0.84,-0.26,0.89,-0.11,-0.16,-1.05,-1.21,-0.58,0.0,-0.21,-1.84,0.0,2.32,-0.42,1.47,0.0,0.26,-1.95,0.11,-0.16,0.0,-1.37,0.74,2.74,3.53,1.68,-1.32,-1.0,-0.84,6.53,3.63,2.53,0.37,1.74,1.74
18,0.05,0.25,-0.49,0.3,0.74,0.2,0.05,0.05,0.69,0.0,0.35,0.59,0.64,0.84,0.64,-0.2,5.48,-0.44,1.43,0.2,0.05,-0.15,0.0,-0.15,0.59,0.94,0.05,0.15,0.74,0.35,-0.54,0.2,-1.48,0.15,0.15,0.0
19,-1.33,0.0,1.04,1.33,1.68,1.14,-0.54,-0.35,0.15,0.0,1.28,1.23,0.59,0.79,0.89,1.78,1.63,0.89,-1.23,-0.74,-0.2,0.0,1.63,2.22,2.91,1.93,-0.2,0.74,2.52,1.98,0.69,-0.1,0.05,0.3,1.53,1.33
20,0.05,0.5,0.59,-1.18,0.27,-0.05,0.64,0.18,0.09,0.0,-0.41,0.0,0.0,-0.5,-0.41,-0.05,-1.32,0.05,0.05,0.0,-0.27,0.0,0.0,0.14,-1.0,-1.59,-0.95,1.91,-1.27,0.09,-0.18,-0.14,0.45,0.05,0.45,-0.82
