time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-18.29,-21.71,-6.86,-21.71,39.43,4.0,4.57,6.29,16.57,0.0,28.57,9.71,19.43,14.86,10.29,20.0,0.0,-18.29,2.29,6.86,9.71,0.0,12.57,1.14,0.0,-9.14,-10.29,-8.0,8.0,1.14,-5.71,-28.0,-27.43,0.0,-28.57,-15.43
1,55.2,15.2,55.2,-22.4,-12.0,9.6,-3.2,44.8,17.6,0.0,23.2,1.6,0.0,4.0,2.4,-7.2,0.0,-1.6,-3.2,0.0,12.8,0.0,11.2,-9.6,4.8,1.6,7.2,4.0,-10.4,13.6,-5.6,-4.0,1.6,0.0,-7.2,-4.0
2,96.8,16.0,125.6,0.0,-6.4,23.2,-0.8,35.2,20.0,62.4,69.6,16.0,56.8,43.2,11.2,0.0,0.0,-8.0,64.0,-3.2,-30.4,0.0,4.8,4.8,-35.2,43.2,76.0,39.2,23.2,20.0,34.4,43.2,19.2,0.0,34.4,7.2
3,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.29,0.0,-1.14,-4.0,-15.43,-17.14,11.43,-15.43,-6.29,-13.71,-20.57,0.0,5.71,-13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.33,4.67,-10.67,2.67,2.67,8.0,-4.0,-13.33,-6.67,8.0,-16.0,-5.33,-4.0,-9.33,0.0,1.33,0.0,0.0,-20.67,0.0,0.0,0.0,6.67,10.67,2.67,14.67,26.67,-20.0,-9.33,3.33,-1.33,8.67,-3.33,0.0,52.67,-4.0
5,-32.0,-6.29,18.29,47.43,47.43,13.71,5.14,-0.57,17.14,0.0,-6.86,10.86,0.0,-2.29,14.29,-6.86,27.43,38.29,-5.14,6.86,52.57,0.0,0.0,2.29,0.0,-1.71,4.0,-4.0,-13.71,12.0,5.71,-8.57,-13.14,0.0,-27.43,-6.29
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,-35.0,-21.0,-27.0,0.0,27.0,-17.0,-30.0,-84.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-2.4,56.8,-36.0,-7.2,-6.4,-58.4,0.0,18.4,35.2,0.0,-11.2,121.6,0.0,99.2,83.2,-2.4,-19.2,-77.6,92.8,56.8,-48.0,0.0,53.6,15.2,0.0,-20.0,0.0,45.6,56.0,87.2,23.2,0.0,10.4,0.0,-15.2,-14.4
8,2.4,-64.8,-9.6,8.8,0.0,2.4,-17.6,-70.4,-64.0,0.0,-57.6,-152.0,0.0,-13.6,-1.6,2.4,7.2,20.0,4.0,-13.6,-7.2,0.0,-4.0,-24.8,13.6,31.2,4.0,-56.8,-120.0,-47.2,-21.6,67.2,-4.0,0.0,-81.6,0.0
9,8.5,9.0,8.0,3.0,36.0,0.0,9.0,4.5,9.5,0.0,0.5,7.5,-8.5,9.0,-51.5,-96.5,-66.0,1.0,42.5,-23.5,-59.5,0.0,7.5,22.5,-17.0,-2.5,35.5,61.5,30.0,7.5,1.0,30.0,38.5,0.0,33.0,11.0
10,45.6,29.6,-18.4,-59.2,-24.8,-41.6,1.6,24.8,-1.6,0.0,-11.2,-40.0,4.0,8.0,-14.4,-0.8,-32.0,-30.4,17.6,-8.8,8.8,0.0,9.6,-40.8,0.0,11.2,-64.8,-27.2,-28.8,-39.2,-20.0,-46.4,-36.8,0.0,-35.2,-42.4
11,-5.0,15.0,-10.0,3.0,0.0,13.0,-1.0,7.0,9.0,0.0,3.0,-13.0,0.0,1.0,1.0,-6.0,36.0,-3.0,-11.0,5.0,21.0,0.0,-21.0,10.0,0.0,-16.0,0.0,-39.0,-5.0,-2.0,31.0,10.0,-8.0,0.0,-14.0,-22.0
12,-16.67,-41.33,-28.0,20.67,0.0,-1.33,8.67,27.33,14.67,0.0,-10.67,34.0,1.33,2.0,12.67,-9.33,-58.0,12.0,0.0,13.33,-2.0,0.0,24.0,12.67,-14.0,-18.67,13.33,-2.0,10.0,41.33,-0.67,34.0,22.0,0.0,-2.67,27.33
13,-27.33,28.0,7.33,11.33,-58.67,-42.67,-21.33,-50.0,-5.33,0.0,14.67,76.67,0.0,8.0,51.33,12.0,-10.67,-66.0,-24.0,43.33,31.33,0.0,-24.67,6.67,0.0,1.33,-22.67,4.67,-4.67,0.67,4.0,-58.0,-58.67,0.0,-2.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.2,-2.4,-14.4,-13.6,1.6,4.0,-5.6,0.0,33.6,-6.4,-60.8,32.8,-76.0,22.4,40.8,-28.8,11.2,24.0,-86.4,0.0,26.4,0.0
15,17.14,24.0,-4.57,35.43,0.0,30.86,18.86,79.43,42.29,0.0,-1.14,-50.29,0.0,32.57,-22.29,-19.43,9.14,24.0,1.14,-37.14,-1.71,0.0,-2.29,18.86,46.29,5.71,85.71,22.86,-4.0,6.86,16.57,-2.86,36.0,0.0,12.0,13.71
16,69.0,26.0,9.0,-58.0,0.0,4.0,16.0,43.0,10.0,0.0,33.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
