time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-3.0,-3.0,-1.5,0.5,-0.5,-2.0,6.0,2.0,-5.5,8.5,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,5.0,0.5,0.0,0.0,2.0,0.5,2.5,-1.0
1,-6.86,0.57,-5.14,1.71,0.0,5.71,2.86,0.57,5.14,-26.29,6.29,-10.29,6.29,-5.14,5.14,4.57,0.0,2.29,9.71,0.0,-0.57,0.0,8.0,7.43,1.14,5.14,12.0,0.0,1.71,2.86,8.57,-0.57,1.14,-4.0,-1.14,0.57
2,-0.67,0.0,0.0,-10.67,12.67,9.33,-12.67,-4.67,0.0,0.0,-2.0,5.33,3.33,-27.33,10.0,-21.33,0.0,54.0,0.67,22.0,2.67,-19.33,15.33,-11.33,-2.0,-4.0,7.33,0.67,-8.67,-3.33,-10.0,-7.33,16.67,-3.33,-1.33,-6.0
3,8.0,-4.0,-42.67,-2.67,10.67,-2.0,-25.33,-1.33,9.33,0.0,-10.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.33,-1.33,0.0,0.0
4,-4.57,-15.43,-13.14,-34.29,-12.0,14.86,-9.71,-21.71,-2.86,33.71,-25.14,-64.0,2.29,-18.29,-25.71,25.71,0.0,-38.29,-28.57,5.14,9.71,0.0,35.43,-16.57,-4.57,-13.71,-8.57,-17.14,10.29,14.86,17.71,4.57,-14.86,3.43,5.14,9.14
5,3.43,4.57,21.14,1.14,-0.57,0.57,2.29,-1.14,-0.57,1.71,1.71,12.57,7.43,12.57,24.0,13.14,0.0,24.57,12.57,30.29,8.57,0.0,-20.0,4.0,3.43,9.14,10.86,12.57,-0.57,2.29,-15.43,-1.14,12.57,0.57,0.0,0.57
6,8.67,16.67,18.67,3.33,-4.67,8.67,4.0,3.33,4.0,-1.33,4.67,-6.67,2.67,0.0,10.67,2.0,0.0,14.0,-22.0,7.33,0.0,0.0,0.67,-8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
7,-3.33,2.0,13.33,2.67,19.33,8.0,-2.0,6.0,6.67,2.0,-2.0,8.0,10.0,-2.67,14.67,1.33,0.0,-3.33,18.67,6.67,-7.33,0.0,8.67,13.33,0.0,4.67,3.33,12.0,6.0,5.33,10.67,0.0,2.67,4.67,10.0,15.33
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,-6.0,-8.0,0.0,-41.0,57.0,12.0,-4.0,0.0,-30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-6.86,-6.29,5.14,-1.14,37.71,-11.43,-2.86,1.71,5.71,-11.43,-3.43,-3.43,0.0,-7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-2.29,-3.43,-19.43,0.57,10.86,10.86,17.71,-1.14,-1.14,4.0,6.29,2.29
10,1.33,16.0,18.67,36.0,-4.67,-15.33,6.0,13.33,-10.0,0.0,27.33,0.0,1.33,-11.33,-17.33,12.0,-78.67,0.0,-27.33,3.33,-4.0,24.0,-14.67,-12.0,16.0,14.67,-5.33,6.0,2.0,-14.67,-17.33,-19.33,-24.67,14.0,0.0,-3.33
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.33,29.33,72.0,-33.33,0.0,9.33,-28.0,-1.33,1.33,-18.67,-72.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
