time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,1.0,-3.0,0.5,-0.5,-1.5,-3.5,0.0,-2.5,-1.5,0.0,-1.0,0.0,0.0,-6.5,6.0,3.0,8.0,-6.5,-12.5,-11.5,-1.0,0.0,-2.0,-4.5,2.0,-2.0,-1.5,2.5,4.5,4.5,-0.5,0.0,-1.5,4.0,-5.5,-1.0
1,6.67,-1.33,-8.0,-1.33,-4.0,0.0,-12.0,-2.67,-2.67,0.0,-1.33,0.0,-5.33,0.0,0.0,-2.67,-56.0,-6.67,-6.67,10.67,13.33,0.0,-29.33,-9.33,1.33,-4.0,-1.33,-6.67,2.67,-8.0,-2.67,-1.33,1.33,-36.0,2.67,2.67
2,-1.71,-1.71,-3.43,0.0,-4.57,0.57,-0.57,0.0,0.0,-3.43,5.14,18.86,-1.71,6.29,-5.14,1.14,20.0,17.14,-4.0,-16.0,4.57,0.0,9.71,13.14,5.71,-4.57,0.0,3.43,0.0,-1.71,-2.86,0.57,2.29,0.0,2.29,-4.57
3,3.33,-3.33,4.67,-0.67,6.0,2.67,1.33,2.0,-0.67,-2.0,-0.67,-25.33,-2.0,2.67,2.0,6.67,4.0,0.0,0.0,1.33,-8.0,0.0,-6.0,7.33,-3.33,0.0,10.67,-1.33,-2.67,3.33,-4.0,4.67,-2.0,0.0,1.33,-2.0
4,1.0,7.0,-1.0,-4.0,-8.0,0.0,-11.0,6.0,6.0,3.0,2.0,18.0,5.0,-9.0,-1.0,9.0,-23.0,-23.0,0.0,-13.0,15.0,0.0,26.0,-21.0,13.0,9.0,-52.0,0.0,-29.0,3.0,-5.0,-3.0,7.0,0.0,2.0,3.0
5,2.0,8.0,36.0,-6.67,0.0,5.33,12.0,-3.33,-10.0,0.0,0.0,0.0,-11.33,0.0,3.33,4.67,-18.0,0.0,0.0,2.67,-16.67,0.0,2.0,-4.0,-2.67,-5.33,-10.67,10.0,0.0,-6.0,2.67,-14.0,-8.0,0.0,2.67,-6.67
6,-1.33,1.33,12.67,-4.0,-9.33,-1.33,-0.67,-2.67,-0.67,0.0,-2.67,4.0,-14.67,6.0,30.0,-42.67,62.0,-43.33,9.33,-0.67,-22.67,0.0,-28.67,14.67,2.0,8.67,13.33,-4.0,5.33,6.0,-0.67,-0.67,0.67,3.33,-0.67,1.33
7,-1.6,10.4,9.6,6.4,-4.8,1.6,8.0,1.6,0.0,0.0,5.6,-35.2,0.0,39.2,-22.4,40.8,-36.8,0.0,-56.0,-31.2,51.2,-9.6,0.8,6.4,8.8,24.0,8.8,-29.6,22.4,13.6,8.8,18.4,-16.0,-16.8,-0.8,16.8
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.0,-16.0,-16.0,5.6,3.2,3.2,2.4,-15.2,0.0,-3.2,0.8
9,7.33,-4.67,3.33,-4.0,-19.33,4.67,-4.0,6.0,-5.33,0.0,11.33,-3.33,10.0,-1.33,-8.67,8.67,10.67,0.0,-10.67,-2.67,22.0,0.0,3.33,-2.0,-6.0,3.33,-5.33,-3.33,4.0,-6.67,-6.67,2.0,-6.0,0.0,2.0,-4.0
