time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-1.14,4.0,-1.14,1.14,3.43,0.57,-0.57,1.14,1.14,11.43,2.29,-9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.86,0.57,-8.57,-5.14,6.29,-4.57,6.29,-2.86,-5.14,1.14
1,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.86,0.0,0.0,1.71,2.29,1.14,-0.57,0.0,-16.0,-20.57,-23.43,1.14,0.0,-13.71,10.29,1.14,-4.57,1.71,-2.29,8.57,0.57,-7.43,-2.86,-9.71,0.57,6.86,-1.14
2,3.0,-2.0,-5.0,0.0,-2.0,5.0,0.0,-3.0,5.0,-12.0,-6.0,-10.0,-2.0,6.0,17.0,-1.0,0.0,-1.0,-24.0,-10.0,-13.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.89,4.44,4.89,0.89,6.67,1.78,3.11,-0.44,1.78,6.22,3.56,4.0,-5.78,4.89,-1.78,0.0,7.11,0.0,21.33,0.0,1.78,0.0,0.0,4.44,4.89,-0.89,0.44,-3.11,-9.33,-0.44,-5.78,-3.11,2.22,-3.11,0.89,-6.67
4,-3.2,-1.6,-12.8,11.2,-8.0,-1.6,-1.6,-0.8,-6.4,4.8,5.6,4.0,4.0,-11.2,0.0,8.8,8.8,0.0,-29.6,0.8,-4.0,0.0,10.4,-17.6,2.4,0.0,-14.4,4.0,28.0,-1.6,10.4,4.8,4.8,24.0,1.6,-0.8
5,1.6,-4.8,0.0,-0.8,0.8,-5.6,-0.8,0.0,3.2,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.4,0.0,0.0,0.0,1.6,0.0,-4.0,6.4,0.0,0.0,-3.2
6,-1.33,4.0,6.67,2.67,-15.33,-0.67,2.0,-2.0,-3.33,0.0,3.33,0.0,1.33,4.0,16.0,1.33,6.67,0.0,-5.33,36.0,22.67,0.0,23.33,-8.0,3.33,2.67,2.0,-1.33,6.67,0.0,-15.33,-6.67,2.67,2.67,5.33,0.0
7,-4.0,-4.67,-9.33,3.33,9.33,2.0,-0.67,-2.67,-0.67,-6.0,12.67,-6.67,-6.67,-3.33,-3.33,-2.67,30.67,0.0,22.67,-20.67,4.0,0.0,3.33,-4.0,2.0,-6.0,-1.33,-5.33,20.0,9.33,-8.67,-21.33,5.33,-6.0,10.67,-2.67
8,4.67,-3.33,1.33,-0.67,1.33,4.0,-2.67,0.67,0.67,-2.0,-4.0,-14.67,-15.33,-3.33,12.0,-9.33,8.67,0.0,0.0,14.67,2.0,0.0,8.0,20.67,-3.33,-4.67,-2.67,-1.33,14.0,2.67,2.67,-0.67,-10.0,-3.33,3.33,-3.33
9,-2.67,3.33,4.67,-1.33,6.67,2.0,-1.33,-2.0,-2.0,5.33,0.67,5.33,11.33,-6.67,-6.0,4.67,0.0,27.33,0.0,18.0,13.33,0.0,-10.67,-18.67,-3.33,-4.0,-0.67,2.0,0.0,2.67,-1.33,-2.0,3.33,2.67,1.33,2.67
