time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,14.67,1.33,-30.67,2.0,41.33,2.0,-18.67,0.67,-0.67,-37.33,3.33,10.0,-45.33,-22.0,-6.67,20.67,-18.67,10.0,18.67,12.0,-44.0,0.0,7.33,8.67,5.33,-4.0,13.33,-0.67,0.0,4.0,-9.33,6.0,12.0,0.0,10.0,-8.67
1,-1.6,2.4,40.0,-29.6,0.8,16.0,-29.6,-1.6,-0.8,32.0,-3.2,-37.6,4.0,-4.8,-10.4,-1.6,-27.2,0.0,8.8,0.0,4.8,0.0,16.0,5.6,-3.2,19.2,0.0,18.4,0.0,6.4,-46.4,-32.8,-5.6,14.4,14.4,24.0
2,-6.5,14.0,48.0,9.0,3.0,-8.0,22.0,21.5,-2.0,25.5,13.0,19.5,0.0,2.5,-11.5,5.5,41.5,3.5,-38.0,-23.0,29.5,0.0,-36.0,19.5,-28.5,-55.0,-15.0,-23.0,-28.0,-15.5,3.0,4.0,94.0,0.0,-23.0,0.0
3,0.0,1.14,-2.29,-0.57,-14.86,0.0,-3.43,-2.29,-1.71,14.86,1.14,-15.43,0.0,-1.14,6.86,-8.0,15.43,-13.71,14.86,25.71,1.14,0.0,26.29,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-2.0,-4.0,-6.0,-1.0,23.0,7.0,-8.0,10.0,2.0,-32.0,-8.0,4.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-16.0,-23.0,-4.0,-69.0,0.0,-19.0,10.0,15.0,-9.0,-45.0,28.0
5,0.8,-10.4,0.0,3.2,20.8,15.2,-10.4,-3.2,8.0,-14.4,4.8,54.4,0.0,-1.6,4.8,5.6,0.0,32.0,12.8,21.6,-8.0,0.0,16.8,-7.2,5.6,8.0,10.4,17.6,0.0,-8.0,4.0,-14.4,15.2,0.0,20.0,0.0
6,3.0,2.0,0.0,-2.0,7.0,1.0,2.0,0.0,2.0,0.0,-2.0,5.0,0.0,-40.0,-12.0,41.0,0.0,30.0,-2.0,66.0,-54.0,0.0,25.0,-16.0,7.0,-13.0,9.0,-4.0,-58.0,-1.0,-3.0,-7.0,-2.0,0.0,5.0,0.0
7,18.67,-22.67,-42.67,-8.0,-2.67,10.67,-10.67,-21.33,-6.67,16.0,-16.0,0.0,-84.0,4.0,32.0,-14.67,0.0,0.0,21.33,90.67,-6.67,0.0,40.0,-21.33,50.67,64.0,0.0,-9.33,0.0,44.0,17.33,34.67,-97.33,0.0,108.0,-5.33
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,-4.0,2.4,2.4,-16.8,0.0,-10.4,8.8,12.8,20.0,-4.8,28.0,-78.4,-0.8,8.0,47.2,-28.0,21.6,10.4,38.4
9,-11.33,-7.33,2.0,12.0,16.0,-4.67,4.67,3.33,18.0,-27.33,10.0,-22.67,46.67,-12.67,-58.67,-11.33,0.0,0.0,0.0,-34.67,35.33,0.0,-15.33,29.33,-38.0,-44.0,16.0,-60.67,-73.33,-2.0,10.67,-1.33,38.0,-10.0,-45.33,-9.33
