time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-9.33,-96.67,-20.67,-18.0,37.33,30.67,-44.0,-12.0,18.0,-13.33,-6.0,48.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,1.33,4.67,2.0,2.0,-0.67,-11.33,-4.0,-2.0,2.67,-1.33,2.67
1,-4.0,-17.0,-31.0,-3.0,-33.0,7.0,-16.0,-5.0,3.0,-12.0,6.0,-3.0,0.0,33.0,-3.0,19.0,6.0,0.0,48.0,16.0,-38.0,0.0,-3.0,-8.0,-28.0,-9.0,-14.0,12.0,-36.0,-42.0,58.0,25.0,11.0,-7.0,-18.0,-2.0
2,3.2,36.8,36.0,16.0,-142.4,-20.0,61.6,29.6,-19.2,59.2,-16.0,-6.4,-24.0,-8.8,26.4,-8.8,36.8,0.0,10.4,24.0,-1.6,0.0,-31.2,17.6,20.8,16.8,-8.0,7.2,32.8,11.2,-8.8,-12.8,3.2,-4.0,1.6,-4.0
3,0.0,27.0,54.5,-9.0,0.0,7.0,47.0,11.5,-18.5,11.0,0.0,-5.5,-6.5,11.0,12.5,-6.0,-9.0,4.0,0.0,0.0,-5.0,0.0,-12.5,-4.0,0.0,4.0,-14.5,4.0,4.0,-4.0,4.0,18.5,6.0,3.5,1.5,-2.5
4,-27.0,-34.0,-150.0,44.0,157.0,-30.0,-130.0,-28.0,72.0,-82.0,88.0,42.0,12.0,-7.0,-6.0,21.0,-65.0,19.0,0.0,7.0,7.0,0.0,47.0,-8.0,-10.0,-2.0,29.0,-12.0,-36.0,-10.0,12.0,15.0,14.0,-6.0,-4.0,21.0
5,9.0,29.0,14.0,3.0,-9.0,1.0,4.0,14.0,-6.0,40.0,7.0,-20.0,0.0,0.0,-16.0,-22.0,45.0,0.0,19.0,-71.0,8.0,0.0,-23.0,12.0,10.0,0.0,3.0,-9.0,6.0,5.0,-13.0,-5.0,25.0,-4.0,-2.0,3.0
6,10.67,0.0,30.67,29.33,-9.33,-34.67,58.67,30.67,-20.0,0.0,0.0,-69.33,0.0,12.0,2.67,-9.33,42.67,29.33,-28.0,18.67,-5.33,0.0,-40.0,0.0,8.0,9.33,-9.33,-22.67,12.0,40.0,-20.0,-21.33,-14.67,12.0,22.67,0.0
7,-6.86,-36.57,-48.57,-4.0,16.0,18.29,-29.71,-12.57,17.14,-24.0,-12.0,6.29,16.0,15.43,6.29,3.43,0.0,18.86,23.43,30.29,-18.29,0.0,38.29,-12.0,-11.43,5.14,-1.71,-3.43,-2.29,-6.29,25.14,6.86,10.86,9.71,-4.0,4.0
8,-17.0,-26.0,-15.0,-21.0,21.0,11.0,-50.0,-44.0,-8.0,-23.0,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.0,77.0,253.0,-16.0,-82.0,-4.0,56.0,22.0,-31.0,0.0,-21.0,0.0,2.0,2.0,37.0,-27.0,12.0,0.0,38.0,1.0,-45.0,0.0,-51.0,12.0,18.0,7.0,-14.0,-12.0,28.0,19.0,20.0,14.0,-16.0,9.0,4.0,-2.0
10,0.0,0.0,0.0,0.0,0.0,1.6,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-26.4,7.2,-52.0,0.0,0.0,-12.8,0.0,0.0,0.0,0.0,-20.0,-2.4,13.6,6.4,-34.4,-18.4,-14.4,-20.0,4.8,0.8,-7.2,4.8
11,-2.0,-19.33,-50.0,3.33,74.0,2.67,-26.0,-18.67,20.67,-56.0,22.67,36.67,18.0,8.67,-8.0,16.67,0.0,20.67,16.0,-11.33,-2.0,0.0,18.0,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,29.6,24.8,57.6,10.4,8.8,-7.2,8.8,26.4,-1.6,-10.4,24.8,-26.4,0.0,-12.0,6.4,-5.6,34.4,-39.2,40.0,-8.0,-2.4,0.0,-7.2,-16.8,29.6,5.6,1.6,-36.8,17.6,18.4,-40.8,-17.6,40.0,-7.2,16.0,0.0
13,-4.8,-6.4,10.4,1.6,3.2,1.6,0.0,-8.8,3.2,9.6,-1.6,-7.2,0.0,0.0,5.6,-1.6,-12.8,0.8,-32.0,0.8,-8.0,0.0,-23.2,-10.4,-1.6,17.6,12.8,11.2,-14.4,-20.0,-11.2,-4.8,-12.8,-4.0,-5.6,-2.4
14,-24.0,-5.33,-102.67,-5.33,24.0,20.0,-5.33,-26.67,2.67,-85.33,-9.33,72.0,0.0,-13.33,18.67,14.67,-9.33,-2.67,-14.67,73.33,8.0,0.0,44.0,-16.0,-1.33,-16.0,-13.33,-10.67,13.33,17.33,84.0,49.33,-13.33,4.0,0.0,-4.0
15,5.33,39.33,4.67,14.0,-61.33,-20.67,20.0,16.67,-7.33,4.67,5.33,-26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,19.33,1.33,6.67,6.0,4.0,-16.67,-8.0,-3.33,-5.33,-8.0,-2.67
16,-4.67,14.0,-20.67,-2.67,-4.67,-6.0,4.67,0.67,-5.33,-5.33,2.0,-4.0,-8.67,-7.33,9.33,-3.33,-2.67,0.0,0.0,-1.33,-2.67,0.0,-26.67,7.33,3.33,9.33,-20.67,-2.0,29.33,12.0,-21.33,-4.67,-4.67,0.67,14.0,0.67
17,8.8,-4.0,-6.4,10.4,14.4,-6.4,-34.4,-3.2,-1.6,4.0,16.0,8.0,2.4,-8.0,0.0,-5.6,15.2,0.0,14.4,-2.4,-4.0,0.0,7.2,-4.8,-0.8,4.8,11.2,-0.8,12.0,0.0,-5.6,-6.4,20.0,1.6,-0.8,8.8
18,-11.0,-3.0,1.0,1.0,19.0,7.0,-15.0,-1.0,14.0,20.0,6.0,0.0,-8.0,10.0,-16.0,4.0,13.0,54.0,-12.0,-4.0,-7.0,0.0,23.0,-1.0,3.0,8.0,0.0,3.0,-44.0,6.0,0.0,-3.0,-6.0,-1.0,2.0,-4.0
19,-38.4,-72.8,-41.6,-64.0,89.6,43.2,-22.4,-27.2,4.8,-25.6,-44.8,0.0,-5.6,-8.0,-1.6,-13.6,48.0,-26.4,-20.0,-34.4,-12.0,0.0,-30.4,6.4,-15.2,-18.4,-12.8,-23.2,1.6,-19.2,16.0,35.2,-1.6,7.2,-1.6,-1.6
20,15.0,79.0,57.0,51.0,-2.0,-4.0,20.0,47.0,-7.0,80.0,42.0,16.0,0.0,0.0,10.0,-15.0,-2.0,30.0,16.0,-35.0,-14.0,0.0,-84.0,-3.0,2.0,-6.0,-2.0,-8.0,8.0,6.0,-11.0,0.0,16.0,9.0,3.0,2.0
21,-0.8,21.6,21.6,0.0,0.0,0.0,13.6,5.6,-0.8,-3.2,5.6,10.4,2.4,1.6,-2.4,4.8,31.2,14.4,4.8,20.0,0.0,0.0,6.4,-2.4,-2.4,-4.8,-7.2,-8.0,17.6,9.6,27.2,-4.8,-24.8,8.0,12.0,6.4
22,-9.33,-4.0,-30.0,-2.67,8.0,27.33,-8.67,-23.33,14.67,-30.0,-39.33,-9.33,22.67,13.33,10.0,2.0,17.33,0.0,27.33,4.67,24.0,0.0,38.0,-8.67,7.33,-6.67,14.67,-7.33,37.33,-2.0,17.33,9.33,17.33,10.67,-7.33,-6.67
