time,id,channel,phase,rssi,antenna
2025-06-28T11:10:44.242394700,e2801160600002152d19b03e,28,1388,-5400,1
2025-06-28T11:10:44.242394700,e2801160600002152d19da5e,28,3672,-4800,1
2025-06-28T11:10:44.242394700,e2801160600002152d19b0de,28,2552,-6100,1
2025-06-28T11:10:44.242394700,e2801160600002152d19da1e,28,420,-4850,1
2025-06-28T11:10:44.242394700,e2801160600002152d19da3e,28,3292,-5200,1
2025-06-28T11:10:44.242394700,e2801160600002152d19da4e,28,1596,-5650,1
2025-06-28T11:10:44.242394700,e2801160600002152d19da2e,28,3276,-5100,1
2025-06-28T11:10:44.245394800,e2801160600002152d19b07e,28,3960,-6600,1
2025-06-28T11:10:44.245394800,e2801160600002152d19b0fe,28,1872,-4650,1
2025-06-28T11:10:44.245394800,e2801160600002152d19b0ce,28,3040,-5450,1
2025-06-28T11:10:44.245394800,e2801160600002152d19dace,28,852,-6500,1
2025-06-28T11:10:44.245394800,e2801160600002152d19b00e,28,4028,-5500,1
2025-06-28T11:10:44.245394800,e2801160600002152d19da2e,28,3280,-5100,1
2025-06-28T11:10:44.245394800,e2801160600002152d19da5e,28,3688,-4850,1
2025-06-28T11:10:44.245394800,e2801160600002152d19b03e,28,1384,-5400,1
2025-06-28T11:10:44.246390500,e2801160600002152d19b00e,28,4028,-5450,1
2025-06-28T11:10:44.246390500,e2801160600002152d19b0fe,28,1880,-4650,1
2025-06-28T11:10:44.246390500,e2801160600002152d19da1e,28,456,-4850,1
2025-06-28T11:10:44.246390500,e2801160600002152d19b07e,28,4016,-6550,1
2025-06-28T11:10:44.246390500,e2801160600002152d19da4e,28,1596,-5650,1
2025-06-28T11:10:44.246390500,e2801160600002152d19b0ce,28,3032,-5450,1
2025-06-28T11:10:44.246390500,e2801160600002152d19dace,28,876,-6550,1
2025-06-28T11:10:44.246390500,e2801160600002152d19da3e,28,3288,-5250,1
2025-06-28T11:10:44.246390500,e2801160600002152d19b0de,28,2496,-6050,1
2025-06-28T11:10:44.306606700,e2801160600002152d19da1e,28,992,-6100,2
2025-06-28T11:10:44.306606700,e2801160600002152d19dace,28,948,-5650,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da5e,28,396,-6300,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da3e,28,160,-5400,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b00e,28,924,-6650,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b0de,28,2376,-6300,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da4e,28,3344,-6550,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b0ce,28,124,-6050,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da3e,28,168,-5400,2
2025-06-28T11:10:44.306606700,e2801160600002152d19dace,28,1020,-5650,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b00e,28,1020,-6700,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da5e,28,196,-6300,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b0de,28,2356,-6300,2
2025-06-28T11:10:44.306606700,e2801160600002152d19b0ce,28,164,-6050,2
2025-06-28T11:10:44.306606700,e2801160600002152d19da1e,28,1028,-6100,2
2025-06-28T11:10:44.307508700,e2801160600002152d19da4e,28,3440,-6550,2
2025-06-28T11:10:44.307508700,e2801160600002152d19b0de,28,404,-5550,3
2025-06-28T11:10:44.307508700,e2801160600002152d19b0fe,28,3880,-5050,3
2025-06-28T11:10:44.307508700,e2801160600002152d19b07e,28,3728,-5800,3
2025-06-28T11:10:44.307508700,e2801160600002152d19da5e,28,288,-5450,3
2025-06-28T11:10:44.307508700,e2801160600002152d19da4e,28,3380,-5950,3
2025-06-28T11:10:44.307508700,e2801160600002152d19dace,28,644,-5150,3
2025-06-28T11:10:44.307508700,e2801160600002152d19b03e,28,3772,-5550,3
2025-06-28T11:10:44.307508700,e2801160600002152d19da3e,28,1460,-5600,3
2025-06-28T11:10:44.307508700,e2801160600002152d19da1e,28,344,-5800,3
2025-06-28T11:10:44.307508700,e2801160600002152d19b00e,28,1700,-6000,3
2025-06-28T11:10:44.307508700,e2801160600002152d19b0ce,28,704,-5800,3
2025-06-28T11:10:44.337204900,e2801160600002152d19da3e,28,1456,-5600,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b0fe,28,3852,-5050,3
2025-06-28T11:10:44.337204900,e2801160600002152d19dace,28,624,-5100,3
2025-06-28T11:10:44.337204900,e2801160600002152d19da4e,28,3408,-5950,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b0de,28,404,-5550,3
2025-06-28T11:10:44.337204900,e2801160600002152d19da1e,28,328,-5800,3
2025-06-28T11:10:44.337204900,e2801160600002152d19da5e,28,244,-5400,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b07e,28,3784,-5750,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b03e,28,3804,-5500,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b0ce,28,728,-5750,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b00e,28,1728,-6000,3
2025-06-28T11:10:44.337204900,e2801160600002152d19b00e,28,44,-5500,1
2025-06-28T11:10:44.337204900,e2801160600002152d19da4e,28,1424,-5700,1
2025-06-28T11:10:44.337204900,e2801160600002152d19b03e,28,1408,-5400,1
2025-06-28T11:10:44.338104500,e2801160600002152d19b0de,28,2304,-6000,1
2025-06-28T11:10:44.338104500,e2801160600002152d19b0ce,28,3028,-5500,1
2025-06-28T11:10:44.338104500,e2801160600002152d19da3e,28,3192,-5400,1
2025-06-28T11:10:44.338104500,e2801160600002152d19da2e,28,3244,-5100,1
2025-06-28T11:10:44.338104500,e2801160600002152d19da5e,28,3712,-4850,1
2025-06-28T11:10:44.338104500,e2801160600002152d19b0fe,28,1880,-4650,1
2025-06-28T11:10:44.338104500,e2801160600002152d19da1e,28,456,-4850,1
2025-06-28T11:10:44.338104500,e2801160600002152d19b07e,28,4076,-6450,1
2025-06-28T11:10:44.338104500,e2801160600002152d19dace,28,588,-6650,1
2025-06-28T11:10:44.362333,e2801160600002152d19b07e,28,4056,-6400,1
2025-06-28T11:10:44.362333,e2801160600002152d19b0fe,28,1896,-4650,1
2025-06-28T11:10:44.362333,e2801160600002152d19b0de,28,2280,-6000,1
2025-06-28T11:10:44.362333,e2801160600002152d19dace,28,536,-6750,1
2025-06-28T11:10:44.362333,e2801160600002152d19da2e,28,3228,-5100,1
2025-06-28T11:10:44.362333,e2801160600002152d19da5e,28,3732,-4850,1
2025-06-28T11:10:44.362333,e2801160600002152d19da1e,28,456,-4850,1
2025-06-28T11:10:44.362333,e2801160600002152d19b00e,28,112,-5500,1
2025-06-28T11:10:44.362333,e2801160600002152d19b03e,28,1416,-5400,1
2025-06-28T11:10:44.362333,e2801160600002152d19b0ce,28,3012,-5500,1
2025-06-28T11:10:44.362333,e2801160600002152d19da3e,28,3176,-5500,1
2025-06-28T11:10:44.362333,e2801160600002152d19da4e,28,1348,-5700,1
2025-06-28T11:10:44.362333,e2801160600002152d19da3e,28,332,-5450,2
