time,id,channel,phase,rssi,antenna
2025-06-28T11:00:11.400951400,e2801160600002152d19da4e,1,1100,-4900,1
2025-06-28T11:00:11.400951400,e2801160600002152d19da2e,1,2328,-5500,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b03e,1,3864,-4700,1
2025-06-28T11:00:11.400951400,e2801160600002152d19da1e,1,2348,-5500,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b00e,1,1624,-5400,1
2025-06-28T11:00:11.400951400,e2801160600002152d19da5e,1,2440,-4700,1
2025-06-28T11:00:11.400951400,e2801160600002152d19da3e,1,1824,-4450,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b0fe,1,160,-4650,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b0ce,1,1144,-4900,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b0de,1,528,-5500,1
2025-06-28T11:00:11.400951400,e2801160600002152d19b07e,1,268,-5600,1
2025-06-28T11:00:11.400951400,e2801160600002152d19dace,1,632,-5450,1
2025-06-28T11:00:11.401955600,e2801160600002152d19da3e,1,1844,-4450,1
2025-06-28T11:00:11.401955600,e2801160600002152d19b07e,1,296,-5600,1
2025-06-28T11:00:11.404951200,e2801160600002152d19dace,1,656,-5450,1
2025-06-28T11:00:11.404951200,e2801160600002152d19b0fe,1,168,-4650,1
2025-06-28T11:00:11.404951200,e2801160600002152d19b03e,1,3892,-4750,1
2025-06-28T11:00:11.404951200,e2801160600002152d19b0de,1,532,-5500,1
2025-06-28T11:00:11.404951200,e2801160600002152d19da5e,1,2436,-4700,1
2025-06-28T11:00:11.404951200,e2801160600002152d19da4e,1,1096,-4900,1
2025-06-28T11:00:11.404951200,e2801160600002152d19b0ce,1,1144,-4900,1
2025-06-28T11:00:11.404951200,e2801160600002152d19da1e,1,2320,-5500,1
2025-06-28T11:00:11.404951200,e2801160600002152d19b00e,1,1632,-5400,1
2025-06-28T11:00:11.404951200,e2801160600002152d19da2e,1,2324,-5500,1
2025-06-28T11:00:11.436156600,e2801160600002152d19da3e,1,3972,-6150,2
