time,id,channel,phase,rssi,antenna
2025-06-28T11:06:56.986186700,e2801160600002152d19da5e,35,2104,-4650,1
2025-06-28T11:06:56.986186700,e2801160600002152d19da3e,35,1552,-4400,1
2025-06-28T11:06:56.986186700,e2801160600002152d19b07e,35,3744,-6150,1
2025-06-28T11:06:56.986186700,e2801160600002152d19b00e,35,1316,-5300,1
2025-06-28T11:06:56.986186700,e2801160600002152d19da2e,35,2264,-5550,1
2025-06-28T11:06:56.986186700,e2801160600002152d19b07e,35,3684,-6150,1
2025-06-28T11:06:56.986186700,e2801160600002152d19da4e,35,732,-4650,1
2025-06-28T11:06:56.986186700,e2801160600002152d19b00e,35,1368,-5300,1
2025-06-28T11:06:56.986186700,e2801160600002152d19b0fe,35,3836,-4750,1
2025-06-28T11:06:56.986186700,e2801160600002152d19da3e,35,1556,-4400,1
2025-06-28T11:06:56.986186700,e2801160600002152d19da5e,35,2108,-4650,1
2025-06-28T11:06:56.987185600,e2801160600002152d19b0de,35,224,-5900,1
2025-06-28T11:06:56.987185600,e2801160600002152d19b03e,35,3368,-4700,1
2025-06-28T11:06:56.987185600,e2801160600002152d19da2e,35,2236,-5550,1
2025-06-28T11:06:56.990189700,e2801160600002152d19b0ce,35,852,-4900,1
2025-06-28T11:06:56.990189700,e2801160600002152d19dace,35,284,-5950,1
2025-06-28T11:06:56.990189700,e2801160600002152d19da1e,35,2604,-5150,1
2025-06-28T11:06:56.990189700,e2801160600002152d19da4e,35,1424,-6100,2
2025-06-28T11:06:56.990189700,e2801160600002152d19da1e,35,3784,-6200,2
2025-06-28T11:06:56.990189700,e2801160600002152d19da2e,35,1336,-6250,2
2025-06-28T11:06:56.990189700,e2801160600002152d19da3e,35,2504,-6150,2
2025-06-28T11:06:56.990189700,e2801160600002152d19b0de,35,1568,-6100,2
2025-06-28T11:06:56.990189700,e2801160600002152d19da5e,35,2156,-6300,2
2025-06-28T11:06:56.990189700,e2801160600002152d19b00e,35,812,-6700,2
2025-06-28T11:06:56.990189700,e2801160600002152d19b03e,35,2012,-6400,2
2025-06-28T11:06:56.990189700,e2801160600002152d19dace,35,3324,-6100,2
2025-06-28T11:06:56.990189700,e2801160600002152d19b0fe,35,884,-6850,2
2025-06-28T11:06:56.990189700,e2801160600002152d19b0ce,35,3572,-6050,2
2025-06-28T11:06:57.023177900,e2801160600002152d19dace,35,3292,-6050,2
2025-06-28T11:06:57.023177900,e2801160600002152d19b0fe,35,944,-6750,2
2025-06-28T11:06:57.023177900,e2801160600002152d19da2e,35,1352,-6350,2
2025-06-28T11:06:57.023177900,e2801160600002152d19b0de,35,1476,-6150,2
2025-06-28T11:06:57.023177900,e2801160600002152d19b00e,35,560,-6700,2
2025-06-28T11:06:57.023177900,e2801160600002152d19da3e,35,2504,-6050,2
