time,id,channel,phase,rssi,antenna
2025-06-28T11:08:47.471040200,e2801160600002152d19b07e,31,3920,-6200,1
2025-06-28T11:08:47.471040200,e2801160600002152d19b0de,31,652,-5550,1
2025-06-28T11:08:47.471040200,e2801160600002152d19b00e,31,1844,-5700,1
2025-06-28T11:08:47.471040200,e2801160600002152d19da5e,31,2320,-4600,1
2025-06-28T11:08:47.471040200,e2801160600002152d19b0ce,31,1160,-4950,1
2025-06-28T11:08:47.471040200,e2801160600002152d19da3e,31,1996,-4700,1
2025-06-28T11:08:47.471040200,e2801160600002152d19da1e,31,2808,-5250,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da2e,31,1924,-5450,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b0fe,31,284,-5200,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b0de,31,684,-5600,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da5e,31,2324,-4600,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b03e,31,3732,-5050,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da2e,31,1960,-5450,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b07e,31,4056,-6200,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da3e,31,1996,-4650,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b0ce,31,1152,-5000,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da1e,31,2828,-5250,1
2025-06-28T11:08:47.475061600,e2801160600002152d19da4e,31,1132,-5350,1
2025-06-28T11:08:47.475061600,e2801160600002152d19dace,31,32,-6300,1
2025-06-28T11:08:47.475061600,e2801160600002152d19b00e,31,1828,-5700,1
2025-06-28T11:08:47.515300100,e2801160600002152d19b03e,31,1596,-5900,2
2025-06-28T11:08:47.515300100,e2801160600002152d19b0ce,31,3308,-5950,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da3e,31,2512,-6000,2
2025-06-28T11:08:47.515300100,e2801160600002152d19b00e,31,596,-6650,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da5e,31,1300,-6050,2
2025-06-28T11:08:47.515300100,e2801160600002152d19b0de,31,1104,-5900,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da4e,31,1228,-6050,2
2025-06-28T11:08:47.515300100,e2801160600002152d19dace,31,3912,-6300,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da1e,31,3164,-6300,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da1e,31,3140,-6350,2
2025-06-28T11:08:47.515300100,e2801160600002152d19b0de,31,1104,-5950,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da3e,31,2508,-6000,2
2025-06-28T11:08:47.515300100,e2801160600002152d19da5e,31,1228,-6100,2
2025-06-28T11:08:47.515300100,e2801160600002152d19b0ce,31,3292,-5950,2
2025-06-28T11:08:47.521278,e2801160600002152d19da4e,31,1272,-6000,2
2025-06-28T11:08:47.521278,e2801160600002152d19b03e,31,1604,-5900,2
2025-06-28T11:08:47.521278,e2801160600002152d19b00e,31,560,-6550,2
2025-06-28T11:08:47.521278,e2801160600002152d19dace,31,3992,-6300,2
2025-06-28T11:08:47.521278,e2801160600002152d19b0fe,31,3516,-5250,3
2025-06-28T11:08:47.521278,e2801160600002152d19b07e,31,2040,-5900,3
