time,id,channel,phase,rssi,antenna
2025-06-27T16:54:24.637538500,e2801160600002152d19b00e,20,3160,-6050,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b0de,20,2780,-6200,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b03e,20,2944,-5500,1
2025-06-27T16:54:24.637538500,e2801160600002152d19dace,20,2596,-5750,1
2025-06-27T16:54:24.637538500,e2801160600002152d19da4e,20,1896,-5550,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b0fe,20,2152,-4950,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b0de,20,2800,-6200,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b03e,20,2964,-5500,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b00e,20,3160,-6050,1
2025-06-27T16:54:24.637538500,e2801160600002152d19dace,20,2616,-5800,1
2025-06-27T16:54:24.637538500,e2801160600002152d19da3e,20,3848,-5600,1
2025-06-27T16:54:24.637538500,e2801160600002152d19da1e,20,1944,-6100,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b07e,20,3152,-6050,1
2025-06-27T16:54:24.637538500,e2801160600002152d19da2e,20,2300,-5750,1
2025-06-27T16:54:24.637538500,e2801160600002152d19b0ce,20,248,-5900,1
2025-06-27T16:54:24.637538500,e2801160600002152d19da4e,20,448,-5450,2
2025-06-27T16:54:24.637538500,e2801160600002152d19da2e,20,544,-5750,2
2025-06-27T16:54:24.637538500,e2801160600002152d19b0ce,20,960,-6050,2
2025-06-27T16:54:24.637538500,e2801160600002152d19b0de,20,3588,-5650,2
2025-06-27T16:54:24.637538500,e2801160600002152d19da3e,20,784,-6150,2
2025-06-27T16:54:24.637538500,e2801160600002152d19b07e,20,64,-6150,2
2025-06-27T16:54:24.637538500,e2801160600002152d19dace,20,1872,-5650,2
2025-06-27T16:54:24.637538500,e2801160600002152d19b0fe,20,504,-6050,2
2025-06-27T16:54:24.637538500,e2801160600002152d19da1e,20,508,-6200,2
2025-06-27T16:54:24.668834400,e2801160600002152d19dace,20,1880,-5600,2
2025-06-27T16:54:24.668834400,e2801160600002152d19b0ce,20,1012,-6050,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da1e,20,468,-6250,2
2025-06-27T16:54:24.668834400,e2801160600002152d19b0de,20,3580,-5650,2
2025-06-27T16:54:24.668834400,e2801160600002152d19b07e,20,112,-6200,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da3e,20,808,-6100,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da5e,20,2788,-5250,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da2e,20,664,-5750,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da4e,20,432,-5400,2
2025-06-27T16:54:24.668834400,e2801160600002152d19b0fe,20,364,-6050,2
2025-06-27T16:54:24.668834400,e2801160600002152d19da5e,20,3780,-5850,3
2025-06-27T16:54:24.668834400,e2801160600002152d19da1e,20,3360,-5800,3
2025-06-27T16:54:24.668834400,e2801160600002152d19da3e,20,556,-5900,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b00e,20,272,-5650,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b0ce,20,196,-5600,3
2025-06-27T16:54:24.668834400,e2801160600002152d19dace,20,1868,-5500,3
2025-06-27T16:54:24.668834400,e2801160600002152d19da2e,20,3248,-5350,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b03e,20,4048,-6250,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b0fe,20,1796,-5900,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b07e,20,2436,-6050,3
2025-06-27T16:54:24.668834400,e2801160600002152d19da4e,20,1796,-5650,3
2025-06-27T16:54:24.668834400,e2801160600002152d19b0de,20,1068,-6450,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b00e,20,276,-5650,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da4e,20,1772,-5650,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b03e,20,48,-6300,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b0de,20,1132,-6450,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da2e,20,3252,-5350,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da3e,20,540,-5900,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b0fe,20,1888,-5900,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da1e,20,3324,-5800,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b0ce,20,212,-5600,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da5e,20,3768,-5850,3
2025-06-27T16:54:24.700484700,e2801160600002152d19dace,20,1856,-5500,3
2025-06-27T16:54:24.700484700,e2801160600002152d19b07e,20,2532,-6050,3
2025-06-27T16:54:24.700484700,e2801160600002152d19da4e,20,1924,-5550,1
2025-06-27T16:54:24.700484700,e2801160600002152d19da1e,20,1952,-6150,1
2025-06-27T16:54:24.700484700,e2801160600002152d19da3e,20,3852,-5600,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b03e,20,2980,-5500,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b0fe,20,2164,-4900,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b0ce,20,236,-5900,1
2025-06-27T16:54:24.700484700,e2801160600002152d19dace,20,2684,-5750,1
2025-06-27T16:54:24.700484700,e2801160600002152d19da2e,20,2312,-5750,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b00e,20,3204,-6000,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b0de,20,2768,-6150,1
2025-06-27T16:54:24.700484700,e2801160600002152d19b07e,20,3164,-6050,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b0ce,20,264,-5950,1
2025-06-27T16:54:24.731756600,e2801160600002152d19da4e,20,1968,-5550,1
2025-06-27T16:54:24.731756600,e2801160600002152d19dace,20,2660,-5750,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b03e,20,2992,-5500,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b00e,20,3196,-6050,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b0fe,20,2168,-4950,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b0de,20,2800,-6150,1
2025-06-27T16:54:24.731756600,e2801160600002152d19b07e,20,3180,-6050,1
2025-06-27T16:54:24.731756600,e2801160600002152d19da2e,20,2312,-5800,1
2025-06-27T16:54:24.731756600,e2801160600002152d19da1e,20,1972,-6100,1
2025-06-27T16:54:24.731756600,e2801160600002152d19da3e,20,3880,-5550,1
2025-06-27T16:54:24.731756600,e2801160600002152d19da1e,20,472,-6300,2
2025-06-27T16:54:24.731756600,e2801160600002152d19dace,20,1832,-5600,2
2025-06-27T16:54:24.731756600,e2801160600002152d19da3e,20,776,-6150,2
2025-06-27T16:54:24.731756600,e2801160600002152d19da2e,20,580,-5800,2
2025-06-27T16:54:24.731756600,e2801160600002152d19da4e,20,448,-5400,2
2025-06-27T16:54:24.731756600,e2801160600002152d19da5e,20,2804,-5200,2
2025-06-27T16:54:24.731756600,e2801160600002152d19b0ce,20,1052,-6000,2
2025-06-27T16:54:24.731756600,e2801160600002152d19b0fe,20,432,-6050,2
2025-06-27T16:54:24.731756600,e2801160600002152d19b0de,20,3572,-5550,2
2025-06-27T16:54:24.731756600,e2801160600002152d19b07e,20,4,-6200,2
2025-06-27T16:54:24.763733200,e2801160600002152d19da2e,20,608,-5800,2
2025-06-27T16:54:24.763733200,e2801160600002152d19b0de,20,3572,-5600,2
2025-06-27T16:54:24.763733200,e2801160600002152d19da4e,20,472,-5450,2
2025-06-27T16:54:24.763733200,e2801160600002152d19da1e,20,444,-6200,2
2025-06-27T16:54:24.763733200,e2801160600002152d19da5e,20,2800,-5250,2
2025-06-27T16:54:24.763733200,e2801160600002152d19b0fe,20,436,-6000,2
2025-06-27T16:54:24.763733200,e2801160600002152d19b0ce,20,1008,-6050,2
2025-06-27T16:54:24.763733200,e2801160600002152d19dace,20,1804,-5600,2
2025-06-27T16:54:24.763733200,e2801160600002152d19da3e,20,756,-6100,2
2025-06-27T16:54:24.763733200,e2801160600002152d19b07e,20,56,-6100,2
2025-06-27T16:54:24.763733200,e2801160600002152d19b0ce,20,216,-5550,3
2025-06-27T16:54:24.763733200,e2801160600002152d19b0fe,20,1840,-5950,3
2025-06-27T16:54:24.763733200,e2801160600002152d19b00e,20,272,-5600,3
2025-06-27T16:54:24.763733200,e2801160600002152d19da3e,20,536,-5900,3
2025-06-27T16:54:24.763733200,e2801160600002152d19b0de,20,1252,-6500,3
2025-06-27T16:54:24.763733200,e2801160600002152d19da4e,20,1800,-5650,3
2025-06-27T16:54:24.763733200,e2801160600002152d19dace,20,1852,-5500,3
2025-06-27T16:54:24.763733200,e2801160600002152d19da2e,20,3228,-5350,3
2025-06-27T16:54:24.763733200,e2801160600002152d19da5e,20,3772,-5900,3
2025-06-27T16:54:24.763733200,e2801160600002152d19b03e,20,4040,-6200,3
2025-06-27T16:54:24.763733200,e2801160600002152d19da1e,20,3304,-5800,3
2025-06-27T16:54:24.763733200,e2801160600002152d19b07e,20,2444,-6000,3
2025-06-27T16:54:24.795402200,e2801160600002152d19dace,20,1844,-5550,3
2025-06-27T16:54:24.795402200,e2801160600002152d19da3e,20,552,-5950,3
2025-06-27T16:54:24.795402200,e2801160600002152d19b07e,20,2512,-6050,3
2025-06-27T16:54:24.795402200,e2801160600002152d19da5e,20,3772,-5850,3
