time,id,channel,phase,rssi,antenna
2025-06-27T14:59:37.947260+08:00,e2801160600002152d19b00e,47,3624,-5900,1
2025-06-27T14:59:37.947812+08:00,e2801160600002152d19da5e,47,196,-5150,1
2025-06-27T14:59:37.949166+08:00,e2801160600002152d19da3e,47,3348,-5500,1
2025-06-27T14:59:37.951828+08:00,e2801160600002152d19b00e,47,3544,-5900,1
2025-06-27T14:59:37.952364+08:00,e2801160600002152d19da4e,47,1204,-5950,1
2025-06-27T14:59:37.953025+08:00,e2801160600002152d19da1e,47,628,-5000,1
2025-06-27T14:59:37.954053+08:00,e2801160600002152d19b03e,47,3112,-5300,1
2025-06-27T14:59:37.954840+08:00,e2801160600002152d19b0ce,47,3736,-5200,1
2025-06-27T14:59:37.955968+08:00,e2801160600002152d19b0de,47,112,-6000,1
2025-06-27T14:59:37.956853+08:00,e2801160600002152d19da2e,47,580,-4700,1
2025-06-27T14:59:37.958793+08:00,e2801160600002152d19da5e,47,196,-5150,1
2025-06-27T14:59:37.959568+08:00,e2801160600002152d19da3e,47,3352,-5500,1
2025-06-27T14:59:37.960236+08:00,e2801160600002152d19dace,47,1948,-6300,1
2025-06-27T14:59:37.960787+08:00,e2801160600002152d19b0fe,47,1468,-4950,1
2025-06-27T14:59:37.971382+08:00,e2801160600002152d19da5e,47,748,-6050,2
2025-06-27T14:59:37.971927+08:00,e2801160600002152d19da2e,47,2956,-6900,2
2025-06-27T14:59:37.972861+08:00,e2801160600002152d19b0ce,47,1836,-5900,2
2025-06-27T14:59:37.973808+08:00,e2801160600002152d19da1e,47,2532,-5950,2
2025-06-27T14:59:37.974363+08:00,e2801160600002152d19b03e,47,1572,-5750,2
2025-06-27T14:59:37.974911+08:00,e2801160600002152d19b0fe,47,1556,-5700,2
2025-06-27T14:59:37.975462+08:00,e2801160600002152d19b0de,47,3928,-5800,2
2025-06-27T14:59:37.976245+08:00,e2801160600002152d19da4e,47,1304,-6200,2
2025-06-27T14:59:37.977300+08:00,e2801160600002152d19b00e,47,2316,-6300,2
2025-06-27T14:59:37.978139+08:00,e2801160600002152d19dace,47,2716,-5800,2
2025-06-27T14:59:37.978671+08:00,e2801160600002152d19da3e,47,1388,-5600,2
2025-06-27T14:59:37.981685+08:00,e2801160600002152d19da1e,47,2560,-5950,2
2025-06-27T14:59:37.982345+08:00,e2801160600002152d19b03e,47,1576,-5750,2
2025-06-27T14:59:37.983004+08:00,e2801160600002152d19b00e,47,2324,-6350,2
2025-06-27T14:59:37.983787+08:00,e2801160600002152d19b0fe,47,1572,-5700,2
2025-06-27T14:59:37.984462+08:00,e2801160600002152d19da5e,47,740,-6000,2
2025-06-27T14:59:37.985013+08:00,e2801160600002152d19da2e,47,2920,-6800,2
2025-06-27T14:59:37.985793+08:00,e2801160600002152d19da3e,47,1384,-5650,2
2025-06-27T14:59:37.986585+08:00,e2801160600002152d19dace,47,2728,-5800,2
2025-06-27T14:59:37.987140+08:00,e2801160600002152d19da4e,47,1268,-6150,2
2025-06-27T14:59:37.987926+08:00,e2801160600002152d19b0ce,47,1816,-5900,2
2025-06-27T14:59:37.988947+08:00,e2801160600002152d19b0de,47,3980,-5900,2
2025-06-27T14:59:38.007423+08:00,e2801160600002152d19b00e,47,2800,-5750,3
2025-06-27T14:59:38.008104+08:00,e2801160600002152d19b03e,47,2676,-6050,3
2025-06-27T14:59:38.008653+08:00,e2801160600002152d19b0fe,47,312,-5350,3
2025-06-27T14:59:38.009801+08:00,e2801160600002152d19da4e,47,4080,-5250,3
2025-06-27T14:59:38.010342+08:00,e2801160600002152d19da1e,47,608,-6700,3
2025-06-27T14:59:38.010883+08:00,e2801160600002152d19b0de,47,2804,-6200,3
2025-06-27T14:59:38.011430+08:00,e2801160600002152d19b0ce,47,3140,-5400,3
2025-06-27T14:59:38.011992+08:00,e2801160600002152d19da3e,47,3128,-5450,3
2025-06-27T14:59:38.012540+08:00,e2801160600002152d19da5e,47,3836,-5800,3
2025-06-27T14:59:38.013796+08:00,e2801160600002152d19b07e,47,776,-4950,3
2025-06-27T14:59:38.014351+08:00,e2801160600002152d19dace,47,144,-5050,3
2025-06-27T14:59:38.015056+08:00,e2801160600002152d19da2e,47,876,-6850,3
2025-06-27T14:59:38.018073+08:00,e2801160600002152d19da1e,47,620,-6700,3
2025-06-27T14:59:38.019364+08:00,e2801160600002152d19b0fe,47,328,-5350,3
2025-06-27T14:59:38.019927+08:00,e2801160600002152d19b03e,47,2600,-6100,3
2025-06-27T14:59:38.020601+08:00,e2801160600002152d19dace,47,124,-5000,3
2025-06-27T14:59:38.021271+08:00,e2801160600002152d19da2e,47,904,-6900,3
2025-06-27T14:59:38.021808+08:00,e2801160600002152d19b0de,47,2776,-6250,3
2025-06-27T14:59:38.022341+08:00,e2801160600002152d19b07e,47,792,-4950,3
2025-06-27T14:59:38.023240+08:00,e2801160600002152d19da5e,47,3840,-5800,3
2025-06-27T14:59:38.023907+08:00,e2801160600002152d19da3e,47,3112,-5400,3
2025-06-27T14:59:38.024858+08:00,e2801160600002152d19da4e,47,4092,-5250,3
2025-06-27T14:59:38.025564+08:00,e2801160600002152d19b00e,47,2784,-5700,3
2025-06-27T14:59:38.026229+08:00,e2801160600002152d19b0ce,47,3132,-5400,3
2025-06-27T14:59:38.043266+08:00,e2801160600002152d19b03e,47,3144,-5400,1
