time,id,channel,phase,rssi,antenna
2025-06-27T14:57:58.214038+08:00,e2801160600002152d19dace,2,2708,-5850,1
2025-06-27T14:57:58.216328+08:00,e2801160600002152d19b03e,2,3996,-4850,1
2025-06-27T14:57:58.216993+08:00,e2801160600002152d19da3e,2,100,-4600,1
2025-06-27T14:57:58.218172+08:00,e2801160600002152d19da1e,2,948,-4500,1
2025-06-27T14:57:58.218956+08:00,e2801160600002152d19da5e,2,976,-5000,1
2025-06-27T14:57:58.219623+08:00,e2801160600002152d19b0fe,2,1636,-5400,1
2025-06-27T14:57:58.220284+08:00,e2801160600002152d19b0de,2,660,-5650,1
2025-06-27T14:57:58.220949+08:00,e2801160600002152d19b0ce,2,3836,-4550,1
2025-06-27T14:57:58.221619+08:00,e2801160600002152d19da4e,2,2144,-6150,1
2025-06-27T14:57:58.222396+08:00,e2801160600002152d19da2e,2,868,-4750,1
2025-06-27T14:57:58.223463+08:00,e2801160600002152d19dace,2,2720,-5800,1
2025-06-27T14:57:58.224171+08:00,e2801160600002152d19b00e,2,4092,-5250,1
2025-06-27T14:57:58.240126+08:00,e2801160600002152d19b0fe,2,1712,-5850,2
2025-06-27T14:57:58.240797+08:00,e2801160600002152d19b0de,2,128,-5250,2
2025-06-27T14:57:58.241334+08:00,e2801160600002152d19b03e,2,788,-5050,2
2025-06-27T14:57:58.242231+08:00,e2801160600002152d19da1e,2,3208,-5350,2
2025-06-27T14:57:58.243883+08:00,e2801160600002152d19da4e,2,1024,-5150,2
2025-06-27T14:57:58.244557+08:00,e2801160600002152d19b0ce,2,1892,-5550,2
2025-06-27T14:57:58.245218+08:00,e2801160600002152d19da5e,2,1772,-6150,2
2025-06-27T14:57:58.245775+08:00,e2801160600002152d19dace,2,2480,-5300,2
2025-06-27T14:57:58.248679+08:00,e2801160600002152d19da3e,2,1708,-5400,2
2025-06-27T14:57:58.249269+08:00,e2801160600002152d19b07e,2,3892,-5700,2
2025-06-27T14:57:58.249943+08:00,e2801160600002152d19da2e,2,3880,-6150,2
2025-06-27T14:57:58.252956+08:00,e2801160600002152d19da3e,2,1708,-5400,2
2025-06-27T14:57:58.253904+08:00,e2801160600002152d19da1e,2,3212,-5350,2
2025-06-27T14:57:58.254967+08:00,e2801160600002152d19b0ce,2,1924,-5550,2
2025-06-27T14:57:58.255520+08:00,e2801160600002152d19b0fe,2,1976,-5850,2
2025-06-27T14:57:58.256060+08:00,e2801160600002152d19dace,2,2512,-5350,2
2025-06-27T14:57:58.256602+08:00,e2801160600002152d19b03e,2,824,-5050,2
2025-06-27T14:57:58.257160+08:00,e2801160600002152d19da5e,2,1808,-6150,2
2025-06-27T14:57:58.257938+08:00,e2801160600002152d19da4e,2,1052,-5200,2
2025-06-27T14:57:58.258521+08:00,e2801160600002152d19b0de,2,144,-5300,2
2025-06-27T14:57:58.259064+08:00,e2801160600002152d19b07e,2,3904,-5700,2
2025-06-27T14:57:58.259893+08:00,e2801160600002152d19da2e,2,3864,-6150,2
2025-06-27T14:57:58.269802+08:00,e2801160600002152d19b07e,2,1168,-5250,3
2025-06-27T14:57:58.270885+08:00,e2801160600002152d19da1e,2,148,-5850,3
2025-06-27T14:57:58.271428+08:00,e2801160600002152d19dace,2,324,-5450,3
2025-06-27T14:57:58.272332+08:00,e2801160600002152d19da5e,2,3352,-5250,3
2025-06-27T14:57:58.272883+08:00,e2801160600002152d19da2e,2,3612,-6300,3
2025-06-27T14:57:58.273547+08:00,e2801160600002152d19b03e,2,2244,-5850,3
2025-06-27T14:57:58.274566+08:00,e2801160600002152d19b0ce,2,2268,-5750,3
2025-06-27T14:57:58.275280+08:00,e2801160600002152d19da3e,2,2500,-5900,3
2025-06-27T14:57:58.275827+08:00,e2801160600002152d19b0fe,2,548,-5600,3
2025-06-27T14:57:58.276611+08:00,e2801160600002152d19b00e,2,1464,-6000,3
2025-06-27T14:57:58.277560+08:00,e2801160600002152d19da4e,2,620,-6250,3
2025-06-27T14:57:58.281014+08:00,e2801160600002152d19da4e,2,596,-6300,3
2025-06-27T14:57:58.281563+08:00,e2801160600002152d19da1e,2,164,-5850,3
2025-06-27T14:57:58.282582+08:00,e2801160600002152d19da5e,2,3372,-5250,3
2025-06-27T14:57:58.283120+08:00,e2801160600002152d19dace,2,324,-5450,3
2025-06-27T14:57:58.283779+08:00,e2801160600002152d19b03e,2,2256,-5900,3
2025-06-27T14:57:58.284317+08:00,e2801160600002152d19b07e,2,1188,-5300,3
2025-06-27T14:57:58.286440+08:00,e2801160600002152d19da3e,2,2544,-5900,3
2025-06-27T14:57:58.287338+08:00,e2801160600002152d19da2e,2,3636,-6250,3
2025-06-27T14:57:58.287881+08:00,e2801160600002152d19b0fe,2,556,-5600,3
2025-06-27T14:57:58.288779+08:00,e2801160600002152d19b0ce,2,2268,-5800,3
2025-06-27T14:57:58.289323+08:00,e2801160600002152d19b00e,2,1420,-6000,3
2025-06-27T14:57:58.300407+08:00,e2801160600002152d19da2e,2,868,-4700,1
2025-06-27T14:57:58.300952+08:00,e2801160600002152d19b03e,2,4004,-4850,1
2025-06-27T14:57:58.302098+08:00,e2801160600002152d19dace,2,2716,-5800,1
2025-06-27T14:57:58.302642+08:00,e2801160600002152d19da1e,2,948,-4500,1
2025-06-27T14:57:58.303187+08:00,e2801160600002152d19b00e,2,4084,-5250,1
2025-06-27T14:57:58.304436+08:00,e2801160600002152d19b0de,2,668,-5650,1
2025-06-27T14:57:58.305221+08:00,e2801160600002152d19b0ce,2,3832,-4550,1
2025-06-27T14:57:58.305886+08:00,e2801160600002152d19da3e,2,100,-4600,1
2025-06-27T14:57:58.307271+08:00,e2801160600002152d19da4e,2,2044,-6150,1
2025-06-27T14:57:58.309087+08:00,e2801160600002152d19da5e,2,956,-5000,1
2025-06-27T14:57:58.310035+08:00,e2801160600002152d19b0fe,2,1624,-5350,1
2025-06-27T14:57:58.313693+08:00,e2801160600002152d19b0ce,2,3832,-4600,1
2025-06-27T14:57:58.314237+08:00,e2801160600002152d19b03e,2,4028,-4850,1
2025-06-27T14:57:58.315029+08:00,e2801160600002152d19da4e,2,2124,-6200,1
2025-06-27T14:57:58.315718+08:00,e2801160600002152d19b0fe,2,1632,-5350,1
2025-06-27T14:57:58.316386+08:00,e2801160600002152d19dace,2,2724,-5800,1
2025-06-27T14:57:58.317048+08:00,e2801160600002152d19b00e,2,4076,-5250,1
2025-06-27T14:57:58.317590+08:00,e2801160600002152d19da1e,2,940,-4500,1
2025-06-27T14:57:58.318128+08:00,e2801160600002152d19da3e,2,92,-4600,1
2025-06-27T14:57:58.318967+08:00,e2801160600002152d19b0de,2,660,-5650,1
