time,id,channel,phase,rssi,antenna
2025-06-27T14:54:04.538230+08:00,e2801160600002152d19da2e,3,456,-4800,1
2025-06-27T14:54:04.541718+08:00,e2801160600002152d19b0ce,3,3752,-4700,1
2025-06-27T14:54:04.542270+08:00,e2801160600002152d19b0fe,3,1936,-4700,1
2025-06-27T14:54:04.542922+08:00,e2801160600002152d19b03e,3,2328,-4600,1
2025-06-27T14:54:04.543591+08:00,e2801160600002152d19dace,3,3056,-6150,1
2025-06-27T14:54:04.544486+08:00,e2801160600002152d19da5e,3,752,-5150,1
2025-06-27T14:54:04.545032+08:00,e2801160600002152d19da2e,3,440,-4800,1
2025-06-27T14:54:04.545813+08:00,e2801160600002152d19da1e,3,1064,-4800,1
2025-06-27T14:54:04.546529+08:00,e2801160600002152d19b0de,3,3928,-5550,1
2025-06-27T14:54:04.547080+08:00,e2801160600002152d19b07e,3,3172,-6300,1
2025-06-27T14:54:04.547735+08:00,e2801160600002152d19b00e,3,4060,-5000,1
2025-06-27T14:54:04.548285+08:00,e2801160600002152d19da3e,3,20,-5300,1
2025-06-27T14:54:04.548954+08:00,e2801160600002152d19da4e,3,2180,-5500,1
2025-06-27T14:54:04.559546+08:00,e2801160600002152d19b00e,3,3300,-6250,2
2025-06-27T14:54:04.560087+08:00,e2801160600002152d19da1e,3,2728,-5800,2
2025-06-27T14:54:04.560990+08:00,e2801160600002152d19b0fe,3,2080,-5500,2
2025-06-27T14:54:04.561900+08:00,e2801160600002152d19da2e,3,3444,-6150,2
2025-06-27T14:54:04.562690+08:00,e2801160600002152d19da4e,3,1436,-5450,2
2025-06-27T14:54:04.563995+08:00,e2801160600002152d19da3e,3,1680,-5250,2
2025-06-27T14:54:04.564773+08:00,e2801160600002152d19dace,3,2780,-5550,2
2025-06-27T14:54:04.566081+08:00,e2801160600002152d19b07e,3,3868,-6200,2
2025-06-27T14:54:04.566749+08:00,e2801160600002152d19b0de,3,4000,-5700,2
2025-06-27T14:54:04.567531+08:00,e2801160600002152d19b0ce,3,1580,-5900,2
2025-06-27T14:54:04.568469+08:00,e2801160600002152d19da5e,3,792,-6000,2
2025-06-27T14:54:04.571700+08:00,e2801160600002152d19dace,3,2792,-5500,2
2025-06-27T14:54:04.572598+08:00,e2801160600002152d19da4e,3,1412,-5450,2
2025-06-27T14:54:04.573773+08:00,e2801160600002152d19da3e,3,1680,-5250,2
2025-06-27T14:54:04.574442+08:00,e2801160600002152d19b0ce,3,1544,-5950,2
2025-06-27T14:54:04.575242+08:00,e2801160600002152d19b00e,3,3272,-6150,2
2025-06-27T14:54:04.575904+08:00,e2801160600002152d19da5e,3,792,-6000,2
2025-06-27T14:54:04.576569+08:00,e2801160600002152d19da1e,3,2708,-5850,2
2025-06-27T14:54:04.577353+08:00,e2801160600002152d19b0fe,3,2044,-5550,2
2025-06-27T14:54:04.578061+08:00,e2801160600002152d19b0de,3,4000,-5700,2
2025-06-27T14:54:04.578999+08:00,e2801160600002152d19b07e,3,4004,-6200,2
2025-06-27T14:54:04.579784+08:00,e2801160600002152d19da2e,3,3476,-6250,2
2025-06-27T14:54:04.589740+08:00,e2801160600002152d19b0ce,3,2796,-5450,3
2025-06-27T14:54:04.591279+08:00,e2801160600002152d19da4e,3,3968,-5050,3
2025-06-27T14:54:04.591878+08:00,e2801160600002152d19da3e,3,3408,-5600,3
2025-06-27T14:54:04.592422+08:00,e2801160600002152d19da5e,3,3860,-5900,3
2025-06-27T14:54:04.593334+08:00,e2801160600002152d19b03e,3,916,-5350,3
2025-06-27T14:54:04.593878+08:00,e2801160600002152d19dace,3,456,-5000,3
2025-06-27T14:54:04.594710+08:00,e2801160600002152d19b0de,3,2932,-6300,3
2025-06-27T14:54:04.595261+08:00,e2801160600002152d19b07e,3,572,-5150,3
2025-06-27T14:54:04.597027+08:00,e2801160600002152d19b00e,3,3332,-5350,3
2025-06-27T14:54:04.597567+08:00,e2801160600002152d19b0fe,3,1004,-5500,3
2025-06-27T14:54:04.600287+08:00,e2801160600002152d19b03e,3,884,-5350,3
2025-06-27T14:54:04.601296+08:00,e2801160600002152d19b07e,3,560,-5200,3
2025-06-27T14:54:04.601853+08:00,e2801160600002152d19b0fe,3,1052,-5550,3
2025-06-27T14:54:04.603136+08:00,e2801160600002152d19b00e,3,3328,-5400,3
2025-06-27T14:54:04.603925+08:00,e2801160600002152d19da5e,3,3804,-5950,3
2025-06-27T14:54:04.604885+08:00,e2801160600002152d19b0ce,3,2788,-5400,3
2025-06-27T14:54:04.605441+08:00,e2801160600002152d19b0de,3,2916,-6300,3
2025-06-27T14:54:04.605972+08:00,e2801160600002152d19da4e,3,3948,-5050,3
2025-06-27T14:54:04.606644+08:00,e2801160600002152d19da3e,3,3420,-5650,3
2025-06-27T14:54:04.607423+08:00,e2801160600002152d19dace,3,436,-4950,3
2025-06-27T14:54:04.618408+08:00,e2801160600002152d19b00e,3,36,-5000,1
2025-06-27T14:54:04.618949+08:00,e2801160600002152d19da5e,3,744,-5050,1
2025-06-27T14:54:04.619621+08:00,e2801160600002152d19da3e,3,0,-5250,1
2025-06-27T14:54:04.620285+08:00,e2801160600002152d19da1e,3,1088,-4800,1
2025-06-27T14:54:04.620839+08:00,e2801160600002152d19b0fe,3,1868,-4750,1
2025-06-27T14:54:04.621990+08:00,e2801160600002152d19b0ce,3,3708,-4750,1
2025-06-27T14:54:04.623236+08:00,e2801160600002152d19dace,3,3128,-6000,1
2025-06-27T14:54:04.624175+08:00,e2801160600002152d19da4e,3,2092,-5500,1
2025-06-27T14:54:04.624719+08:00,e2801160600002152d19b03e,3,2320,-4650,1
2025-06-27T14:54:04.625275+08:00,e2801160600002152d19b0de,3,3812,-5550,1
2025-06-27T14:54:04.625823+08:00,e2801160600002152d19da2e,3,388,-4700,1
2025-06-27T14:54:04.629416+08:00,e2801160600002152d19b0fe,3,1864,-4750,1
2025-06-27T14:54:04.630599+08:00,e2801160600002152d19dace,3,3052,-6100,1
2025-06-27T14:54:04.631149+08:00,e2801160600002152d19da5e,3,716,-5050,1
2025-06-27T14:54:04.631699+08:00,e2801160600002152d19b0de,3,3788,-5550,1
