time,id,channel,phase,rssi,antenna
2025-06-27T14:50:14.486400+08:00,e2801160600002152d19da5e,4,456,-5150,1
2025-06-27T14:50:14.487116+08:00,e2801160600002152d19b0fe,4,1428,-5250,1
2025-06-27T14:50:14.487780+08:00,e2801160600002152d19b03e,4,2460,-5250,1
2025-06-27T14:50:14.489281+08:00,e2801160600002152d19da2e,4,20,-4950,1
2025-06-27T14:50:14.489825+08:00,e2801160600002152d19b00e,4,3676,-5200,1
2025-06-27T14:50:14.491050+08:00,e2801160600002152d19da3e,4,3804,-5150,1
2025-06-27T14:50:14.491599+08:00,e2801160600002152d19b0ce,4,3348,-4650,1
2025-06-27T14:50:14.492152+08:00,e2801160600002152d19da1e,4,652,-4750,1
2025-06-27T14:50:14.492709+08:00,e2801160600002152d19b0de,4,3944,-6050,1
2025-06-27T14:50:14.493308+08:00,e2801160600002152d19dace,4,2296,-6450,1
2025-06-27T14:50:14.493861+08:00,e2801160600002152d19da4e,4,1216,-6150,1
2025-06-27T14:50:14.496721+08:00,e2801160600002152d19b0ce,4,3356,-4650,1
2025-06-27T14:50:14.498028+08:00,e2801160600002152d19b03e,4,2444,-5300,1
2025-06-27T14:50:14.498571+08:00,e2801160600002152d19da1e,4,644,-4700,1
2025-06-27T14:50:14.499124+08:00,e2801160600002152d19b0de,4,3908,-6150,1
2025-06-27T14:50:14.499672+08:00,e2801160600002152d19dace,4,2268,-6450,1
2025-06-27T14:50:14.500224+08:00,e2801160600002152d19da4e,4,1180,-6200,1
2025-06-27T14:50:14.501597+08:00,e2801160600002152d19b0fe,4,1408,-5300,1
2025-06-27T14:50:14.502344+08:00,e2801160600002152d19da3e,4,3792,-5150,1
2025-06-27T14:50:14.503306+08:00,e2801160600002152d19da2e,4,4,-4950,1
2025-06-27T14:50:14.503978+08:00,e2801160600002152d19b00e,4,3696,-5250,1
2025-06-27T14:50:14.504533+08:00,e2801160600002152d19da5e,4,464,-5150,1
2025-06-27T14:50:14.514615+08:00,e2801160600002152d19b0de,4,3444,-5250,2
2025-06-27T14:50:14.515553+08:00,e2801160600002152d19da4e,4,708,-5250,2
2025-06-27T14:50:14.516093+08:00,e2801160600002152d19b0ce,4,1044,-5550,2
2025-06-27T14:50:14.517124+08:00,e2801160600002152d19da3e,4,1076,-5300,2
2025-06-27T14:50:14.517663+08:00,e2801160600002152d19b0fe,4,1356,-5650,2
2025-06-27T14:50:14.518446+08:00,e2801160600002152d19b00e,4,2320,-6600,2
2025-06-27T14:50:14.518991+08:00,e2801160600002152d19da2e,4,2784,-6550,2
2025-06-27T14:50:14.519779+08:00,e2801160600002152d19da5e,4,176,-6550,2
2025-06-27T14:50:14.520311+08:00,e2801160600002152d19b07e,4,3512,-6100,2
2025-06-27T14:50:14.521023+08:00,e2801160600002152d19da1e,4,2624,-5850,2
2025-06-27T14:50:14.521845+08:00,e2801160600002152d19b03e,4,152,-5400,2
2025-06-27T14:50:14.522628+08:00,e2801160600002152d19dace,4,2236,-5500,2
2025-06-27T14:50:14.525828+08:00,e2801160600002152d19dace,4,2228,-5500,2
2025-06-27T14:50:14.526369+08:00,e2801160600002152d19b0fe,4,1408,-5600,2
2025-06-27T14:50:14.527043+08:00,e2801160600002152d19da2e,4,2744,-6550,2
2025-06-27T14:50:14.527944+08:00,e2801160600002152d19da3e,4,1044,-5300,2
2025-06-27T14:50:14.528959+08:00,e2801160600002152d19b0de,4,3444,-5250,2
2025-06-27T14:50:14.529989+08:00,e2801160600002152d19da1e,4,2576,-5850,2
2025-06-27T14:50:14.531279+08:00,e2801160600002152d19da5e,4,252,-6450,2
2025-06-27T14:50:14.532184+08:00,e2801160600002152d19b07e,4,3468,-6150,2
2025-06-27T14:50:14.532974+08:00,e2801160600002152d19b03e,4,160,-5400,2
2025-06-27T14:50:14.533759+08:00,e2801160600002152d19b00e,4,2456,-6600,2
2025-06-27T14:50:14.535058+08:00,e2801160600002152d19da4e,4,712,-5250,2
2025-06-27T14:50:14.536130+08:00,e2801160600002152d19b0ce,4,1032,-5550,2
2025-06-27T14:50:14.545311+08:00,e2801160600002152d19da3e,4,2668,-5650,3
2025-06-27T14:50:14.545986+08:00,e2801160600002152d19da4e,4,3340,-5450,3
2025-06-27T14:50:14.546770+08:00,e2801160600002152d19da1e,4,3664,-6800,3
2025-06-27T14:50:14.548429+08:00,e2801160600002152d19b07e,4,212,-5250,3
2025-06-27T14:50:14.548984+08:00,e2801160600002152d19dace,4,3820,-5100,3
2025-06-27T14:50:14.549536+08:00,e2801160600002152d19da5e,4,2860,-5800,3
2025-06-27T14:50:14.552395+08:00,e2801160600002152d19b00e,4,2372,-6000,3
2025-06-27T14:50:14.553589+08:00,e2801160600002152d19b0fe,4,660,-5750,3
2025-06-27T14:50:14.554135+08:00,e2801160600002152d19b0ce,4,2552,-5550,3
2025-06-27T14:50:14.557319+08:00,e2801160600002152d19b07e,4,208,-5250,3
2025-06-27T14:50:14.557865+08:00,e2801160600002152d19b00e,4,2416,-5950,3
2025-06-27T14:50:14.559315+08:00,e2801160600002152d19dace,4,3824,-5150,3
2025-06-27T14:50:14.559871+08:00,e2801160600002152d19b0ce,4,2588,-5550,3
2025-06-27T14:50:14.560538+08:00,e2801160600002152d19da4e,4,3364,-5450,3
2025-06-27T14:50:14.561085+08:00,e2801160600002152d19da3e,4,2700,-5650,3
2025-06-27T14:50:14.561626+08:00,e2801160600002152d19da5e,4,2880,-5800,3
2025-06-27T14:50:14.562696+08:00,e2801160600002152d19da1e,4,3580,-6750,3
2025-06-27T14:50:14.563238+08:00,e2801160600002152d19b0fe,4,616,-5800,3
2025-06-27T14:50:14.573172+08:00,e2801160600002152d19dace,4,2260,-6450,1
2025-06-27T14:50:14.573706+08:00,e2801160600002152d19da4e,4,1184,-6150,1
2025-06-27T14:50:14.574486+08:00,e2801160600002152d19b0fe,4,1420,-5250,1
2025-06-27T14:50:14.575034+08:00,e2801160600002152d19da1e,4,644,-4750,1
2025-06-27T14:50:14.575817+08:00,e2801160600002152d19da3e,4,3784,-5150,1
2025-06-27T14:50:14.576473+08:00,e2801160600002152d19b0de,4,3944,-6100,1
2025-06-27T14:50:14.577518+08:00,e2801160600002152d19da2e,4,16,-4950,1
2025-06-27T14:50:14.579012+08:00,e2801160600002152d19b00e,4,3688,-5250,1
2025-06-27T14:50:14.579677+08:00,e2801160600002152d19b0ce,4,3344,-4650,1
2025-06-27T14:50:14.580624+08:00,e2801160600002152d19b03e,4,2420,-5300,1
2025-06-27T14:50:14.582595+08:00,e2801160600002152d19da5e,4,464,-5150,1
2025-06-27T14:50:14.585432+08:00,e2801160600002152d19da4e,4,1260,-6150,1
2025-06-27T14:50:14.585986+08:00,e2801160600002152d19da2e,4,12,-4950,1
2025-06-27T14:50:14.586782+08:00,e2801160600002152d19da3e,4,3788,-5150,1
2025-06-27T14:50:14.587448+08:00,e2801160600002152d19b03e,4,2448,-5300,1
2025-06-27T14:50:14.588488+08:00,e2801160600002152d19da5e,4,452,-5150,1
2025-06-27T14:50:14.589038+08:00,e2801160600002152d19b00e,4,3696,-5200,1
2025-06-27T14:50:14.590650+08:00,e2801160600002152d19dace,4,2308,-6400,1
2025-06-27T14:50:14.591197+08:00,e2801160600002152d19b0de,4,3900,-6100,1
2025-06-27T14:50:14.591979+08:00,e2801160600002152d19b0ce,4,3344,-4650,1
2025-06-27T14:50:14.592514+08:00,e2801160600002152d19b0fe,4,1428,-5300,1
2025-06-27T14:50:14.593295+08:00,e2801160600002152d19da1e,4,644,-4750,1
2025-06-27T14:50:14.604895+08:00,e2801160600002152d19b00e,4,2416,-6500,2
2025-06-27T14:50:14.605442+08:00,e2801160600002152d19da1e,4,2640,-5850,2
2025-06-27T14:50:14.606872+08:00,e2801160600002152d19dace,4,2260,-5500,2
2025-06-27T14:50:14.607569+08:00,e2801160600002152d19b0ce,4,1036,-5550,2
2025-06-27T14:50:14.608121+08:00,e2801160600002152d19b0fe,4,1408,-5600,2
2025-06-27T14:50:14.608665+08:00,e2801160600002152d19b0de,4,3432,-5250,2
2025-06-27T14:50:14.609203+08:00,e2801160600002152d19da4e,4,712,-5250,2
2025-06-27T14:50:14.609991+08:00,e2801160600002152d19da3e,4,1060,-5300,2
2025-06-27T14:50:14.610542+08:00,e2801160600002152d19b07e,4,3484,-6100,2
2025-06-27T14:50:14.611377+08:00,e2801160600002152d19da2e,4,2740,-6450,2
2025-06-27T14:50:14.611914+08:00,e2801160600002152d19b03e,4,84,-5400,2
2025-06-27T14:50:14.612631+08:00,e2801160600002152d19da5e,4,144,-6500,2
2025-06-27T14:50:14.616091+08:00,e2801160600002152d19b0fe,4,1404,-5650,2
2025-06-27T14:50:14.616927+08:00,e2801160600002152d19b0de,4,3460,-5250,2
2025-06-27T14:50:14.617590+08:00,e2801160600002152d19da3e,4,1048,-5300,2
2025-06-27T14:50:14.618142+08:00,e2801160600002152d19b0ce,4,1044,-5550,2
2025-06-27T14:50:14.618683+08:00,e2801160600002152d19b03e,4,100,-5400,2
2025-06-27T14:50:14.619460+08:00,e2801160600002152d19da5e,4,244,-6450,2
2025-06-27T14:50:14.620120+08:00,e2801160600002152d19da1e,4,2596,-5950,2
2025-06-27T14:50:14.620789+08:00,e2801160600002152d19dace,4,2252,-5500,2
