time,id,channel,phase,rssi,antenna
2025-06-27T16:50:21.412318300,e2801160600002152d19b00e,30,3020,-6550,1
2025-06-27T16:50:21.412318300,e2801160600002152d19dace,30,2592,-6450,1
2025-06-27T16:50:21.412318300,e2801160600002152d19da1e,30,2144,-5900,1
2025-06-27T16:50:21.412318300,e2801160600002152d19da4e,30,2296,-5950,1
2025-06-27T16:50:21.413300700,e2801160600002152d19b0de,30,3256,-6600,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da2e,30,2276,-5450,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da3e,30,212,-5750,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da5e,30,2084,-6250,1
2025-06-27T16:50:21.413300700,e2801160600002152d19b0ce,30,3196,-6250,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da2e,30,2256,-5500,1
2025-06-27T16:50:21.413300700,e2801160600002152d19b0de,30,3164,-6700,1
2025-06-27T16:50:21.413300700,e2801160600002152d19dace,30,2688,-6450,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da3e,30,192,-5750,1
2025-06-27T16:50:21.413300700,e2801160600002152d19da4e,30,2312,-6000,1
2025-06-27T16:50:21.414315700,e2801160600002152d19da1e,30,2172,-5850,1
2025-06-27T16:50:21.414315700,e2801160600002152d19b0fe,30,2000,-5700,1
2025-06-27T16:50:21.414315700,e2801160600002152d19b03e,30,3328,-5400,1
2025-06-27T16:50:21.414315700,e2801160600002152d19b00e,30,2996,-6450,1
2025-06-27T16:50:21.414315700,e2801160600002152d19da5e,30,2020,-6300,1
2025-06-27T16:50:21.444462400,e2801160600002152d19b0fe,30,4064,-6250,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da3e,30,3732,-6450,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da2e,30,776,-5550,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b0de,30,2840,-6350,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b0ce,30,1136,-5750,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b03e,30,180,-5750,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da1e,30,3692,-6500,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da5e,30,3092,-5950,2
2025-06-27T16:50:21.444462400,e2801160600002152d19dace,30,2064,-6300,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da4e,30,512,-6250,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da1e,30,3740,-6450,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b03e,30,164,-5750,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da3e,30,3716,-6450,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b0ce,30,1112,-5750,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da2e,30,772,-5550,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b0de,30,2880,-6350,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da4e,30,508,-6250,2
2025-06-27T16:50:21.444462400,e2801160600002152d19b0fe,30,4036,-6250,2
2025-06-27T16:50:21.444462400,e2801160600002152d19da5e,30,3172,-5850,2
2025-06-27T16:50:21.444462400,e2801160600002152d19dace,30,2116,-6350,2
2025-06-27T16:50:21.491422900,e2801160600002152d19da4e,30,1460,-6250,3
2025-06-27T16:50:21.491422900,e2801160600002152d19dace,30,1908,-6250,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0fe,30,1944,-6200,3
2025-06-27T16:50:21.491422900,e2801160600002152d19da3e,30,48,-5700,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b03e,30,3756,-5850,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b00e,30,172,-6200,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b07e,30,2132,-5800,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0ce,30,108,-6000,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0de,30,780,-6750,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b03e,30,3740,-5850,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b00e,30,240,-6100,3
2025-06-27T16:50:21.491422900,e2801160600002152d19da4e,30,1440,-6350,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b07e,30,2140,-5850,3
2025-06-27T16:50:21.491422900,e2801160600002152d19dace,30,1952,-6250,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0ce,30,152,-5950,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0fe,30,1980,-6250,3
2025-06-27T16:50:21.491422900,e2801160600002152d19da3e,30,64,-5700,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0de,30,892,-6600,3
2025-06-27T16:50:21.491422900,e2801160600002152d19b0ce,30,2828,-6200,1
2025-06-27T16:50:21.491422900,e2801160600002152d19b0de,30,3004,-6650,1
2025-06-27T16:50:21.491422900,e2801160600002152d19da1e,30,2036,-5900,1
2025-06-27T16:50:21.491422900,e2801160600002152d19da2e,30,2252,-5650,1
2025-06-27T16:50:21.491422900,e2801160600002152d19da3e,30,92,-5750,1
2025-06-27T16:50:21.491422900,e2801160600002152d19dace,30,2904,-6500,1
2025-06-27T16:50:21.491422900,e2801160600002152d19b0fe,30,2200,-5650,1
2025-06-27T16:50:21.491422900,e2801160600002152d19da5e,30,1992,-6400,1
2025-06-27T16:50:21.491422900,e2801160600002152d19b03e,30,3232,-5300,1
2025-06-27T16:50:21.491422900,e2801160600002152d19da4e,30,2108,-6100,1
2025-06-27T16:50:21.491422900,e2801160600002152d19b00e,30,2920,-6450,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da5e,30,1936,-6350,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da2e,30,2256,-5700,1
2025-06-27T16:50:21.522524200,e2801160600002152d19b03e,30,3224,-5350,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da1e,30,1948,-5900,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da4e,30,2136,-6100,1
2025-06-27T16:50:21.522524200,e2801160600002152d19b0fe,30,2236,-5700,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da3e,30,52,-5750,1
2025-06-27T16:50:21.522524200,e2801160600002152d19dace,30,2888,-6550,1
2025-06-27T16:50:21.522524200,e2801160600002152d19b0ce,30,2780,-6250,1
2025-06-27T16:50:21.522524200,e2801160600002152d19b00e,30,3004,-6450,1
2025-06-27T16:50:21.522524200,e2801160600002152d19b0de,30,2968,-6650,1
2025-06-27T16:50:21.522524200,e2801160600002152d19da4e,30,692,-6200,2
2025-06-27T16:50:21.522524200,e2801160600002152d19da3e,30,3812,-6650,2
2025-06-27T16:50:21.522524200,e2801160600002152d19b0ce,30,1096,-6050,2
2025-06-27T16:50:21.522524200,e2801160600002152d19dace,30,2044,-6150,2
2025-06-27T16:50:21.522524200,e2801160600002152d19da1e,30,3828,-6600,2
2025-06-27T16:50:21.522524200,e2801160600002152d19b03e,30,28,-6100,2
2025-06-27T16:50:21.522524200,e2801160600002152d19da5e,30,3200,-5850,2
2025-06-27T16:50:21.522524200,e2801160600002152d19b0fe,30,3968,-6200,2
2025-06-27T16:50:21.522524200,e2801160600002152d19da2e,30,636,-5750,2
2025-06-27T16:50:21.522524200,e2801160600002152d19b0de,30,3200,-6450,2
2025-06-27T16:50:21.549775500,e2801160600002152d19b0ce,30,1128,-6150,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da4e,30,704,-6200,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da2e,30,652,-5750,2
2025-06-27T16:50:21.549775500,e2801160600002152d19b0de,30,3204,-6450,2
2025-06-27T16:50:21.549775500,e2801160600002152d19b03e,30,8,-6150,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da1e,30,3888,-6600,2
2025-06-27T16:50:21.549775500,e2801160600002152d19b0fe,30,4044,-6250,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da5e,30,3180,-5850,2
2025-06-27T16:50:21.549775500,e2801160600002152d19dace,30,2164,-6150,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da3e,30,3740,-6750,2
2025-06-27T16:50:21.549775500,e2801160600002152d19da3e,30,4040,-5650,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b0ce,30,4056,-5850,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b0fe,30,2016,-6200,3
2025-06-27T16:50:21.549775500,e2801160600002152d19dace,30,2028,-6150,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b00e,30,216,-6050,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b03e,30,3608,-5850,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b0de,30,664,-6650,3
2025-06-27T16:50:21.549775500,e2801160600002152d19da4e,30,1700,-6300,3
2025-06-27T16:50:21.549775500,e2801160600002152d19b07e,30,2240,-5950,3
2025-06-27T16:50:21.574664400,e2801160600002152d19da3e,30,4064,-5750,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b0de,30,568,-6600,3
2025-06-27T16:50:21.574664400,e2801160600002152d19dace,30,2068,-6050,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b07e,30,2272,-6000,3
2025-06-27T16:50:21.574664400,e2801160600002152d19da4e,30,1696,-6300,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b03e,30,3544,-5850,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b0ce,30,4036,-5900,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b0fe,30,2008,-6200,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b00e,30,216,-6150,3
2025-06-27T16:50:21.574664400,e2801160600002152d19b03e,30,3228,-5400,1
2025-06-27T16:50:21.574664400,e2801160600002152d19da1e,30,1896,-5950,1
2025-06-27T16:50:21.574664400,e2801160600002152d19da5e,30,1340,-6500,1
2025-06-27T16:50:21.574664400,e2801160600002152d19da3e,30,36,-5950,1
2025-06-27T16:50:21.574664400,e2801160600002152d19da4e,30,1936,-6250,1
2025-06-27T16:50:21.574664400,e2801160600002152d19b0ce,30,2672,-6450,1
2025-06-27T16:50:21.574664400,e2801160600002152d19b00e,30,3208,-6550,1
2025-06-27T16:50:21.574664400,e2801160600002152d19b0fe,30,2212,-5700,1
2025-06-27T16:50:21.574664400,e2801160600002152d19dace,30,3020,-6450,1
2025-06-27T16:50:21.574664400,e2801160600002152d19da2e,30,2356,-5950,1
2025-06-27T16:50:21.574664400,e2801160600002152d19b0de,30,2676,-6550,1
2025-06-27T16:50:21.614068100,e2801160600002152d19da2e,30,2360,-6000,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b0fe,30,2180,-5650,1
2025-06-27T16:50:21.614068100,e2801160600002152d19da3e,30,20,-5950,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b00e,30,3184,-6650,1
2025-06-27T16:50:21.614068100,e2801160600002152d19dace,30,2996,-6350,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b0de,30,2628,-6500,1
2025-06-27T16:50:21.614068100,e2801160600002152d19da1e,30,1928,-5950,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b03e,30,3160,-5400,1
2025-06-27T16:50:21.614068100,e2801160600002152d19da5e,30,1408,-6550,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b0ce,30,2664,-6600,1
2025-06-27T16:50:21.614068100,e2801160600002152d19da4e,30,2036,-6250,1
2025-06-27T16:50:21.614068100,e2801160600002152d19b0fe,31,3052,-6350,2
2025-06-27T16:50:21.614068100,e2801160600002152d19da3e,31,3072,-6750,2
2025-06-27T16:50:21.614068100,e2801160600002152d19da1e,31,3300,-6500,2
2025-06-27T16:50:21.614068100,e2801160600002152d19da4e,31,3872,-6000,2
2025-06-27T16:50:21.614068100,e2801160600002152d19b0de,31,2300,-6400,2
2025-06-27T16:50:21.614068100,e2801160600002152d19da2e,31,3696,-5900,2
2025-06-27T16:50:21.614068100,e2801160600002152d19da5e,31,2132,-5650,2
2025-06-27T16:50:21.614068100,e2801160600002152d19b0ce,31,332,-6100,2
2025-06-27T16:50:21.614068100,e2801160600002152d19dace,31,1072,-6150,2
2025-06-27T16:50:21.635413300,e2801160600002152d19da2e,31,3732,-5950,2
2025-06-27T16:50:21.635413300,e2801160600002152d19da4e,31,3848,-6050,2
2025-06-27T16:50:21.635413300,e2801160600002152d19da1e,31,3252,-6450,2
2025-06-27T16:50:21.635413300,e2801160600002152d19b0ce,31,360,-6100,2
2025-06-27T16:50:21.636413600,e2801160600002152d19b0fe,31,3060,-6300,2
