time,id,channel,phase,rssi,antenna
2025-06-27T15:06:56.775689+08:00,e2801160600002152d19b00e,34,604,-5550,1
2025-06-27T15:06:56.776354+08:00,e2801160600002152d19b0ce,34,776,-5150,1
2025-06-27T15:06:56.777143+08:00,e2801160600002152d19dace,34,3644,-6350,1
2025-06-27T15:06:56.777675+08:00,e2801160600002152d19da4e,34,2552,-5850,1
2025-06-27T15:06:56.778450+08:00,e2801160600002152d19b03e,34,404,-5550,1
2025-06-27T15:06:56.779363+08:00,e2801160600002152d19da2e,34,1628,-4900,1
2025-06-27T15:06:56.779911+08:00,e2801160600002152d19b0de,34,772,-6000,1
2025-06-27T15:06:56.781393+08:00,e2801160600002152d19da5e,34,1000,-5250,1
2025-06-27T15:06:56.782646+08:00,e2801160600002152d19da1e,34,1556,-5150,1
2025-06-27T15:06:56.783187+08:00,e2801160600002152d19b0fe,34,2820,-4750,1
2025-06-27T15:06:56.785040+08:00,e2801160600002152d19da3e,34,260,-5050,1
2025-06-27T15:06:56.788246+08:00,e2801160600002152d19b03e,34,388,-5500,1
2025-06-27T15:06:56.788911+08:00,e2801160600002152d19dace,34,3696,-6400,1
2025-06-27T15:06:56.789459+08:00,e2801160600002152d19b0fe,34,2832,-4800,1
2025-06-27T15:06:56.790120+08:00,e2801160600002152d19da2e,34,1644,-4900,1
2025-06-27T15:06:56.791144+08:00,e2801160600002152d19b00e,34,616,-5550,1
2025-06-27T15:06:56.791814+08:00,e2801160600002152d19da1e,34,1544,-5150,1
2025-06-27T15:06:56.792829+08:00,e2801160600002152d19da3e,34,276,-5050,1
2025-06-27T15:06:56.793607+08:00,e2801160600002152d19da4e,34,2556,-5800,1
2025-06-27T15:06:56.794279+08:00,e2801160600002152d19da5e,34,1016,-5250,1
2025-06-27T15:06:56.795186+08:00,e2801160600002152d19b0de,34,800,-5950,1
2025-06-27T15:06:56.795861+08:00,e2801160600002152d19b0ce,34,760,-5150,1
2025-06-27T15:06:56.813274+08:00,e2801160600002152d19da3e,34,2656,-5350,2
2025-06-27T15:06:56.814212+08:00,e2801160600002152d19b0ce,34,3008,-5900,2
2025-06-27T15:06:56.814771+08:00,e2801160600002152d19dace,34,3392,-5700,2
2025-06-27T15:06:56.815324+08:00,e2801160600002152d19b0de,34,1104,-5600,2
2025-06-27T15:06:56.816106+08:00,e2801160600002152d19b03e,34,2856,-6000,2
2025-06-27T15:06:56.816770+08:00,e2801160600002152d19b00e,34,3244,-6750,2
2025-06-27T15:06:56.817302+08:00,e2801160600002152d19da5e,34,2216,-5800,2
2025-06-27T15:06:56.817853+08:00,e2801160600002152d19da2e,34,664,-6700,2
2025-06-27T15:06:56.818409+08:00,e2801160600002152d19b0fe,34,2980,-5850,2
2025-06-27T15:06:56.818947+08:00,e2801160600002152d19da4e,34,2084,-5600,2
2025-06-27T15:06:56.819847+08:00,e2801160600002152d19da1e,34,3748,-5950,2
2025-06-27T15:06:56.820957+08:00,e2801160600002152d19b07e,34,772,-6450,2
2025-06-27T15:06:56.824509+08:00,e2801160600002152d19b0ce,34,2964,-5900,2
2025-06-27T15:06:56.825174+08:00,e2801160600002152d19da1e,34,3728,-5950,2
2025-06-27T15:06:56.826074+08:00,e2801160600002152d19b07e,34,760,-6500,2
2025-06-27T15:06:56.826620+08:00,e2801160600002152d19da2e,34,676,-6650,2
2025-06-27T15:06:56.827293+08:00,e2801160600002152d19dace,34,3428,-5700,2
2025-06-27T15:06:56.828199+08:00,e2801160600002152d19b00e,34,3208,-6850,2
2025-06-27T15:06:56.828854+08:00,e2801160600002152d19b0fe,34,3028,-5850,2
2025-06-27T15:06:56.829987+08:00,e2801160600002152d19b03e,34,2804,-6050,2
2025-06-27T15:06:56.831376+08:00,e2801160600002152d19da5e,34,2216,-5800,2
2025-06-27T15:06:56.831932+08:00,e2801160600002152d19b0de,34,1128,-5600,2
2025-06-27T15:06:56.833097+08:00,e2801160600002152d19da4e,34,2140,-5600,2
2025-06-27T15:06:56.834321+08:00,e2801160600002152d19da3e,34,2648,-5350,2
2025-06-27T15:06:56.849909+08:00,e2801160600002152d19b0de,34,3292,-6450,3
2025-06-27T15:06:56.850443+08:00,e2801160600002152d19b0fe,34,1184,-5550,3
2025-06-27T15:06:56.851110+08:00,e2801160600002152d19b07e,34,1976,-5300,3
2025-06-27T15:06:56.852361+08:00,e2801160600002152d19b0ce,34,3812,-6050,3
2025-06-27T15:06:56.853030+08:00,e2801160600002152d19da3e,34,156,-5750,3
2025-06-27T15:06:56.855451+08:00,e2801160600002152d19da4e,34,900,-5650,3
2025-06-27T15:06:56.856391+08:00,e2801160600002152d19da5e,34,556,-5600,3
2025-06-27T15:06:56.856985+08:00,e2801160600002152d19dace,34,1240,-5300,3
2025-06-27T15:06:56.857770+08:00,e2801160600002152d19b00e,34,3904,-6200,3
2025-06-27T15:06:56.860844+08:00,e2801160600002152d19dace,34,1224,-5300,3
2025-06-27T15:06:56.861399+08:00,e2801160600002152d19da5e,34,540,-5550,3
2025-06-27T15:06:56.862936+08:00,e2801160600002152d19da4e,34,928,-5650,3
2025-06-27T15:06:56.863481+08:00,e2801160600002152d19b07e,34,1968,-5300,3
2025-06-27T15:06:56.864039+08:00,e2801160600002152d19b0de,34,3324,-6450,3
2025-06-27T15:06:56.865341+08:00,e2801160600002152d19da3e,34,188,-5750,3
2025-06-27T15:06:56.866131+08:00,e2801160600002152d19b0ce,34,3840,-6000,3
2025-06-27T15:06:56.866903+08:00,e2801160600002152d19b0fe,34,1204,-5500,3
2025-06-27T15:06:56.867435+08:00,e2801160600002152d19b00e,34,3916,-6200,3
2025-06-27T15:06:56.877850+08:00,e2801160600002152d19da3e,34,304,-5100,1
2025-06-27T15:06:56.878635+08:00,e2801160600002152d19b0ce,34,796,-5150,1
2025-06-27T15:06:56.879185+08:00,e2801160600002152d19da2e,34,1636,-4900,1
2025-06-27T15:06:56.879845+08:00,e2801160600002152d19b0fe,34,2836,-4800,1
2025-06-27T15:06:56.880618+08:00,e2801160600002152d19b03e,34,408,-5550,1
2025-06-27T15:06:56.881878+08:00,e2801160600002152d19da4e,34,2620,-5850,1
2025-06-27T15:06:56.882900+08:00,e2801160600002152d19b00e,34,696,-5550,1
2025-06-27T15:06:56.883456+08:00,e2801160600002152d19da1e,34,1576,-5150,1
2025-06-27T15:06:56.884236+08:00,e2801160600002152d19da5e,34,1052,-5250,1
2025-06-27T15:06:56.885131+08:00,e2801160600002152d19b0de,34,828,-5950,1
2025-06-27T15:06:56.886709+08:00,e2801160600002152d19dace,34,3660,-6300,1
2025-06-27T15:06:56.890965+08:00,e2801160600002152d19b0ce,34,776,-5150,1
