time,id,channel,phase,rssi,antenna
2025-06-27T16:32:20.226539500,e2801160600002152d19da3e,50,3628,-5450,1
2025-06-27T16:32:20.227767800,e2801160600002152d19da2e,50,1032,-5100,1
2025-06-27T16:32:20.227767800,e2801160600002152d19da5e,50,1608,-5750,1
2025-06-27T16:32:20.227767800,e2801160600002152d19da3e,50,3620,-5500,1
2025-06-27T16:32:20.227767800,e2801160600002152d19da1e,50,1160,-5150,1
2025-06-27T16:32:20.227767800,e2801160600002152d19b03e,50,3424,-6250,1
2025-06-27T16:32:20.227767800,e2801160600002152d19da5e,50,1628,-5750,1
2025-06-27T16:32:20.229590400,e2801160600002152d19b0fe,50,1860,-5200,1
2025-06-27T16:32:20.230541,e2801160600002152d19dace,50,1696,-5400,1
2025-06-27T16:32:20.230541,e2801160600002152d19da2e,50,1036,-5050,1
2025-06-27T16:32:20.230541,e2801160600002152d19da4e,50,1048,-5700,1
2025-06-27T16:32:20.230541,e2801160600002152d19b0ce,50,232,-5150,1
2025-06-27T16:32:20.230541,e2801160600002152d19b00e,50,3412,-5800,1
2025-06-27T16:32:20.230541,e2801160600002152d19da3e,50,2592,-6450,2
2025-06-27T16:32:20.230541,e2801160600002152d19dace,50,936,-6400,2
2025-06-27T16:32:20.230541,e2801160600002152d19b0de,50,1824,-5200,2
2025-06-27T16:32:20.230541,e2801160600002152d19da1e,50,3916,-6550,2
2025-06-27T16:32:20.230541,e2801160600002152d19b03e,50,2376,-6250,2
2025-06-27T16:32:20.230541,e2801160600002152d19da4e,50,2944,-5600,2
2025-06-27T16:32:20.230541,e2801160600002152d19da5e,50,1532,-5150,2
2025-06-27T16:32:20.230541,e2801160600002152d19b0ce,50,3300,-5250,2
2025-06-27T16:32:20.230541,e2801160600002152d19da2e,50,3880,-5700,2
2025-06-27T16:32:20.230541,e2801160600002152d19b0fe,50,3244,-5750,2
2025-06-27T16:32:20.276167900,e2801160600002152d19b0de,50,1816,-5200,2
2025-06-27T16:32:20.276167900,e2801160600002152d19da5e,50,1544,-5150,2
2025-06-27T16:32:20.276167900,e2801160600002152d19da3e,50,2544,-6450,2
2025-06-27T16:32:20.276167900,e2801160600002152d19b0fe,50,3256,-5800,2
2025-06-27T16:32:20.276167900,e2801160600002152d19da4e,50,2952,-5600,2
2025-06-27T16:32:20.276167900,e2801160600002152d19b0ce,50,3300,-5200,2
2025-06-27T16:32:20.276167900,e2801160600002152d19da2e,50,3884,-5750,2
2025-06-27T16:32:20.276167900,e2801160600002152d19da1e,50,4048,-6550,2
2025-06-27T16:32:20.276167900,e2801160600002152d19b03e,50,1988,-6050,2
2025-06-27T16:32:20.276167900,e2801160600002152d19dace,50,952,-6450,2
2025-06-27T16:32:20.276167900,e2801160600002152d19b0fe,50,1072,-6250,3
2025-06-27T16:32:20.276167900,e2801160600002152d19b0ce,50,3464,-5750,3
2025-06-27T16:32:20.276167900,e2801160600002152d19dace,50,676,-5950,3
2025-06-27T16:32:20.276167900,e2801160600002152d19b00e,50,3388,-5850,3
2025-06-27T16:32:20.276167900,e2801160600002152d19da4e,50,864,-6150,3
2025-06-27T16:32:20.276167900,e2801160600002152d19da3e,50,3408,-6300,3
2025-06-27T16:32:20.276167900,e2801160600002152d19b0ce,50,3452,-5750,3
2025-06-27T16:32:20.276167900,e2801160600002152d19da3e,50,3328,-6300,3
2025-06-27T16:32:20.276167900,e2801160600002152d19b00e,50,3340,-5900,3
2025-06-27T16:32:20.276167900,e2801160600002152d19dace,50,664,-5900,3
2025-06-27T16:32:20.276167900,e2801160600002152d19da4e,50,864,-6150,3
2025-06-27T16:32:20.276167900,e2801160600002152d19b0fe,50,948,-6200,3
2025-06-27T16:32:20.298363100,e2801160600002152d19da2e,50,1016,-5050,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da4e,50,996,-5750,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b0ce,50,196,-5150,1
2025-06-27T16:32:20.298363100,e2801160600002152d19dace,50,1660,-5450,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b0fe,50,1848,-5200,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da1e,50,1148,-5150,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b03e,50,3428,-6200,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b00e,50,3404,-5850,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da5e,50,1596,-5750,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da3e,50,3636,-5500,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da2e,50,1020,-5050,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b0ce,50,216,-5150,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b0fe,50,1844,-5150,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da3e,50,3624,-5550,1
2025-06-27T16:32:20.298363100,e2801160600002152d19dace,50,1640,-5450,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b03e,50,3452,-6250,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da5e,50,1552,-5750,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da1e,50,1152,-5150,1
2025-06-27T16:32:20.298363100,e2801160600002152d19da4e,50,968,-5750,1
2025-06-27T16:32:20.298363100,e2801160600002152d19b00e,50,3412,-5750,1
2025-06-27T16:32:20.326775900,e2801160600002152d19da4e,50,2964,-5650,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b03e,50,2396,-6300,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da1e,50,3908,-6550,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0ce,50,3328,-5250,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0de,50,1832,-5250,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da2e,50,3932,-5700,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da5e,50,1508,-5150,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0fe,50,3280,-5800,2
2025-06-27T16:32:20.326775900,e2801160600002152d19dace,50,984,-6400,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da3e,50,2564,-6400,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0ce,50,3332,-5250,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da1e,50,3896,-6600,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da3e,50,2620,-6450,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da4e,50,2940,-5600,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da2e,50,3932,-5700,2
2025-06-27T16:32:20.326775900,e2801160600002152d19da5e,50,1520,-5150,2
2025-06-27T16:32:20.326775900,e2801160600002152d19dace,50,936,-6400,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0de,50,1804,-5250,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b0fe,50,3232,-5800,2
2025-06-27T16:32:20.326775900,e2801160600002152d19b03e,50,2256,-6250,2
2025-06-27T16:32:20.371734900,e2801160600002152d19b00e,50,3384,-5850,3
2025-06-27T16:32:20.371734900,e2801160600002152d19da3e,50,3416,-6250,3
2025-06-27T16:32:20.371734900,e2801160600002152d19dace,50,680,-5900,3
2025-06-27T16:32:20.371734900,e2801160600002152d19b0ce,50,3472,-5750,3
2025-06-27T16:32:20.371734900,e2801160600002152d19da4e,50,844,-6200,3
2025-06-27T16:32:20.371734900,e2801160600002152d19b0fe,50,984,-6200,3
2025-06-27T16:32:20.371734900,e2801160600002152d19dace,50,660,-5900,3
2025-06-27T16:32:20.371734900,e2801160600002152d19b0ce,50,3472,-5700,3
2025-06-27T16:32:20.371734900,e2801160600002152d19da3e,50,3396,-6300,3
2025-06-27T16:32:20.371734900,e2801160600002152d19da4e,50,872,-6150,3
2025-06-27T16:32:20.371734900,e2801160600002152d19b00e,50,3400,-5900,3
2025-06-27T16:32:20.371734900,e2801160600002152d19b0fe,50,1000,-6250,3
2025-06-27T16:32:20.371734900,e2801160600002152d19da5e,50,1592,-5750,1
2025-06-27T16:32:20.371734900,e2801160600002152d19b0fe,50,1796,-5200,1
2025-06-27T16:32:20.371734900,e2801160600002152d19b0ce,50,220,-5150,1
2025-06-27T16:32:20.371734900,e2801160600002152d19da2e,50,1024,-5050,1
2025-06-27T16:32:20.371734900,e2801160600002152d19da1e,50,1136,-5150,1
2025-06-27T16:32:20.371734900,e2801160600002152d19b03e,50,3500,-6200,1
2025-06-27T16:32:20.371734900,e2801160600002152d19da4e,50,952,-5750,1
2025-06-27T16:32:20.371734900,e2801160600002152d19b00e,50,3424,-5800,1
2025-06-27T16:32:20.371734900,e2801160600002152d19da3e,50,3656,-5550,1
2025-06-27T16:32:20.371734900,e2801160600002152d19dace,50,1644,-5450,1
2025-06-27T16:32:20.402268900,e2801160600002152d19b0ce,50,232,-5150,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da2e,50,1016,-5050,1
2025-06-27T16:32:20.402268900,e2801160600002152d19b0fe,50,1812,-5150,1
2025-06-27T16:32:20.402268900,e2801160600002152d19dace,50,1644,-5450,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da4e,50,912,-5700,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da1e,50,1132,-5150,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da5e,50,1564,-5750,1
2025-06-27T16:32:20.402268900,e2801160600002152d19b03e,50,3500,-6200,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da3e,50,3652,-5600,1
2025-06-27T16:32:20.402268900,e2801160600002152d19b00e,50,3388,-5800,1
2025-06-27T16:32:20.402268900,e2801160600002152d19da1e,1,3424,-6300,2
2025-06-27T16:32:20.402268900,e2801160600002152d19da5e,1,992,-5150,2
2025-06-27T16:32:20.402268900,e2801160600002152d19b0fe,1,2648,-5750,2
2025-06-27T16:32:20.402268900,e2801160600002152d19b03e,1,1852,-6200,2
2025-06-27T16:32:20.402268900,e2801160600002152d19da2e,1,3488,-5800,2
2025-06-27T16:32:20.402268900,e2801160600002152d19da4e,1,2448,-5650,2
2025-06-27T16:32:20.402268900,e2801160600002152d19dace,1,548,-6000,2
2025-06-27T16:32:20.402268900,e2801160600002152d19b0ce,1,2748,-5200,2
2025-06-27T16:32:20.402268900,e2801160600002152d19b0de,1,1312,-5050,2
2025-06-27T16:32:20.402268900,e2801160600002152d19da3e,1,2308,-6400,2
2025-06-27T16:32:20.438945,e2801160600002152d19da2e,1,3420,-5850,2
2025-06-27T16:32:20.438945,e2801160600002152d19b0de,1,1300,-5050,2
2025-06-27T16:32:20.438945,e2801160600002152d19b0fe,1,2644,-5750,2
2025-06-27T16:32:20.438945,e2801160600002152d19b0ce,1,2752,-5250,2
2025-06-27T16:32:20.438945,e2801160600002152d19da1e,1,3432,-6350,2
2025-06-27T16:32:20.438945,e2801160600002152d19b03e,1,1892,-6150,2
2025-06-27T16:32:20.438945,e2801160600002152d19da4e,1,2460,-5600,2
2025-06-27T16:32:20.438945,e2801160600002152d19da5e,1,976,-5150,2
2025-06-27T16:32:20.438945,e2801160600002152d19dace,1,452,-6250,2
2025-06-27T16:32:20.438945,e2801160600002152d19da3e,1,2288,-6350,2
2025-06-27T16:32:20.438945,e2801160600002152d19dace,1,188,-5850,3
2025-06-27T16:32:20.438945,e2801160600002152d19da3e,1,2992,-6350,3
2025-06-27T16:32:20.438945,e2801160600002152d19b0de,1,92,-6750,3
2025-06-27T16:32:20.438945,e2801160600002152d19b00e,1,2860,-5800,3
2025-06-27T16:32:20.438945,e2801160600002152d19da4e,1,544,-6150,3
2025-06-27T16:32:20.438945,e2801160600002152d19b0ce,1,2868,-5650,3
2025-06-27T16:32:20.438945,e2801160600002152d19b0fe,1,548,-6200,3
2025-06-27T16:32:20.476044700,e2801160600002152d19da3e,1,3084,-6350,3
2025-06-27T16:32:20.476044700,e2801160600002152d19b0de,1,140,-6750,3
2025-06-27T16:32:20.476044700,e2801160600002152d19dace,1,160,-5850,3
2025-06-27T16:32:20.476044700,e2801160600002152d19b0ce,1,2880,-5650,3
2025-06-27T16:32:20.476044700,e2801160600002152d19da4e,1,516,-6200,3
2025-06-27T16:32:20.476044700,e2801160600002152d19b0fe,1,492,-6200,3
2025-06-27T16:32:20.476044700,e2801160600002152d19b00e,1,2900,-5800,3
2025-06-27T16:32:20.476044700,e2801160600002152d19b0fe,1,1288,-5100,1
2025-06-27T16:32:20.476044700,e2801160600002152d19b0ce,1,3804,-5100,1
2025-06-27T16:32:20.476044700,e2801160600002152d19da2e,1,580,-5000,1
2025-06-27T16:32:20.476044700,e2801160600002152d19da5e,1,1244,-5550,1
2025-06-27T16:32:20.476044700,e2801160600002152d19dace,1,1128,-5400,1
2025-06-27T16:32:20.476044700,e2801160600002152d19da1e,1,744,-5150,1
2025-06-27T16:32:20.476044700,e2801160600002152d19da3e,1,3108,-5600,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da4e,1,296,-5700,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b00e,1,2872,-5850,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b03e,1,3108,-6200,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da3e,1,3108,-5600,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da4e,1,296,-5750,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b0fe,1,1316,-5100,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da2e,1,580,-5000,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da5e,1,1244,-5550,1
2025-06-27T16:32:20.476942200,e2801160600002152d19da1e,1,728,-5100,1
2025-06-27T16:32:20.476942200,e2801160600002152d19dace,1,1108,-5400,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b0ce,1,3800,-5100,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b00e,1,2920,-5850,1
2025-06-27T16:32:20.476942200,e2801160600002152d19b03e,1,3104,-6200,1
2025-06-27T16:32:20.497048900,e2801160600002152d19da3e,1,2328,-6400,2
2025-06-27T16:32:20.497940,e2801160600002152d19b03e,1,1792,-6300,2
2025-06-27T16:32:20.497940,e2801160600002152d19b0fe,1,2696,-5750,2
2025-06-27T16:32:20.497940,e2801160600002152d19da4e,1,2444,-5650,2
2025-06-27T16:32:20.497940,e2801160600002152d19da1e,1,3448,-6300,2
