time,id,channel,phase,rssi,antenna
2025-06-27T15:06:01.111738+08:00,e2801160600002152d19da2e,36,3540,-4850,1
2025-06-27T15:06:01.112405+08:00,e2801160600002152d19da4e,36,276,-5900,1
2025-06-27T15:06:01.113597+08:00,e2801160600002152d19b03e,36,1864,-5150,1
2025-06-27T15:06:01.114378+08:00,e2801160600002152d19b00e,36,2656,-5500,1
2025-06-27T15:06:01.114911+08:00,e2801160600002152d19da1e,36,3624,-4950,1
2025-06-27T15:06:01.115585+08:00,e2801160600002152d19b0ce,36,2704,-4950,1
2025-06-27T15:06:01.116120+08:00,e2801160600002152d19da5e,36,3196,-5450,1
2025-06-27T15:06:01.116905+08:00,e2801160600002152d19b0fe,36,364,-4650,1
2025-06-27T15:06:01.117568+08:00,e2801160600002152d19dace,36,972,-6400,1
2025-06-27T15:06:01.121612+08:00,e2801160600002152d19da5e,36,3204,-5450,1
2025-06-27T15:06:01.122918+08:00,e2801160600002152d19da3e,36,2440,-5450,1
2025-06-27T15:06:01.123699+08:00,e2801160600002152d19b0ce,36,2712,-4950,1
2025-06-27T15:06:01.124234+08:00,e2801160600002152d19da1e,36,3640,-4950,1
2025-06-27T15:06:01.125140+08:00,e2801160600002152d19b0fe,36,364,-4650,1
2025-06-27T15:06:01.125677+08:00,e2801160600002152d19b0de,36,2744,-6000,1
2025-06-27T15:06:01.126343+08:00,e2801160600002152d19da2e,36,3532,-4900,1
2025-06-27T15:06:01.127280+08:00,e2801160600002152d19da4e,36,260,-5850,1
2025-06-27T15:06:01.127831+08:00,e2801160600002152d19dace,36,980,-6450,1
2025-06-27T15:06:01.128744+08:00,e2801160600002152d19b00e,36,2624,-5500,1
2025-06-27T15:06:01.129291+08:00,e2801160600002152d19b03e,36,1896,-5200,1
2025-06-27T15:06:01.140257+08:00,e2801160600002152d19b0ce,36,512,-5700,2
2025-06-27T15:06:01.140959+08:00,e2801160600002152d19b0de,36,3088,-5600,2
2025-06-27T15:06:01.141515+08:00,e2801160600002152d19dace,36,1228,-5600,2
2025-06-27T15:06:01.142300+08:00,e2801160600002152d19da3e,36,164,-5600,2
2025-06-27T15:06:01.142972+08:00,e2801160600002152d19da5e,36,3768,-5650,2
2025-06-27T15:06:01.143644+08:00,e2801160600002152d19da1e,36,2008,-5850,2
2025-06-27T15:06:01.144194+08:00,e2801160600002152d19da4e,36,4004,-5550,2
2025-06-27T15:06:01.144739+08:00,e2801160600002152d19b03e,36,3872,-5800,2
2025-06-27T15:06:01.145632+08:00,e2801160600002152d19b0fe,36,676,-5500,2
2025-06-27T15:06:01.147098+08:00,e2801160600002152d19b07e,36,2696,-6250,2
2025-06-27T15:06:01.147634+08:00,e2801160600002152d19da2e,36,2456,-6150,2
2025-06-27T15:06:01.150781+08:00,e2801160600002152d19b07e,36,2540,-6200,2
2025-06-27T15:06:01.151672+08:00,e2801160600002152d19b0de,36,3108,-5600,2
2025-06-27T15:06:01.152225+08:00,e2801160600002152d19da2e,36,2440,-6200,2
2025-06-27T15:06:01.153134+08:00,e2801160600002152d19da3e,36,148,-5600,2
2025-06-27T15:06:01.153793+08:00,e2801160600002152d19da5e,36,3748,-5700,2
2025-06-27T15:06:01.154575+08:00,e2801160600002152d19da1e,36,2040,-5800,2
2025-06-27T15:06:01.155124+08:00,e2801160600002152d19b0fe,36,648,-5500,2
2025-06-27T15:06:01.155669+08:00,e2801160600002152d19dace,36,1184,-5500,2
2025-06-27T15:06:01.156680+08:00,e2801160600002152d19b03e,36,3896,-5800,2
2025-06-27T15:06:01.157234+08:00,e2801160600002152d19b0ce,36,472,-5700,2
2025-06-27T15:06:01.158722+08:00,e2801160600002152d19da4e,36,4008,-5550,2
2025-06-27T15:06:01.170010+08:00,e2801160600002152d19b00e,36,1036,-5850,3
2025-06-27T15:06:01.171035+08:00,e2801160600002152d19dace,36,2980,-5200,3
2025-06-27T15:06:01.171577+08:00,e2801160600002152d19b0de,36,44,-6650,3
2025-06-27T15:06:01.172363+08:00,e2801160600002152d19da4e,36,2780,-5450,3
2025-06-27T15:06:01.172913+08:00,e2801160600002152d19da1e,36,2572,-6650,3
2025-06-27T15:06:01.173462+08:00,e2801160600002152d19b0ce,36,1448,-6250,3
2025-06-27T15:06:01.174485+08:00,e2801160600002152d19b0fe,36,3148,-5500,3
2025-06-27T15:06:01.175134+08:00,e2801160600002152d19da3e,36,1636,-6200,3
2025-06-27T15:06:01.176033+08:00,e2801160600002152d19da2e,36,1700,-6350,3
2025-06-27T15:06:01.176586+08:00,e2801160600002152d19da5e,36,1940,-5450,3
2025-06-27T15:06:01.177132+08:00,e2801160600002152d19b07e,36,3648,-5350,3
