time,id,channel,phase,rssi,antenna
2025-06-27T15:02:18.472647+08:00,e2801160600002152d19da2e,41,572,-4800,1
2025-06-27T15:02:18.473191+08:00,e2801160600002152d19b0ce,41,3576,-4500,1
2025-06-27T15:02:18.474244+08:00,e2801160600002152d19da5e,41,692,-4900,1
2025-06-27T15:02:18.474912+08:00,e2801160600002152d19dace,41,2572,-5550,1
2025-06-27T15:02:18.475572+08:00,e2801160600002152d19b0fe,41,1400,-5000,1
2025-06-27T15:02:18.476120+08:00,e2801160600002152d19b00e,41,3672,-4900,1
2025-06-27T15:02:18.476783+08:00,e2801160600002152d19da3e,41,3832,-4700,1
2025-06-27T15:02:18.477450+08:00,e2801160600002152d19da4e,41,2352,-6000,1
2025-06-27T15:02:18.478240+08:00,e2801160600002152d19da1e,41,552,-4500,1
2025-06-27T15:02:18.478785+08:00,e2801160600002152d19b03e,41,3312,-4600,1
2025-06-27T15:02:18.479380+08:00,e2801160600002152d19b07e,41,2996,-6200,1
2025-06-27T15:02:18.480327+08:00,e2801160600002152d19b0de,41,208,-5850,1
2025-06-27T15:02:18.483967+08:00,e2801160600002152d19da4e,41,2392,-6000,1
2025-06-27T15:02:18.484750+08:00,e2801160600002152d19b0ce,41,3568,-4500,1
2025-06-27T15:02:18.486188+08:00,e2801160600002152d19b00e,41,3672,-4900,1
2025-06-27T15:02:18.486772+08:00,e2801160600002152d19da5e,41,708,-4900,1
2025-06-27T15:02:18.487315+08:00,e2801160600002152d19da2e,41,552,-4800,1
2025-06-27T15:02:18.487861+08:00,e2801160600002152d19b03e,41,3324,-4600,1
2025-06-27T15:02:18.488425+08:00,e2801160600002152d19b0de,41,168,-5850,1
2025-06-27T15:02:18.488979+08:00,e2801160600002152d19da3e,41,3836,-4700,1
2025-06-27T15:02:18.489764+08:00,e2801160600002152d19da1e,41,556,-4500,1
2025-06-27T15:02:18.490755+08:00,e2801160600002152d19b0fe,41,1424,-5000,1
2025-06-27T15:02:18.491469+08:00,e2801160600002152d19dace,41,2540,-5550,1
2025-06-27T15:02:18.492058+08:00,e2801160600002152d19b07e,41,3048,-6250,1
2025-06-27T15:02:18.501759+08:00,e2801160600002152d19dace,41,2256,-5350,2
2025-06-27T15:02:18.502312+08:00,e2801160600002152d19b0de,41,4032,-5550,2
2025-06-27T15:02:18.503100+08:00,e2801160600002152d19da4e,41,936,-5400,2
2025-06-27T15:02:18.504389+08:00,e2801160600002152d19da2e,41,3312,-6250,2
2025-06-27T15:02:18.504942+08:00,e2801160600002152d19da1e,41,2432,-5250,2
2025-06-27T15:02:18.506361+08:00,e2801160600002152d19da5e,41,992,-5900,2
2025-06-27T15:02:18.506902+08:00,e2801160600002152d19b0fe,41,1588,-6000,2
2025-06-27T15:02:18.507598+08:00,e2801160600002152d19b00e,41,2500,-6400,2
2025-06-27T15:02:18.508150+08:00,e2801160600002152d19da3e,41,1304,-5300,2
2025-06-27T15:02:18.508697+08:00,e2801160600002152d19b03e,41,668,-5200,2
2025-06-27T15:02:18.509404+08:00,e2801160600002152d19b07e,41,3856,-5950,2
2025-06-27T15:02:18.510072+08:00,e2801160600002152d19b0ce,41,1628,-5850,2
2025-06-27T15:02:18.513399+08:00,e2801160600002152d19dace,41,2220,-5350,2
2025-06-27T15:02:18.513935+08:00,e2801160600002152d19da1e,41,2456,-5250,2
2025-06-27T15:02:18.515244+08:00,e2801160600002152d19b03e,41,668,-5200,2
2025-06-27T15:02:18.515791+08:00,e2801160600002152d19b07e,41,3804,-5950,2
2025-06-27T15:02:18.516713+08:00,e2801160600002152d19b00e,41,2536,-6250,2
2025-06-27T15:02:18.517499+08:00,e2801160600002152d19da5e,41,968,-5900,2
2025-06-27T15:02:18.518038+08:00,e2801160600002152d19da2e,41,3348,-6350,2
2025-06-27T15:02:18.518692+08:00,e2801160600002152d19b0fe,41,1572,-6000,2
2025-06-27T15:02:18.519251+08:00,e2801160600002152d19b0de,41,4080,-5550,2
