time,id,channel,phase,rssi,antenna
2025-06-27T16:02:38.158853900,e2801160600002152d19da1e,2,904,-4500,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b0fe,2,1760,-5300,1
2025-06-27T16:02:38.158853900,e2801160600002152d19dace,2,2748,-5350,1
2025-06-27T16:02:38.158853900,e2801160600002152d19da5e,2,864,-4850,1
2025-06-27T16:02:38.158853900,e2801160600002152d19da2e,2,980,-4750,1
2025-06-27T16:02:38.158853900,e2801160600002152d19da3e,2,100,-4650,1
2025-06-27T16:02:38.158853900,e2801160600002152d19da4e,2,2156,-5650,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b0de,2,984,-5700,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b00e,2,3836,-4950,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b0ce,2,3752,-4800,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b03e,2,3708,-5200,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b0ce,2,3764,-4800,1
2025-06-27T16:02:38.158853900,e2801160600002152d19da3e,2,112,-4650,1
2025-06-27T16:02:38.158853900,e2801160600002152d19b0fe,2,1748,-5300,1
2025-06-27T16:02:38.160862600,e2801160600002152d19da2e,2,976,-4750,1
2025-06-27T16:02:38.160862600,e2801160600002152d19da4e,2,2196,-5650,1
2025-06-27T16:02:38.160862600,e2801160600002152d19b03e,2,3712,-5200,1
2025-06-27T16:02:38.160862600,e2801160600002152d19da1e,2,904,-4450,1
2025-06-27T16:02:38.160862600,e2801160600002152d19da5e,2,880,-4800,1
2025-06-27T16:02:38.160862600,e2801160600002152d19b00e,2,3868,-4950,1
2025-06-27T16:02:38.160862600,e2801160600002152d19b0de,2,964,-5700,1
2025-06-27T16:02:38.160862600,e2801160600002152d19dace,2,2764,-5400,1
2025-06-27T16:02:38.199636600,e2801160600002152d19b03e,2,680,-5750,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da3e,2,2636,-5350,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da4e,2,1328,-4900,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da5e,2,2148,-5700,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da1e,2,3332,-4900,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0fe,2,2012,-6100,2
2025-06-27T16:02:38.199636600,e2801160600002152d19dace,2,2948,-5350,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0ce,2,2624,-5950,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b07e,2,360,-5500,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0de,2,588,-5250,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da2e,2,4,-6200,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b00e,2,4032,-6700,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0de,2,612,-5250,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da5e,2,2164,-5750,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b00e,2,4024,-6600,2
2025-06-27T16:02:38.199636600,e2801160600002152d19dace,2,2960,-5350,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da2e,2,44,-6200,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0fe,2,1992,-6050,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b03e,2,624,-5700,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da3e,2,2640,-5350,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b07e,2,340,-5500,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da4e,2,1316,-4900,2
2025-06-27T16:02:38.199636600,e2801160600002152d19da1e,2,3324,-4950,2
2025-06-27T16:02:38.199636600,e2801160600002152d19b0ce,2,2656,-5950,2
2025-06-27T16:02:38.232635800,e2801160600002152d19da3e,2,2372,-4950,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b00e,2,1232,-5450,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b03e,2,2928,-5800,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da1e,2,340,-5150,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0ce,2,2652,-5850,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b07e,2,1304,-5550,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da5e,2,284,-5250,3
2025-06-27T16:02:38.232635800,e2801160600002152d19dace,2,500,-5600,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0de,2,1588,-6550,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da4e,2,928,-6200,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0fe,2,740,-5550,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da2e,2,1108,-6650,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da1e,2,328,-5150,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b00e,2,1256,-5450,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b03e,2,2956,-5800,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0de,2,1680,-6450,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da4e,2,936,-6250,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da3e,2,2376,-4950,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da5e,2,300,-5250,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0fe,2,732,-5550,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b07e,2,1292,-5600,3
2025-06-27T16:02:38.232635800,e2801160600002152d19dace,2,492,-5550,3
2025-06-27T16:02:38.232635800,e2801160600002152d19b0ce,2,2604,-5850,3
2025-06-27T16:02:38.232635800,e2801160600002152d19da2e,2,1108,-6650,3
2025-06-27T16:02:38.268636,e2801160600002152d19dace,2,2760,-5350,1
2025-06-27T16:02:38.268636,e2801160600002152d19da3e,2,80,-4650,1
2025-06-27T16:02:38.268636,e2801160600002152d19b00e,2,3792,-4950,1
2025-06-27T16:02:38.268636,e2801160600002152d19b0ce,2,3744,-4750,1
2025-06-27T16:02:38.268636,e2801160600002152d19da2e,2,948,-4700,1
2025-06-27T16:02:38.268636,e2801160600002152d19da1e,2,904,-4450,1
2025-06-27T16:02:38.268636,e2801160600002152d19da5e,2,864,-4750,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b0de,2,952,-5600,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da4e,2,2172,-5750,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b03e,2,3704,-5150,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b0fe,2,1752,-5300,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da5e,2,852,-4750,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da1e,2,884,-4500,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b0de,2,976,-5600,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da2e,2,940,-4700,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b0ce,2,3736,-4750,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da4e,2,2128,-5800,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b03e,2,3700,-5150,1
2025-06-27T16:02:38.269637200,e2801160600002152d19dace,2,2720,-5300,1
2025-06-27T16:02:38.269637200,e2801160600002152d19da3e,2,88,-4650,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b00e,2,3768,-4950,1
2025-06-27T16:02:38.269637200,e2801160600002152d19b0fe,2,1752,-5250,1
2025-06-27T16:02:38.302969800,e2801160600002152d19da2e,2,204,-6350,2
2025-06-27T16:02:38.302969800,e2801160600002152d19da5e,2,2188,-5850,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b00e,2,4072,-6400,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b0fe,2,1884,-6050,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b07e,2,316,-5550,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b0de,2,580,-5250,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b0ce,2,2656,-6000,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b03e,2,704,-5850,2
2025-06-27T16:02:38.302969800,e2801160600002152d19da1e,2,3388,-4950,2
2025-06-27T16:02:38.302969800,e2801160600002152d19da4e,2,1308,-4900,2
2025-06-27T16:02:38.302969800,e2801160600002152d19da3e,2,2664,-5400,2
2025-06-27T16:02:38.302969800,e2801160600002152d19dace,2,2932,-5350,2
2025-06-27T16:02:38.302969800,e2801160600002152d19b0ce,2,2672,-5950,2
