time,id,channel,phase,rssi,antenna
2025-06-27T15:01:17.042186+08:00,e2801160600002152d19b07e,43,2516,-6400,1
2025-06-27T15:01:17.043018+08:00,e2801160600002152d19b03e,43,2064,-4800,1
2025-06-27T15:01:17.044615+08:00,e2801160600002152d19b00e,43,2700,-5300,1
2025-06-27T15:01:17.046949+08:00,e2801160600002152d19dace,43,1860,-6000,1
2025-06-27T15:01:17.047502+08:00,e2801160600002152d19da3e,43,2560,-5200,1
2025-06-27T15:01:17.048289+08:00,e2801160600002152d19b07e,43,2684,-6400,1
2025-06-27T15:01:17.049839+08:00,e2801160600002152d19da4e,43,924,-5900,1
2025-06-27T15:01:17.050499+08:00,e2801160600002152d19da2e,43,3604,-4900,1
2025-06-27T15:01:17.051154+08:00,e2801160600002152d19b03e,43,2056,-4800,1
2025-06-27T15:01:17.051696+08:00,e2801160600002152d19b0fe,43,696,-4600,1
2025-06-27T15:01:17.053945+08:00,e2801160600002152d19da5e,43,3116,-5500,1
2025-06-27T15:01:17.054653+08:00,e2801160600002152d19da1e,43,3732,-5000,1
2025-06-27T15:01:17.055321+08:00,e2801160600002152d19b0ce,43,2752,-5050,1
2025-06-27T15:01:17.055912+08:00,e2801160600002152d19b0de,43,2760,-5850,1
2025-06-27T15:01:17.056463+08:00,e2801160600002152d19b00e,43,2720,-5350,1
2025-06-27T15:01:17.072953+08:00,e2801160600002152d19dace,43,1396,-5600,2
2025-06-27T15:01:17.073493+08:00,e2801160600002152d19da1e,43,1548,-5850,2
2025-06-27T15:01:17.074037+08:00,e2801160600002152d19b0fe,43,876,-5700,2
2025-06-27T15:01:17.074960+08:00,e2801160600002152d19b0ce,43,788,-5750,2
2025-06-27T15:01:17.075883+08:00,e2801160600002152d19b0de,43,3188,-5350,2
2025-06-27T15:01:17.076956+08:00,e2801160600002152d19da3e,43,464,-5400,2
2025-06-27T15:01:17.077780+08:00,e2801160600002152d19da2e,43,2484,-6200,2
2025-06-27T15:01:17.078317+08:00,e2801160600002152d19b03e,43,3924,-5350,2
2025-06-27T15:01:17.079149+08:00,e2801160600002152d19da4e,43,128,-5450,2
2025-06-27T15:01:17.079696+08:00,e2801160600002152d19da5e,43,3668,-5650,2
2025-06-27T15:01:17.080282+08:00,e2801160600002152d19b07e,43,3184,-6050,2
2025-06-27T15:01:17.080871+08:00,e2801160600002152d19b00e,43,1984,-6550,2
2025-06-27T15:01:17.084045+08:00,e2801160600002152d19b03e,43,3940,-5350,2
2025-06-27T15:01:17.085230+08:00,e2801160600002152d19dace,43,1420,-5600,2
2025-06-27T15:01:17.085785+08:00,e2801160600002152d19da4e,43,128,-5500,2
2025-06-27T15:01:17.086566+08:00,e2801160600002152d19b0ce,43,736,-5750,2
2025-06-27T15:01:17.087231+08:00,e2801160600002152d19b0de,43,3204,-5350,2
2025-06-27T15:01:17.088022+08:00,e2801160600002152d19da1e,43,1552,-5800,2
2025-06-27T15:01:17.088566+08:00,e2801160600002152d19b07e,43,3168,-6100,2
2025-06-27T15:01:17.089256+08:00,e2801160600002152d19b0fe,43,904,-5750,2
2025-06-27T15:01:17.089797+08:00,e2801160600002152d19da3e,43,468,-5400,2
2025-06-27T15:01:17.090509+08:00,e2801160600002152d19b00e,43,2032,-6550,2
2025-06-27T15:01:17.091455+08:00,e2801160600002152d19da5e,43,3624,-5650,2
2025-06-27T15:01:17.091999+08:00,e2801160600002152d19da2e,43,2448,-6200,2
2025-06-27T15:01:17.108135+08:00,e2801160600002152d19b03e,43,1740,-6050,3
2025-06-27T15:01:17.109187+08:00,e2801160600002152d19b0fe,43,3836,-5500,3
2025-06-27T15:01:17.109722+08:00,e2801160600002152d19da4e,43,2800,-5300,3
2025-06-27T15:01:17.110269+08:00,e2801160600002152d19b0ce,43,2032,-5550,3
2025-06-27T15:01:17.111165+08:00,e2801160600002152d19b07e,43,3532,-5100,3
2025-06-27T15:01:17.111948+08:00,e2801160600002152d19dace,43,3092,-5100,3
2025-06-27T15:01:17.112621+08:00,e2801160600002152d19da3e,43,2016,-5400,3
2025-06-27T15:01:17.113171+08:00,e2801160600002152d19da1e,43,352,-6650,3
2025-06-27T15:01:17.114108+08:00,e2801160600002152d19b0de,43,1756,-5950,3
2025-06-27T15:01:17.114933+08:00,e2801160600002152d19b00e,43,1756,-5550,3
2025-06-27T15:01:17.115598+08:00,e2801160600002152d19da5e,43,2800,-6050,3
2025-06-27T15:01:17.119005+08:00,e2801160600002152d19da3e,43,1984,-5400,3
2025-06-27T15:01:17.120066+08:00,e2801160600002152d19dace,43,3096,-5100,3
2025-06-27T15:01:17.121367+08:00,e2801160600002152d19b0ce,43,2048,-5550,3
2025-06-27T15:01:17.121921+08:00,e2801160600002152d19b0de,43,1792,-6000,3
2025-06-27T15:01:17.122472+08:00,e2801160600002152d19b0fe,43,3828,-5500,3
2025-06-27T15:01:17.123022+08:00,e2801160600002152d19da4e,43,2800,-5250,3
2025-06-27T15:01:17.123579+08:00,e2801160600002152d19b03e,43,1784,-6050,3
2025-06-27T15:01:17.124123+08:00,e2801160600002152d19b07e,43,3508,-5150,3
2025-06-27T15:01:17.124725+08:00,e2801160600002152d19b00e,43,1756,-5650,3
2025-06-27T15:01:17.125506+08:00,e2801160600002152d19da1e,43,264,-6650,3
2025-06-27T15:01:17.126097+08:00,e2801160600002152d19da5e,43,2876,-6000,3
2025-06-27T15:01:17.136393+08:00,e2801160600002152d19da3e,43,2528,-5250,1
2025-06-27T15:01:17.136932+08:00,e2801160600002152d19da1e,43,3720,-5000,1
2025-06-27T15:01:17.137773+08:00,e2801160600002152d19da2e,43,3620,-4900,1
2025-06-27T15:01:17.138561+08:00,e2801160600002152d19b00e,43,2728,-5350,1
2025-06-27T15:01:17.139220+08:00,e2801160600002152d19da4e,43,812,-5900,1
2025-06-27T15:01:17.139884+08:00,e2801160600002152d19dace,43,1860,-6050,1
2025-06-27T15:01:17.140428+08:00,e2801160600002152d19b0ce,43,2712,-5050,1
2025-06-27T15:01:17.141079+08:00,e2801160600002152d19b03e,43,2048,-4800,1
2025-06-27T15:01:17.141639+08:00,e2801160600002152d19b0fe,43,700,-4600,1
2025-06-27T15:01:17.142191+08:00,e2801160600002152d19b0de,43,2748,-5950,1
2025-06-27T15:01:17.142860+08:00,e2801160600002152d19b07e,43,2584,-6500,1
2025-06-27T15:01:17.143690+08:00,e2801160600002152d19da5e,43,3112,-5550,1
