time,id,channel,phase,rssi,antenna
2025-06-27T16:55:15.969374800,e2801160600002152d19b00e,17,68,-6150,1
2025-06-27T16:55:15.969374800,e2801160600002152d19b07e,17,1656,-6100,1
2025-06-27T16:55:15.969374800,e2801160600002152d19da1e,17,768,-4900,1
2025-06-27T16:55:15.969374800,e2801160600002152d19da3e,17,3632,-5450,1
2025-06-27T16:55:15.969374800,e2801160600002152d19da5e,17,1348,-5550,1
2025-06-27T16:55:15.969374800,e2801160600002152d19b0ce,17,3756,-5200,1
2025-06-27T16:55:15.969374800,e2801160600002152d19da4e,17,276,-5900,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da2e,17,936,-5000,1
2025-06-27T16:55:15.984882900,e2801160600002152d19dace,17,872,-6100,1
2025-06-27T16:55:15.984882900,e2801160600002152d19dace,17,856,-6100,1
2025-06-27T16:55:15.984882900,e2801160600002152d19b0ce,17,3752,-5200,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da2e,17,928,-5000,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da1e,17,756,-4950,1
2025-06-27T16:55:15.984882900,e2801160600002152d19b00e,17,76,-6150,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da5e,17,1332,-5550,1
2025-06-27T16:55:15.984882900,e2801160600002152d19b07e,17,1708,-6050,1
2025-06-27T16:55:15.984882900,e2801160600002152d19b0fe,17,1020,-5400,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da4e,17,192,-5900,1
2025-06-27T16:55:15.984882900,e2801160600002152d19b03e,17,3100,-6150,1
2025-06-27T16:55:15.984882900,e2801160600002152d19da3e,17,3616,-5500,1
2025-06-27T16:55:16.016810900,e2801160600002152d19da3e,17,2012,-5950,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da4e,17,1868,-6200,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0de,17,972,-5250,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b00e,17,1564,-6300,2
2025-06-27T16:55:16.016810900,e2801160600002152d19dace,17,3728,-6150,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0fe,17,1840,-5700,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da2e,17,2996,-6050,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da5e,17,1124,-5550,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0ce,17,2968,-5400,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da1e,17,2972,-6000,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b03e,17,2652,-5800,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b03e,17,2660,-5800,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da2e,17,3100,-6100,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da1e,17,3024,-6050,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b00e,17,1520,-6300,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da3e,17,2068,-5950,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0fe,17,1856,-5700,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0ce,17,2984,-5400,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da4e,17,1836,-6200,2
2025-06-27T16:55:16.016810900,e2801160600002152d19da5e,17,1104,-5550,2
2025-06-27T16:55:16.016810900,e2801160600002152d19b0de,17,944,-5250,2
2025-06-27T16:55:16.016810900,e2801160600002152d19dace,17,3564,-6100,2
2025-06-27T16:55:16.063676900,e2801160600002152d19b03e,17,72,-6450,3
2025-06-27T16:55:16.063676900,e2801160600002152d19dace,17,132,-5550,3
2025-06-27T16:55:16.063676900,e2801160600002152d19b07e,17,948,-5900,3
2025-06-27T16:55:16.063676900,e2801160600002152d19da3e,17,3648,-5950,3
2025-06-27T16:55:16.063676900,e2801160600002152d19b00e,17,3656,-6350,3
2025-06-27T16:55:16.063676900,e2801160600002152d19b0ce,17,3296,-5900,3
2025-06-27T16:55:16.063676900,e2801160600002152d19b07e,17,964,-5850,3
2025-06-27T16:55:16.063676900,e2801160600002152d19dace,17,160,-5550,3
2025-06-27T16:55:16.063676900,e2801160600002152d19b0ce,17,3308,-5900,3
